"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"AutoClusRE: An automatic clustering-based method for relation extraction and knowledge graph construction","https://scispace.com/paper/autoclusre-an-automatic-clustering-based-method-for-relation-zjxqbueou7z2","2025","Journal Article","","Tongyao Wang
Donghui Shi
Jose Aguilar
Jozef Zurada","10.21203/rs.3.rs-7705090/v1","https://scispace.compdf/autoclusre-an-automatic-clustering-based-method-for-relation-zjxqbueou7z2.pdf","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLM prompts to extract entities and relations, builds a KG, updates type tables via clustering, outperforms baselines, but scalability details and error analysis are limited.","<title>Abstract</title> The knowledge graph plays a vital role in integrating and representing information. As a core component in the construction of a knowledge graph, relation extraction is responsible for identifying and establishing semantic relationships between entities. However, existing methods rely heavily on annotated data. When dealing with unlabeled text, they fail to automatically perform relation extraction and construct a knowledge graph. This poses a significant challenge for knowledge graph construction. To address the above challenges, this paper proposes a domain-adaptive entity-relation extraction and knowledge graph construction framework, named AutoClusRE (Automatic Clustering-based Relation Extraction), which is based on a large language model and designed for extracting relational triples from unlabeled text. This method requires no additional training and can directly perform adaptive entity–relation extraction and knowledge graph construction on unlabeled text. Specifically, AutoClusRE constructs an entity type table and a relation type table, which are embedded into the prompt templates of the large language model and dynamically updates them during the extraction process to serve as contextual guidance for the large language model. In addition, a semantics-based clustering algorithm is introduced to effectively merge duplicates and control excessive expansion of the type tables. Experiments conducted on the public dataset FOBIE and the custom dataset HSA (Huizhou-style architecture) demonstrated that AutoClusRE achieved competitive extraction performance without relying on any annotated data. On the public FOBIE dataset, AutoClusRE outperformed traditional deep learning models by 14.8% and DeepSeek by 9.5% in terms of F1 score. On the custom dataset HSA, AutoClusRE’s F1 score improved by 17.2% over traditional deep learning models and by 2% over DeepSeek. This study not only introduces a novel relation extraction method for information management in unknown domains but also constructs a knowledge graph in the field of Huizhou-style architecture based on AutoClusRE, contributing to the digital research and application of domain knowledge in this field. "
"iText2KG: Incremental Knowledge Graphs Construction Using Large Language
  Models","https://scispace.com/paper/itext2kg-incremental-knowledge-graphs-construction-using-1iu5sla0ubgm","2024","Journal Article","","Yassir Lairgi
Ludovic Moncla
Rémy Cazabet
Khalid Benabdeslem
Pierre Cléau","10.48550/arxiv.2409.03284","https://scispace.compdf/itext2kg-incremental-knowledge-graphs-construction-using-1iu5sla0ubgm.pdf","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Integrates LLM prompting for entity and relation extraction into an incremental KG pipeline, includes zero‑shot dataset generation, resolution, and evaluation versus baselines; scalability and human‑in‑the‑loop aspects are only briefly addressed.","Most available data is unstructured, making it challenging to access valuable information. Automatically building Knowledge Graphs (KGs) is crucial for structuring data and making it accessible, allowing users to search for information effectively. KGs also facilitate insights, inference, and reasoning. Traditional NLP methods, such as named entity recognition and relation extraction, are key in information retrieval but face limitations, including the use of predefined entity types and the need for supervised learning. Current research leverages large language models' capabilities, such as zero- or few-shot learning. However, unresolved and semantically duplicated entities and relations still pose challenges, leading to inconsistent graphs and requiring extensive post-processing. Additionally, most approaches are topic-dependent. In this paper, we propose iText2KG, a method for incremental, topic-independent KG construction without post-processing. This plug-and-play, zero-shot method is applicable across a wide range of KG construction scenarios and comprises four modules: Document Distiller, Incremental Entity Extractor, Incremental Relation Extractor, and Graph Integrator and Visualization. Our method demonstrates superior performance compared to baseline methods across three scenarios: converting scientific papers to graphs, websites to graphs, and CVs to graphs. "
"Iterative Zero-Shot LLM Prompting for Knowledge Graph Construction","https://scispace.com/paper/iterative-zero-shot-llm-prompting-for-knowledge-graph-1jct9ab9","2023","Journal Article","arXiv.org","Salvatore Carta
Alessandro Giuliani
Lee Hye Won Cecilia piano
Alessandro Sebastian Podda
Livio Pompianu","10.48550/arXiv.2307.01128","https://scispace.compdf/iterative-zero-shot-llm-prompting-for-knowledge-graph-1jct9ab9.pdf","- **Relevance Score:** 91/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses iterative zero‑shot LLM prompting to extract entities and relations, resolve co‑references, and build a KG, but lacks large‑scale scalability, baseline comparisons, and error‑analysis details.","In the current digitalization era, capturing and effectively representing knowledge is crucial in most real-world scenarios. In this context, knowledge graphs represent a potent tool for retrieving and organizing a vast amount of information in a properly interconnected and interpretable structure. However, their generation is still challenging and often requires considerable human effort and domain expertise, hampering the scalability and flexibility across different application fields. This paper proposes an innovative knowledge graph generation approach that leverages the potential of the latest generative large language models, such as GPT-3.5, that can address all the main critical issues in knowledge graph building. The approach is conveyed in a pipeline that comprises novel iterative zero-shot and external knowledge-agnostic strategies in the main stages of the generation process. Our unique manifold approach may encompass significant benefits to the scientific community. In particular, the main contribution can be summarized by: (i) an innovative strategy for iteratively prompting large language models to extract relevant components of the final graph; (ii) a zero-shot strategy for each prompt, meaning that there is no need for providing examples for""guiding""the prompt result; (iii) a scalable solution, as the adoption of LLMs avoids the need for any external resources or human expertise. To assess the effectiveness of our proposed model, we performed experiments on a dataset that covered a specific domain. We claim that our proposal is a suitable solution for scalable and versatile knowledge graph construction and may be applied to different and novel contexts."
"Large language model-based knowledge graph construction of unstructured accident reports to improve construction safety","https://scispace.com/paper/large-language-model-based-knowledge-graph-construction-of-5f66hhwbxmdp","2025","Repository","","Liu Qiong
Luo Xiaowei","10.17868/strath.00093269","","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLM chain‑of‑thought prompts for zero‑shot NER and RE, builds a construction safety KG via Accimap ontology, but lacks scalability tests, baseline comparisons, and error analysis.","To effectively capture and represent safety knowledge, this study proposes a novel framework for automated construction accident knowledge graph generation using large language models (LLMs). First, an improved Accimap model is used to determine the ontology framework for the knowledge graph. Then, by leveraging iterative chaining prompts based on Chain-of-Thought and Self-consistency principles, the method achieves zero-label extraction of named entities recognition (NER) and relation extraction (RE) from unstructured text. Finally, the extracted triples are stored to provide visual knowledge query services. Experimental results show that the proposed method achieves an accuracy of 0.97 in NER task and 0.90 in RE task under zero-shot conditions. The proposed framework eliminates the need for external resources or human expertise and offers a novel knowledge management approach for construction site safety management. "
"A Large Language Model Driven Knowledge Graph Construction Scheme for Semantic Communication","https://scispace.com/paper/a-large-language-model-driven-knowledge-graph-construction-uwerogvzen49","2025","Journal Article","Applied Sciences","Caifen Guo
Jiaqi Liu
Wei Gao
Zhenhai Lu
Li Yao
Chengyuan Wang
Jungang Yang","10.3390/app15084575","","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLM prompting and few‑shot learning for integrated entity/relation extraction and KG construction; detailed extraction steps, but limited scalability tests, baseline comparison, and no error‑analysis.","This study presents a knowledge graph construction scheme leveraging large language models (LLMs) for task-oriented semantic communication systems. The proposed methodology systematically addresses four critical stages: corpus collection, entity extraction and relationship analysis, knowledge base generation, and dynamic updating mechanisms. It is worth noting that prompt engineering is combined with few-shot learning to enhance reliability and accuracy in this methodology. Experimental demonstration showed that this methodology had superior entity extraction performance, achieving 89.7% precision and 92.3% recall rate. This scheme overcomes the demand for domain knowledge and the labor cost of traditional knowledge base construction schemes. It greatly improves the construction efficiency of knowledge graphs. This paper provides an efficient and reliable task knowledge base construction scheme for task-oriented semantic communication, which is expected to promote its wider application. "
"Ontology Population using LLMs","https://scispace.com/paper/ontology-population-using-llms-73iukqxbdauo","2024","Journal Article","","Sanaz Saki Norouzi
Adrita Barua
Antrea Christou
Nutan Raj Gautam
Andrew Eells
Pascal Hitzler
Cogan Shimizu","10.48550/arxiv.2411.01612","https://scispace.compdf/ontology-population-using-llms-73iukqxbdauo.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLMs for end‑to‑end triple generation guided by a modular ontology, achieving high coverage; details prompting for entity/relation extraction, but lacks baseline comparisons, extensive scalability tests, and error‑analysis loops.","Knowledge graphs (KGs) are increasingly utilized for data integration, representation, and visualization. While KG population is critical, it is often costly, especially when data must be extracted from unstructured text in natural language, which presents challenges, such as ambiguity and complex interpretations. Large Language Models (LLMs) offer promising capabilities for such tasks, excelling in natural language understanding and content generation. However, their tendency to ``hallucinate'' can produce inaccurate outputs. Despite these limitations, LLMs offer rapid and scalable processing of natural language data, and with prompt engineering and fine-tuning, they can approximate human-level performance in extracting and structuring data for KGs. This study investigates LLM effectiveness for the KG population, focusing on the Enslaved.org Hub Ontology. In this paper, we report that compared to the ground truth, LLM's can extract ~90% of triples, when provided a modular ontology as guidance in the prompts. "
"Construction of a mine accident knowledge graph based on Large Language Models","https://scispace.com/paper/construction-of-a-mine-accident-knowledge-graph-based-on-53ov2d18p2uh","2025","Repository","","Zhang Peng-yang
Sheng Long
Wang Wei
Wei Zhong-cheng
Zhao Ji-jun","10.13272/j.issn.1671-251x.2024080031","","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLM with graph‑structured prompts to extract entities/relations and build a mine‑accident KG; details entity/relation methods, compares to UIE, but lacks explicit zero‑shot prompting, large‑scale processing discussion, and error‑analysis.","Current methods for constructing knowledge graphs in the field of mining require a large amount of manually labeled high-quality supervised data during the pre-training stage, resulting in high labor costs and low efficiency. Large Language Models (LLMs) can significantly improve the quality and efficiency of information extraction with only a small amount of manually labeled high-quality data. However, the prompt-based approach in LLMs suffers from catastrophic forgetting. To address this issue, graph-structured information was embedded into the prompt template and a Graph-Structured Prompt was proposed. By integrating this prompt into the LLM, high-quality construction of a mine accident knowledge graph based on the LLM was achieved. First, publicly available mine accident reports were collected from the Coal Mine Safety Production Network and preprocessed through formatting corrections and redundant information removal. Next, the LLM was utilized to extract knowledge embedded in the accident reports and K-means clustering was used to classify entities and relationships, thereby completing the construction of the mine accident ontology. Then, a small amount of data were labeled based on the ontology, which was used for LLM training and fine-tuning. Finally, the LLM embedded with the Graph-Structured Prompt was employed for information extraction, instantiating entity-relation triples to construct the mine accident knowledge graph. Experimental results showed that LLMs outperformed the Universal Information Extraction (UIE) model in entity and relationship extraction tasks. Moreover, the LLM embedded with the Graph-Structured Prompt achieved higher precision, recall, and F1 scores compared to those without it. "
"Leveraging LLM for Automated Ontology Extraction and Knowledge Graph
  Generation","https://scispace.com/paper/leveraging-llm-for-automated-ontology-extraction-and-6q9ilgzy4dtr","2024","Journal Article","","Mohammad Sadeq Abolhasani
Rong Pan","10.48550/arxiv.2412.00608","https://scispace.compdf/leveraging-llm-for-automated-ontology-extraction-and-6q9ilgzy4dtr.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLM prompting to extract entities and relations, then populates a Neo4j ontology; includes few‑shot prompts and batch processing, but limited baseline comparison and no human‑in‑loop analysis.","Extracting relevant and structured knowledge from large, complex technical documents within the Reliability and Maintainability (RAM) domain is labor-intensive and prone to errors. Our work addresses this challenge by presenting OntoKGen, a genuine pipeline for ontology extraction and Knowledge Graph (KG) generation. OntoKGen leverages Large Language Models (LLMs) through an interactive user interface guided by our adaptive iterative Chain of Thought (CoT) algorithm to ensure that the ontology extraction process and, thus, KG generation align with user-specific requirements. Although KG generation follows a clear, structured path based on the confirmed ontology, there is no universally correct ontology as it is inherently based on the user's preferences. OntoKGen recommends an ontology grounded in best practices, minimizing user effort and providing valuable insights that may have been overlooked, all while giving the user complete control over the final ontology. Having generated the KG based on the confirmed ontology, OntoKGen enables seamless integration into schemeless, non-relational databases like Neo4j. This integration allows for flexible storage and retrieval of knowledge from diverse, unstructured sources, facilitating advanced querying, analysis, and decision-making. Moreover, the generated KG serves as a robust foundation for future integration into Retrieval Augmented Generation (RAG) systems, offering enhanced capabilities for developing domain-specific intelligent applications. "
"Automated Knowledge Graph Construction for Supply Chain Datasets Assisted by LLMs","https://scispace.com/paper/automated-knowledge-graph-construction-for-supply-chain-5cvbd4h111lk","2025","Journal Article","","Luxuan Wang
Fugee Tsung","10.1109/case58245.2025.11164086","","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses zero‑shot LLM prompting for NER and RE, integrates results into a supply‑chain KG, but lacks scalability tests, baseline comparisons, and error‑analysis details.","In today’s data-driven supply chain management landscape, establishing connections among stakeholders from diverse resources is essential for effective analysis and decision-making. Knowledge graphs (KGs) provide a transformative solution by organizing fragmented inventory data into semantically rich, interconnected networks, enabling contextualized insights and robust reasoning. However, automating KG construction for supply chain datasets is challenging due to issues such as heterogeneous data integration (e.g., text documents, spreadsheets), domain-specific contextualization, and the need to model implicit operational dependencies. This paper introduces a novel framework that leverages large-language models (LLMs) with multi-step prompting workflow to address these challenges. Our AutoKG4SC approach automates the extraction of entities from various sources and constructs KGs to capture complex interdependencies among these entities. We utilize zero-shot prompting for ontology construction, Named Entity Recognition (NER), and Relation Extraction (RE) tasks, thereby eliminating the need for extensive domain-specific training and human prior knowledge. We validate the framework through a case study that demonstrates AutoKG4SC’s ability to construct high-quality KGs from supply chain datasets. This research presents an effective framework and prompt strategy for KG construction, which can be easily adapted to datasets with richer information and other application scenarios."
"Entity-Augmented Neuroscience Knowledge Retrieval Using Ontology and Semantic Understanding Capability of LLM","https://scispace.com/paper/entity-augmented-neuroscience-knowledge-retrieval-using-x0sf2eton0w4","2025","Journal Article","Neuroscience Informatics","Pralaypati Ta
Sriram Venkatesaperumal
Keerthi Ram
Mohanasankar Sivaprakasam
Pralaypati Ta
Sriram Venkatesaperumal
Keerthi Ram
Mohanasankar Sivaprakasam","10.1016/j.neuri.2025.100237","","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLM to extract entities and relations, builds a neuroscience KG, reports strong entity F1 and baseline comparisons; lacks prompt engineering and detailed error analysis.","Neuroscience research publications encompass a vast wealth of knowledge. Accurately retrieving existing information and discovering new insights from this extensive literature is essential for advancing the field. However, when knowledge is dispersed across multiple sources, current state-of-the-art retrieval methods often struggle to extract the necessary information. A knowledge graph (KG) can integrate and link knowledge from multiple sources. However, existing methods for constructing KGs in neuroscience often rely on labeled data and require domain expertise. Acquiring large-scale, labeled data for a specialized area like neuroscience presents significant challenges. This work proposes novel methods for constructing KG from unlabeled large-scale neuroscience research corpus utilizing large language models (LLM), neuroscience ontology, and text embeddings. We analyze the semantic relevance of neuroscience text segments identified by LLM for building the knowledge graph. We also introduce an entity-augmented information retrieval algorithm to extract knowledge from the KG. Several experiments were conducted to evaluate the proposed approaches. The results demonstrate that our methods significantly enhance knowledge discovery from the unlabeled neuroscience research corpus. The performance of the proposed entity and relation extraction method is comparable to the existing supervised method. It achieves an F1 score of 0.84 for entity extraction from the unlabeled data. The knowledge obtained from the KG improves answers to over 52% of neuroscience questions from the PubMedQA dataset and questions generated using selected neuroscience entities. "
