"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Leveraging LLM for automated ontology extraction and knowledge graph generation","https://scispace.com/paper/leveraging-llm-for-automated-ontology-extraction-and-6q9ilgzy4dtr","2024","Journal Article","","Mohammad Sadeq Abolhasani
Rong Pan","10.48550/arxiv.2412.00608","https://arxiv.org/pdf/2412.00608?","- **Relevance Score:** 63/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses LLMs to extract ontologies and generate KG, offers interactive UI, integrates with Neo4j, but lacks detailed visual drag‑drop editor, user studies, open code, and concrete AI‑agent case.","Extracting relevant and structured knowledge from large, complex technical documents within the Reliability and Maintainability (RAM) domain is labor-intensive and prone to errors. Our work addresses this challenge by presenting OntoKGen, a genuine pipeline for ontology extraction and Knowledge Graph (KG) generation. OntoKGen leverages Large Language Models (LLMs) through an interactive user interface guided by our adaptive iterative Chain of Thought (CoT) algorithm to ensure that the ontology extraction process and, thus, KG generation align with user-specific requirements. Although KG generation follows a clear, structured path based on the confirmed ontology, there is no universally correct ontology as it is inherently based on the user's preferences. OntoKGen recommends an ontology grounded in best practices, minimizing user effort and providing valuable insights that may have been overlooked, all while giving the user complete control over the final ontology. Having generated the KG based on the confirmed ontology, OntoKGen enables seamless integration into schemeless, non-relational databases like Neo4j. This integration allows for flexible storage and retrieval of knowledge from diverse, unstructured sources, facilitating advanced querying, analysis, and decision-making. Moreover, the generated KG serves as a robust foundation for future integration into Retrieval Augmented Generation (RAG) systems, offering enhanced capabilities for developing domain-specific intelligent applications. "
"Ontology engineering with Large Language Models","https://scispace.com/paper/ontology-engineering-with-large-language-models-3ix5dxd5ww","2023","Journal Article","arXiv.org","Patricia Mateiu
Adrian Groza","10.48550/arxiv.2307.16699","https://scispace.compdf/ontology-engineering-with-large-language-models-3ix5dxd5ww.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses fine‑tuned GPT‑3 to translate NL to OWL via a Protégé plugin; provides open code but lacks visual UI, pipeline integration, or user studies.","We tackle the task of enriching ontologies by automatically translating natural language (NL) into Description Logic (DL). Since Large Language Models (LLMs) are the best tools for translations, we fine-tuned a GPT-3 model to convert NL into OWL Functional Syntax. For fine-tuning, we designed pairs of sentences in NL and the corresponding translations. This training pairs cover various aspects from ontology engineering: instances, class subsumption, domain and range of relations, object properties relationships, disjoint classes, complements, or cardinality restrictions. The resulted axioms are used to enrich an ontology, in a human supervised manner. The developed tool is publicly provided as a Protégé plugin."
"NeOn-GPT: A Large Language Model-Powered Pipeline for Ontology Learning","https://scispace.com/paper/neon-gpt-a-large-language-model-powered-pipeline-for-d7d5yd3qvwwx","2024","Repository","","Das, Arunav
Poltronieri, Andrea
Haase Peter
Kovriguina, Liubov","10.5281/zenodo.11221930","","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides LLM-driven ontology generation and open-source code, but lacks visual editor, user studies, and AI-agent pipeline integration; only partial workflow support.","We address the task of ontology learning by combining the structured NeOn methodology framework with Large Language Models (LLMs) for translating natural language domain descriptions into Turtle syntax ontologies. The main contribution of the paper is a prompt pipeline tailored for domain-agnostic modeling, exemplified through the application to a domain-specific case study: the wine ontology. The resulting pipeline is used to develop NeOn-GPT, a workflow for automatic ontology modeling, and is integrated into the metaphactory platform. NeOn-GPT leverages the systematic approach of the NeOn methodology and LLMs’ generative capabilities to facilitate a more efficient ontology development process. We evaluate the proposed approach by conducting comprehensive evaluations using the Stanford wine ontology as the gold standard. The obtained results show that LLMs are not fully equipped to perform procedural tasks required for ontology development and lack the reasoning skills and domain expertise needed. Overall, LLMs require integration into workflow or trajectory tools for continuous knowledge engineering tasks. Nevertheless, LLMs can significantly alleviate the time and expertise needed. Our code base is publicly available for research and development purposes, accessible at: https://github.com/andreamust/NEON-GPT. "
"Ontology specific visual canvas generation to facilitate sense-making – an algorithmic approach","https://scispace.com/paper/ontology-specific-visual-canvas-generation-to-facilitate-7adsi7o5","2022","Journal Article","International Journal of Electrical and Computer Engineering","","","","- **Relevance Score:** 31/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a visual canvas for non‑technical domain experts, includes quantitative/qualitative tests, but lacks LLM generation, AI‑agent integration, and open‑source release.","Visualization is a critical necessity for ontological sense-making. This is very important for both ontologists as well as domain specialists. Domain specialists being, non-computing specialists like lawyers, medical doctors, farmers, agricultural specialists cannot tackle complex visualization representations, which is beyond their expertise. But, the involvement of the domain specialists is very critical for the verification of the ontology increments under construction. The majority of the existing visualization IDEs on ontology construction are not fine-tuned to assist the technical hurdles faced by non-computing domain specialists. This research investigates that aspect and proposed a new algorithm and a  visualization canvas that can resolve several of the critical problems faced by domain specialists. The proposed algorithm and the canvas has been tested for their efficacy on three distinct domains. Test results were quantitatively and qualitatively assessed and the outcomes were satisfactory "
"Knowledge Graph Creation and Management Made Easy with KGraphX","https://scispace.com/paper/knowledge-graph-creation-and-management-made-easy-with-3t4h5c1rp7yi","","","","Ahmad Hemid
Abderrahmane Khiat
Megha Jayakumar
Christoph Lange
Christoph Quix
Stefan Decker","10.1007/978-3-031-68312-1_4","https://www.researchgate.net/profile/Ahmad-Hemid/publication/376305245_Knowledge_Graph_Creation_and_Management_Made_Easy_with_KGraphX/links/6572ed36ea5f7f02054f0d8c/Knowledge-Graph-Creation-and-Management-Made-Easy-with-KGraphX.pdf","- **Relevance Score:** 31/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a visual, drag‑and‑drop editor for novices and reports a user study, but lacks LLM generation, AI‑agent integration, and open‑source release.","Tools for creating and managing knowledge graphs are a crucial ingredient of data management in various fields such as healthcare or manufacturing. Knowledge graphs comprise entities, attributes, and relationships, which help machines understand the meaning of data and facilitate data sharing. Although knowledge graphs are a key concept for many applications, their creation remains complex and challenging, especially for novice users. To address this limitation, we have developed KGraphX, an easy-to-use visual editor to make knowledge graph creation for users with limited knowledge of Semantic Web technology more engaging. KGraphX uses visual elements, predictive typing, and augmented information from existing knowledge repositories to create knowledge graphs easily. In a task-based evaluation, we have proven the usability and quality of the created knowledge graphs using KGraphX. Compared to other tools, our tool significantly enhanced knowledge graph creation by 80%, while also improving its clarity by 91%."
"OntoSpreadEd: Developing Ontologies with a Dedicated Online Template Spreadsheet Editor","https://scispace.com/paper/ontospreaded-developing-ontologies-with-a-dedicated-online-8x92zacx9dq0","2025","Journal Article","Wellcome open research","Björn Gehrke
Maya Braun
Paulina Schenk
Robert West
Susan Michie
Janna Hastings","10.12688/wellcomeopenres.24408.1","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a spreadsheet‑based ontology editor for non‑technical users and serves as a full ontology engineering tool; lacks LLM generation, AI‑agent integration, user studies, and clear open‑source release details.","<ns7:p>Background Ontologies are machine-readable representations of knowledge that can accelerate research across various disciplines. To build ontologies, domain scientists must formally capture their knowledge of their domains in structured forms. However, existing ontology editing tools are often built for ontologists or other technical experts who are familiar with the underlying Web Ontology Language (OWL) and are comfortable working with technically dense interfaces, or even without a visual interface. The resulting technically oriented tools create barriers to adoption and use by nontechnical domain experts. Methods To address this challenge, we present the Ontology Spreadsheet Editor (OntoSpreadEd), a web-based spreadsheet-like editor for ontologies that aims to make ontology development more efficient and accessible to a wide range of users. OntoSpreadEd is a web application that utilizes GitHub as a central version control platform, allowing users to create, edit and review ontologies using a familiar spreadsheet interface. The editor features a range of useful features, including autocomplete, validation and searching, to facilitate the development process. Conclusion OntoSpreadEd offers an accessible approach to ontology development that can help bridge the gap between researchers and ontology editors, accelerating the adoption of ontologies across diverse research fields.</ns7:p> "
"OntoGPT: A framework for melding ontologies, knowledge bases, and large language models","https://scispace.com/paper/ontogpt-a-framework-for-melding-ontologies-knowledge-bases-4dxq2cq00y8n","2023","Repository","","Mungall Chris","10.5281/zenodo.7995861","","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides LLM‑driven ontology extraction tools (SPIRES, SPINDOCTOR) and open‑source assets, but lacks visual UI, user studies, and AI‑agent pipeline case studies.","<em>Presentation from 19th Acubed &amp; Airbus Semantics Meetup, May 11th, 2023</em> <strong>Abstract</strong>: Scientists rely on biomedical knowledge bases such as the Gene Ontology in order to design experiments, predict outcomes, and interpret complex high-throughput molecular data. These knowledge bases contain complex assertions describing the contextual roles of genes in the functioning of cells and whole organisms. These assertions are acquired via painstaking curation from the biomedical literature. Automating the acquisition of these assertions is a hard problem requiring deep expertise to read and interpret scientific papers, and attempts to extract relationships via text mining have not reached a high enough level of accuracy to be deployed in production. Additionally, traditional text mining pipelines require extensive training data, and are typically not generalizable across different databases, or applicable in domains with complex semantic information models. The latest generation of Large Language Models (LLMs) such as GPT-3 and above have demonstrated exceptional general-purpose instruction following abilities, with a single model able to perform on a wide variety of tasks. However, these models lack grounding in knowledge bases, and are prone to hallucination. We have developed a framework called OntoGPT that brings together ontologies and LLMs. I will describe two tools that are part of OntoGPT (1) SPIRES, a tool for extracting semantic structures from text according to a user-specific knowledge schema specified using the LinkML framework, without training data. SPIRES is able to perform tasks such as scraping recipe websites to construct OWL ontologies grounded using classes from the Food Ontology, amenable to logical reasoning (2) SPINDOCTOR, a tool for interpreting genomics experiments. I will describe the strengths and limitations of LLMs for these applications, and potential avenues for future development. "
"SEMANCO User interfaces for domain experts interacting with SEIF","https://scispace.com/paper/semanco-user-interfaces-for-domain-experts-interacting-with-vl8cc0lksfoi","2025","Repository","","Sicilia, Álvaro","10.5281/zenodo.15630771","","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a dedicated ontology editor and visual UI for domain experts, released on Zenodo, but lacks LLM generation, AI‑pipeline integration, and user studies.","Deliverable 4.3 User interfaces for domain experts interacting with SEIF, developed within Work Package 4 Semantic energy information framework, summarizes the work done and the results achieved in Task 4.3 User interfaces for knowledge representation, whose goal is the development of front-end tools to facilitate ontology designers and domain experts the operations with data. Deliverable 4.3 contributes to the project with:- An ontology editor which fulfils requirements established through application of the ontology design methodology – explained in Deliverable 4.2 Semantic Energy Model–, concerning the quality of the ontology code and increasing efficiency of the coding process by automated generation of complex code constructions, such as DL-LiteA axioms. The editor has been developed as a tool for cooperative ontology design, involving ontology designers and domain experts, such as building engineers and energy consultants. Therefore, it has to fulfil particular requirements concerning usability. In this regard the editor offers a set of advanced visualisation features such as simultaneous representation of ontology from two different perspectives: on the fly inferring and graphical visualization of relations between concepts, widgets for customisation of presentation and easy access to editor’s functions, e.g. search, versioning or annotation. - A semantic data explorer environment to enable domain experts to explore the data exposed by the Semantic Energy Information Framework (SEIF). The environments make use of the ontology to support the users in the query formulation. The data explorer is composed of three tools: the search, the relate, and the query. Since the SEIF provides data which is already integrated, this tool enables users to find and navigate through the relations between different data sources.Although these three tools (the search, the relate, and the query) have different goals and tasks to fulfil, they share two common environmental components, i.e. the administration module and the query engine. The former enables experts to configure the SPARQL endpoints by selecting query optimization settings. The query engine uses the input of the user, in form of keywords, to create a SPARQL code dynamically and to retrieve data from corresponding SPARQL endpoints. The generated code depends on the settings selected using the administration module. "
"The Artificial Intelligence Ontology: LLM-Assisted Construction of AI Concept Hierarchies","https://scispace.com/paper/the-artificial-intelligence-ontology-llm-assisted-7a1cjgvl4fdk","2024","Journal Article","Applied Ontology","Marcin P. Joachimiak
Mark A. Miller
J. Harry Caufield
Ryan Ly
Nomi L. Harris
Andrew Tritt
Chris Mungall
Kristofer E. Bouchard","10.1177/15705838241304103","https://scispace.compdf/the-artificial-intelligence-ontology-llm-assisted-7a1cjgvl4fdk.pdf","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides LLM‑assisted ontology building and open‑source ODK/ROBOT pipeline, but lacks visual UI, user studies, and AI‑agent integration.","The Artificial Intelligence Ontology (AIO) is a systematization of artificial intelligence (AI) concepts, methodologies, and their interrelations. Developed via manual curation, with the additional assistance of large language models (LLMs), AIO aims to address the rapidly evolving landscape of AI by providing a comprehensive framework that encompasses both technical and ethical aspects of AI technologies. The primary audience for AIO includes AI researchers, developers, and educators seeking standardized terminology and concepts within the AI domain. We use the term “branches” for classes, and their subclasses, in our ontology that are subclasses of owl:Thing. AIO contains eight branches: Bias, Layer, Machine Learning Task, Mathematical Function, Model, Network, Preprocessing, and Training Strategy, each designed to support the modular composition of AI methods and facilitate a deeper understanding of deep learning architectures and ethical considerations in AI. AIO uses the Ontology Development Kit (ODK) for its creation and maintenance, with its content being more easily updated through AI-driven curation support. This approach not only ensures the ontology's relevance amidst the fast-paced advancements in AI but also significantly enhances its utility for researchers, developers, and educators by simplifying the integration of new AI concepts and methodologies. The ontology's utility is demonstrated through the annotation of AI methods data in a catalog of AI research publications and the integration into the BioPortal ontology resource, highlighting its potential for cross-disciplinary research. The AIO ontology is open source and is available on GitHub ( https://w3id.org/aio/ ) and BioPortal ( https://bioportal.bioontology.org/ontologies/AIO ). "
"Semantic Knowledge Modeling for Domain Experts &amp; Business Users","https://scispace.com/paper/semantic-knowledge-modeling-for-domain-experts-business-tx3mkoakr6xq","2023","Repository","","Ademar Crotti Junior","10.5281/zenodo.7885650","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a visual, user‑friendly ontology editor for business users, fulfilling core tool and UI criteria; lacks LLM generation, AI‑agent integration, user studies, and detailed open‑source details.","Knowledge Graphs drive modern data fabrics, enabling frictionless access to and sharing of data. They have led to great advances in terms of data integration, interoperability and accessibility, and are a key instrument for transforming data into valuable and actionable knowledge. But while the benefits of knowledge graphs have become clear, the road to their implementation has often been long and complex and success has relied on the involvement of seasoned knowledge graph experts. For example, most ontology modeling tools available today target the ontology engineer, thus excluding domain experts and common business users from this process. Topics covered In this masterclass, we will present a new approach to semantic knowledge modeling based on metaphactory's visual and user-friendly interface for creating, exploring, visualizing, editing and documenting knowledge graph assets such as ontologies, taxonomies and instance data. The visual language translates to core elements of OWL, SHACL, SKOS and RDF, and results in knowledge graph assets based on open and flexible W3C standards. Specifically, this masterclass will cover: Visual creation of OWL/SHACL ontologies which allows business users and domain experts to contribute to the ontology engineering process Creation and management of SKOS taxonomies which allows business users and domain experts to capture business-relevant terms in organized vocabularies Data catalog integration - Creation, management and import of existing dataset metadata at integration time Creating model-driven data curation interfaces Creating model-driven search interfaces Benefits With this approach, creating a knowledge graph becomes a streamlined, end-to-end process where all relevant stakeholders are equally involved. This enables true knowledge democratization by connecting knowledge modeling, knowledge description, knowledge generation, and knowledge consumption under one umbrella. "
