"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Heterogeneous LLM Methods for Ontology Learning (Few-Shot Prompting, Ensemble Typing, and Attention-Based Taxonomies)","https://scispace.com/paper/heterogeneous-llm-methods-for-ontology-learning-few-shot-l2hlsz5sftj3","2025","Journal Article","arXiv.org","Aleksandra Beliaeva
Temurbek Rahmatullaev","10.48550/arxiv.2508.19428","https://scispace.compdf/heterogeneous-llm-methods-for-ontology-learning-few-shot-l2hlsz5sftj3.pdf","- **Relevance Score:** 96/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLM‑driven RAG and few‑shot prompting for end‑to‑end ontology learning from raw corpora, domain‑agnostic, includes schema induction, shows zero‑shot generalization and multi‑domain tests, discusses scalability.","We present a comprehensive system for addressing Tasks A, B, and C of the LLMs4OL 2025 challenge, which together span the full ontology construction pipeline: term extraction, typing, and taxonomy discovery. Our approach combines retrieval-augmented prompting, zero-shot classification, and attention-based graph modeling -- each tailored to the demands of the respective task. For Task A, we jointly extract domain-specific terms and their ontological types using a retrieval-augmented generation (RAG) pipeline. Training data was reformulated into a document to terms and types correspondence, while test-time inference leverages semantically similar training examples. This single-pass method requires no model finetuning and improves overall performance through lexical augmentation Task B, which involves assigning types to given terms, is handled via a dual strategy. In the few-shot setting (for domains with labeled training data), we reuse the RAG scheme with few-shot prompting. In the zero-shot setting (for previously unseen domains), we use a zero-shot classifier that combines cosine similarity scores from multiple embedding models using confidence-based weighting. In Task C, we model taxonomy discovery as graph inference. Using embeddings of type labels, we train a lightweight cross-attention layer to predict is-a relations by approximating a soft adjacency matrix. These modular, task-specific solutions enabled us to achieve top-ranking results in the official leaderboard across all three tasks. Taken together these strategies showcase the scalability, adaptability, and robustness of LLM-based architectures for ontology learning across heterogeneous domains. Code is available at: https://github.com/BelyaevaAlex/LLMs4OL-Challenge-Alexbek"
"Autoschemakg: Autonomous knowledge graph construction through dynamic schema induction from web-scale corpora","https://scispace.com/paper/autoschemakg-autonomous-knowledge-graph-construction-through-k561asv6hgsd","2025","Journal Article","arXiv.org","Jianwei Bai
Wei Fan
Qi Hu
Qing Zong
Chunyang Li
Hong Ting Tsang
Hongyu Luo
Yauwai Yim
Haoyu Huang
Xiao Zhou
Feng Qin
Tianshi Zheng
Xi Peng
Xin Yao
Huiwen Yang
Leijie Wu
Yi Ji
Gong Zhang
Renhai Chen
Yangqiu Song","10.48550/arxiv.2505.23628","https://arxiv.org/pdf/2505.23628","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLMs to extract triples and induce schema from 50 M documents, enabling autonomous, domain‑agnostic KG construction; demonstrates scalability and compares favorably to prior methods.",""
"ScheMatiQ: From Research Question to Structured Data through Interactive Schema Discovery","https://scispace.com/paper/http://arxiv.org/abs/2604.09237v1","2026","Preprint","","Shahar Levy
Eliya Habba
Reshef Mintz
Barak Raveh
Renana Keydar
Gabriel Stanovsky","","https://arxiv.org/pdf/2604.09237v1","- **Relevance Score:** 72/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses LLM to generate schemas and grounded databases from corpora; works across law and biology without domain‑specific rules; extracts class hierarchies interactively; limited evidence of extending to unseen domains; evaluates on two domains; no baseline comparisons or scalability metrics; includes interactive human‑in‑the‑loop validation.","Many disciplines pose natural-language research questions over large document collections whose answers typically require structured evidence, traditionally obtained by manually designing an annotation schema and exhaustively labeling the corpus, a slow and error-prone process. We introduce ScheMatiQ, which leverages calls to a backbone LLM to take a question and a corpus to produce a schema and a grounded database, with a web interface that lets steer and revise the extraction. In collaboration with domain experts, we show that ScheMatiQ yields outputs that support real-world analysis in law and computational biology. We release ScheMatiQ as open source with a public web interface, and invite experts across disciplines to use it with their own data. All resources, including the website, source code, and demonstration video, are available at: www.ScheMatiQ-ai.com"
"Zero-Shot On-the-Fly Event Schema Induction","https://scispace.com/paper/zero-shot-on-the-fly-event-schema-induction-1bz5yvx5","2022","Posted Content","","","10.48550/arxiv.2210.06254","https://scispace.com/pdf/zero-shot-on-the-fly-event-schema-induction-1bz5yvx5.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Zero-shot generates event schemas on any topic using LLMs; extracts full event‑argument‑relation schema; generalizes across domains; evaluated on pandemic and wedding scenarios; human judges rate completeness higher.","What are the events involved in a pandemic outbreak? What steps should be taken when planning a wedding? The answers to these questions can be found by collecting many documents on the complex event of interest, extracting relevant information, and analyzing it. We present a new approach in which large language models are utilized to generate source documents that allow predicting, given a high-level event definition, the specific events, arguments, and relations between them to construct a schema that describes the complex event in its entirety. Using our model, complete schemas on any topic can be generated on-the-fly without any manual data collection, i.e., in a zero-shot manner. Moreover, we develop efficient methods to extract pertinent information from texts and demonstrate in a series of experiments that these schemas are considered to be more complete than human-curated ones in the majority of examined scenarios. Finally, we show that this framework is comparable in performance with previous supervised schema induction methods that rely on collecting real texts while being more general and flexible without the need for a predefined ontology. "
"End-to-End Ontology Learning with Large Language Models","https://scispace.com/paper/end-to-end-ontology-learning-with-large-language-models-4m207co75t7q","2024","Journal Article","","Andrea Lo
Albert Q. Jiang
Wenda Li
Mateja Jamnik","10.48550/arxiv.2410.23584","https://scispace.compdf/end-to-end-ontology-learning-with-large-language-models-4m207co75t7q.pdf","- **Relevance Score:** 67/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses LLM end‑to‑end to build ontologies from Wikipedia, directly processes corpus, includes schema‑like node/edge extraction, adds regulariser for better generalisation, compares against prior methods and discusses scalability, but lacks multi‑domain tests and downstream validation.","Ontologies are useful for automatic machine processing of domain knowledge as they represent it in a structured format. Yet, constructing ontologies requires substantial manual effort. To automate part of this process, large language models (LLMs) have been applied to solve various subtasks of ontology learning. However, this partial ontology learning does not capture the interactions between subtasks. We address this gap by introducing OLLM, a general and scalable method for building the taxonomic backbone of an ontology from scratch. Rather than focusing on subtasks, like individual relations between entities, we model entire subcomponents of the target ontology by finetuning an LLM with a custom regulariser that reduces overfitting on high-frequency concepts. We introduce a novel suite of metrics for evaluating the quality of the generated ontology by measuring its semantic and structural similarity to the ground truth. In contrast to standard metrics, our metrics use deep learning techniques to define more robust distance measures between graphs. Both our quantitative and qualitative results on Wikipedia show that OLLM outperforms subtask composition methods, producing more semantically accurate ontologies while maintaining structural integrity. We further demonstrate that our model can be effectively adapted to new domains, like arXiv, needing only a small number of training examples. Our source code and datasets are available at https://github.com/andylolu2/ollm. "
"AI Agent-Driven Framework for Automated Product Knowledge Graph Construction in E-Commerce","https://scispace.com/paper/ai-agent-driven-framework-for-automated-product-knowledge-bvp49ew2ujpv","2025","Repository","","Stojanov, Riste
Trajanov, Dimitar","10.5281/zenodo.16912163","https://arxiv.org/pdf/2511.11017","- **Relevance Score:** 65/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses LLM agents to auto‑generate product ontology from descriptions, includes schema extraction, but is product‑specific, lacks domain‑agnostic claims, generalization, multi‑domain tests, and detailed scalability analysis.","&lt;p&gt;The rapid expansion of e-commerce platforms generates vast&nbsp;amounts of unstructured product data, creating significant challenges&nbsp;for information retrieval, recommendation systems, and data analytics.&nbsp;Knowledge Graphs (KGs) offer a structured, interpretable format to organize such data, yet constructing product-specific KGs remains a complex and manual process. This paper introduces a fully automated, AI&nbsp;agent-driven framework for constructing product knowledge graphs directly from unstructured product descriptions. Leveraging Large Language Models (LLMs), our method operates in three stages using dedicated agents: ontology creation and expansion, ontology refinement, and&nbsp;knowledge graph population. This agent-based approach ensures semantic coherence, scalability, and high-quality output with out relying on predefined schemas or handcrafted extraction rules. We evaluate the system&nbsp;on a real-world dataset of air conditioner product descriptions, demonstrating strong performance in both ontology generation and KG population. The framework achieves over 97% property coverage and minimal&nbsp;redundancy, validating its effectiveness and practical applicability. Our&nbsp;work highlights the potential of LLMs to automate structured knowledge&nbsp;extraction in retail, providing a scalable path toward intelligent product&nbsp;data integration and utilization.&lt;/p&gt; "
"Extract, Define, Canonicalize: An LLM-based Framework for Knowledge Graph Construction","https://scispace.com/paper/extract-define-canonicalize-an-llm-based-framework-for-1hwxr7dbc2","2024","Journal Article","arXiv.org","Bowen Zhang
Harold Soh","10.48550/arxiv.2404.03868","https://scispace.compdf/extract-define-canonicalize-an-llm-based-framework-for-1hwxr7dbc2.pdf","- **Relevance Score:** 63/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses LLMs for extraction, defines schema, works across domains without hand‑crafted resources, processes corpora directly, but limited evidence on unseen‑domain generalization and downstream validation.","In this work, we are interested in automated methods for knowledge graph creation (KGC) from input text. Progress on large language models (LLMs) has prompted a series of recent works applying them to KGC, e.g., via zero/few-shot prompting. Despite successes on small domain-specific datasets, these models face difficulties scaling up to text common in many real-world applications. A principal issue is that in prior methods, the KG schema has to be included in the LLM prompt to generate valid triplets; larger and more complex schema easily exceed the LLMs' context window length. To address this problem, we propose a three-phase framework named Extract-Define-Canonicalize (EDC): open information extraction followed by schema definition and post-hoc canonicalization. EDC is flexible in that it can be applied to settings where a pre-defined target schema is available and when it is not; in the latter case, it constructs a schema automatically and applies self-canonicalization. To further improve performance, we introduce a trained component that retrieves schema elements relevant to the input text; this improves the LLMs' extraction performance in a retrieval-augmented generation-like manner. We demonstrate on three KGC benchmarks that EDC is able to extract high-quality triplets without any parameter tuning and with significantly larger schemas compared to prior works."
"Automated mining of structured knowledge from text in the era of large language models","https://scispace.com/paper/automated-mining-of-structured-knowledge-from-text-in-the-2nvv28p8aptt","2024","Journal Article","","Yunyi Zhang
Ming Zhong
Siru Ouyang
Yizhu Jiao
Sizhe Zhou
Linyi Ding
Jiawei Han","10.1145/3637528.3671469","https://dl.acm.org/doi/pdf/10.1145/3637528.3671469","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses LLMs to generate pseudo‑documents and map text to a structured schema, directly mining ontologies from corpora; includes dedicated schema extraction. Claims broad applicability but lacks explicit domain‑agnostic guarantees, generalization tests, multi‑domain experiments, comparative baselines, scalability metrics, or downstream validation.",""
"SBU-NLP at LLMs4OL 2025 Tasks A, B, and C: Stage-Wise Ontology Construction Through LLMs Without any Training Procedure","https://scispace.com/paper/sbu-nlp-at-llms4ol-2025-tasks-a-b-and-c-stage-wise-ontology-1xwl7gop49ih","2025","Proceedings Article","Open conference proceedings","Rashin Rahnamoun
Mehrnoush Shamsfard
Rashin Rahnamoun
Mehrnoush Shamsfard","10.52825/ocp.v6i.2887","https://scispace.compdf/sbu-nlp-at-llms4ol-2025-tasks-a-b-and-c-stage-wise-ontology-1xwl7gop49ih.pdf","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses LLM prompting to extract ontology terms, types, and taxonomies directly from corpora without training; claims domain‑agnostic but lacks multi‑domain tests and detailed schema extraction.","Automated ontology construction is a challenging task that traditionally requires extensive domain expertise, data preprocessing, and resource-intensive model training. While learning-based methods with fine-tuning are common, they often suffer from high computational costs and limited generalizability across domains. This paper explores a fully automated approach that leverages powerful large language models (LLMs) through prompt engineering, eliminating the need for training or fine-tuning. We participated in the LLMs4OL 2025 shared task, which includes four subtasks: extracting ontological terms and types (Text2Onto), assigning generalized types to terms (Term Typing), discovering taxonomic relations (Taxonomy Discovery), and extracting non-taxonomic semantic relations (Non-Taxonomic Relation Extraction). Our team focused on the first three tasks by using stratified random sampling, simple random sampling, and chunking-based strategies to include training sets in the prompts without limitations imposed by context window sizes. This simple yet general approach has proven effective across these tasks, enabling high-quality ontology construction without additional annotations or training. Additionally, we show that pretrained sentence embedding models ranging from 0.1B to 1.5B parameters perform comparably to a simple F1 token overlap baseline in taxonomy discovery, suggesting that embedding-based methods may not always offer significant advantages. Our findings highlight that prompt-based strategies with modern LLMs enable efficient, scalable, and domain-independent ontology construction, providing a promising alternative to traditional, resource-heavy methods. "
"CEO: Corpus-based Open-Domain Event Ontology Induction","https://scispace.com/paper/ceo-corpus-based-open-domain-event-ontology-induction-1wmar83a","2023","Journal Article","arXiv.org","Hongming Zhang
Jianshu Chen","10.48550/arXiv.2305.13521","https://scispace.compdf/ceo-corpus-based-open-domain-event-ontology-induction-1wmar83a.pdf","- **Relevance Score:** 57/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Induces ontology directly from corpora and extracts hierarchical schema on eleven open-domain datasets; generalizes moderately but lacks LLM usage and downstream validation.","Existing event-centric NLP models often only apply to the pre-defined ontology, which significantly restricts their generalization capabilities. This paper presents CEO, a novel Corpus-based Event Ontology induction model to relax the restriction imposed by pre-defined event ontologies. Without direct supervision, CEO leverages distant supervision from available summary datasets to detect corpus-wise salient events and exploits external event knowledge to force events within a short distance to have close embeddings. Experiments on three popular event datasets show that the schema induced by CEO has better coverage and higher accuracy than previous methods. Moreover, CEO is the first event ontology induction model that can induce a hierarchical event ontology with meaningful names on eleven open-domain corpora, making the induced schema more trustworthy and easier to be further curated."
