"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Human-AI Schema Discovery and Application for Creative Problem Solving","https://scispace.com/paper/human-ai-schema-discovery-and-application-for-creative-ip8m5j4egxfp","2025","Journal Article","arXiv.org","Sitong Wang","10.48550/arxiv.2508.05045","https://scispace.compdf/human-ai-schema-discovery-and-application-for-creative-ip8m5j4egxfp.pdf","- **Relevance Score:** 45/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses AI to cluster examples, infer dimensions, and iteratively refine a schema across multiple documents, but does not map schemas to ontologies, evaluate ontology quality, or demonstrate large‑scale performance.","Humans often rely on underlying structural patterns-schemas-to create, whether by writing stories, designing software, or composing music. Schemas help organize ideas and guide exploration, but they are often difficult to discover and apply, especially in complex or unfamiliar domains. My Ph.D. research develops a framework for human-AI schema discovery and application to support creative problem solving. I design systems that support users in sensemaking over examples to abstract schemas, and in operationalizing schemas into human-AI co-creative workflows for application. This research offers insights into how schema-guided interaction can make implicit knowledge more accessible and actionable, advancing more transparent and collaborative human-AI systems."
"Leveraging Collection-Wide Similarities for Unsupervised Document Structure Extraction","https://scispace.com/paper/leveraging-collection-wide-similarities-for-unsupervised-5zl3ypmxyf","2024","Journal Article","arXiv.org","Gili Lior
Yoav Goldberg
G. Stanovsky","10.48550/arxiv.2402.13906","","- **Relevance Score:** 45/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses unsupervised graph method to learn collection-wide document schema, but does not map schema to ontologies or evaluate ontology quality; scalability tested on modest multi‑domain corpora.","Document collections of various domains, e.g., legal, medical, or financial, often share some underlying collection-wide structure, which captures information that can aid both human users and structure-aware models. We propose to identify the typical structure of document within a collection, which requires to capture recurring topics across the collection, while abstracting over arbitrary header paraphrases, and ground each topic to respective document locations. These requirements pose several challenges: headers that mark recurring topics frequently differ in phrasing, certain section headers are unique to individual documents and do not reflect the typical structure, and the order of topics can vary between documents. Subsequently, we develop an unsupervised graph-based method which leverages both inter- and intra-document similarities, to extract the underlying collection-wide structure. Our evaluations on three diverse domains in both English and Hebrew indicate that our method extracts meaningful collection-wide structure, and we hope that future work will leverage our method for multi-document applications and structure-aware models."
"ReCG: Bottom-up JSON Schema Discovery Using a Repetitive Cluster-and-Generalize Framework","https://scispace.com/paper/recg-bottom-up-json-schema-discovery-using-a-repetitive-34dei3i7hw1s","2024","Journal Article","Proceedings of The Vldb Endowment","Joohyung Yun
Byungchul Tak
Wook-Shin Han","10.14778/3681954.3682019","","- **Relevance Score:** 45/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses bottom‑up clustering to induce JSON schemas from many similar documents—perfect match for joint schema induction. Shows speed gains, hinting at scalability, but lacks any ontology mapping or evaluation.","The schemalessness, one of the major advantages of JSON representation format, comes with high penalties in querying and operations by denying various critical functions such as query optimizations, indexing, or data verification. There have been continuous efforts to develop an accurate JSON schema discovery algorithm from a bag of JSON documents. Unfortunately, existing schema discovery techniques, being top-down algorithms, face challenges from the lack of visibility into children nodes of JSON tree. With absence of the information about lower-level JSON elements, top-down algorithms need to employ assumptions and heuristics to decide the schema type of nodes. However, such static decisions are often violated in datasets which causes top-down algorithms to perform poorly. To overcome this, we propose an algorithm, called ReCG, that processes JSON documents in a bottom-up manner. It builds up schemas from leaf elements upward in the JSON document tree and, thus, can make more informed decisions of the schema node types. In addition, we adopt MDL (Minimum Description Length) principles systematically while building up the schemas to choose among candidate schemas the most concise yet accurate one with well-balanced generality. Evaluations show that our technique improves the recall and precision of found schemas by as high as 47%, resulting in 46% better F1 score while also performing 2.11× faster on average against the state-of-the-art."
"Causal schema induction for knowledge discovery","https://scispace.com/paper/http://arxiv.org/abs/2303.15381v1","2023","Preprint","","Michael Regan
Jena D. Hwang
Keisuke Sakaguchi
James Pustejovsky","","https://arxiv.org/pdf/2303.15381v1","- **Relevance Score:** 45/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Perfectly induces causal schemas from similar news articles, discovering shared causal structures. Applies to sizable news corpora but lacks explicit scalability analysis. No ontology population or evaluation.","Making sense of familiar yet new situations typically involves making generalizations about causal schemas, stories that help humans reason about event sequences. Reasoning about events includes identifying cause and effect relations shared across event instances, a process we refer to as causal schema induction. Statistical schema induction systems may leverage structural knowledge encoded in discourse or the causal graphs associated with event meaning, however resources to study such causal structure are few in number and limited in size. In this work, we investigate how to apply schema induction models to the task of knowledge discovery for enhanced search of English-language news texts. To tackle the problem of data scarcity, we present Torquestra, a manually curated dataset of text-graph-schema units integrating temporal, event, and causal structures. We benchmark our dataset on three knowledge discovery tasks, building and evaluating models for each. Results show that systems that harness causal structure are effective at identifying texts sharing similar causal meaning components rather than relying on lexical cues alone. We make our dataset and models available for research purposes."
"Schemex: Interactive Structural Abstraction from Examples with Contrastive Refinement","https://scispace.com/paper/schemex-interactive-structural-abstraction-from-examples-wwebwn0tk2ww","2025","Journal Article","arXiv.org","Sitong Wang
Samia Menon
Dingzeyu Li
Xiaojuan Ma
Richard Zemel
Lydia B. Chilton","10.48550/arxiv.2504.11795","https://scispace.compdf/schemex-interactive-structural-abstraction-from-examples-wwebwn0tk2ww.pdf","- **Relevance Score:** 45/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses AI‑assisted clustering, abstraction, and contrastive refinement to induce structural schemas from example documents; no ontology population, linkage, or large‑scale evaluation reported.",""
"JSONoid: Monoid-based Enrichment for Configurable and Scalable
  Data-Driven Schema Discovery","https://scispace.com/paper/jsonoid-monoid-based-enrichment-for-configurable-and-3enqd0vr","2023","Posted Content","","Venkatesh R Naik","10.48550/arxiv.2307.03113","https://scispace.com/pdf/jsonoid-monoid-based-enrichment-for-configurable-and-3enqd0vr.pdf","- **Relevance Score:** 41/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses monoid‑based enrichment to discover JSON schemas across distributed data, emphasizing scalable processing; does not address ontology population or evaluation.","Schema discovery is an important aspect to working with data in formats such as JSON. Unlike relational databases, JSON data sets often do not have associated structural information. Consumers of such datasets are often left to browse through data in an attempt to observe commonalities in structure across documents to construct suitable code for data processing. However, this process is time-consuming and error-prone. Existing distributed approaches to mining schemas present a significant usability advantage as they provide useful metadata for large data sources. However, depending on the data source, ad hoc queries for estimating other properties to help with crafting an efficient data pipeline can be expensive. We propose JSONoid, a distributed schema discovery process augmented with additional metadata in the form of monoid data structures that are easily maintainable in a distributed setting. JSONoid subsumes several existing approaches to distributed schema discovery with similar performance. Our approach also adds significant useful additional information about data values to discovered schemas with linear scalability. "
"Schemex: Discovering Design Patterns from Examples through Iterative Abstraction and Refinement","https://scispace.com/paper/schemex-discovering-design-patterns-from-examples-through-bldxxt3xbgm0","2025","Journal Article","arXiv.org","Sitong Wang
Lydia B. Chilton","10.48550/arxiv.2502.15105","https://scispace.compdf/schemex-discovering-design-patterns-from-examples-through-bldxxt3xbgm0.pdf","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses AI‑assisted clustering and abstraction to derive template‑like schemas from multiple similar documents, but does not map schemas to ontologies, evaluate ontology quality, or demonstrate large‑scale performance.",""
"Graph-based event schema induction in open-domain corpus","https://scispace.com/paper/graph-based-event-schema-induction-in-open-domain-corpus-4r5z04i6jz","2024","Journal Article","PeerJ","Kai Yan
Wei Liu
Shaorong Xie
Peng Yan","10.7717/peerj-cs.2155","","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Induces event schemas from an open-domain corpus using graph clustering; does not map schemas to ontologies or evaluate ontology quality; experiments on a moderate‑size dataset suggest limited scalability.","An event schema provides a formal language for representing events and modeling knowledge about the world. Existing event schema induction methods often only applies text features to the cluster, restricting its cluster capabilities. This article presents a Graph-Based Event Schema Induction model to extract structural features from our constructed graph. Inspired by in-context learning, we propose a way to conceptualize clusters to generate event schemas. We evaluated the clustering experiment using the Adjusted Rand Index (ARI), normalized mutual information (NMI), accuracy (ACC), and BCubed-F1 metrics and generated event schemas based on overlap ratio and acceptable ratio. The experimental results show that our method has shown improvement in terms of clustering effectiveness, and the generated event schemas achieved highly acceptable ratio. "
"Large Language Models for JSON Schema Discovery","https://scispace.com/paper/large-language-models-for-json-schema-discovery-4u0ce42x02","2024","Journal Article","","Michael J. Mior","10.48550/arxiv.2407.03286","https://scispace.compdf/large-language-models-for-json-schema-discovery-4u0ce42x02.pdf","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLMs to inductively discover JSON schemas from document collections, but provides no ontology mapping, quality evaluation, or scalability analysis.","Semi-structured data formats such as JSON have proved to be useful data models for applications that require flexibility in the format of data stored. However, JSON data often come without the schemas that are typically available with relational data. This has resulted in a number of tools for discovering schemas from a collection of data. Although such tools can be useful, existing approaches focus on the syntax of documents and ignore semantic information. In this work, we explore the automatic addition of meaningful semantic information to discovered schemas similar to information that is added by human schema authors. We leverage large language models and a corpus of manually authored JSON Schema documents to generate natural language descriptions of schema elements, meaningful names for reusable definitions, and identify which discovered properties are most useful and which can be considered ""noise"". Our approach performs well on existing metrics for text generation that have been previously shown to correlate well with human judgement. "
"Constructing Co-Occurrence Graphs and Deriving Flood Ontologies for Enhanced Understanding","https://scispace.com/paper/constructing-co-occurrence-graphs-and-deriving-flood-6o7ql9xgt8ub","2024","Journal Article","","Sundos Nasser Said Al Subhi
Armin R. Mikler
Mario Kubek","10.1109/icici62254.2024.00009","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Automates flood ontology creation via co‑occurrence graph extraction, but lacks explicit schema discovery focus, evaluation metrics, and scalability analysis.","Developing ontologies traditionally requires significant expertise and time investment. The research study proposes an approach to automate the construction of flood ontologies from textual documents using Natural Language Processing (NLP) techniques and ontology learning. The research work presents an algorithm specifically designed to extract relevant concepts and relationships from flood-related documents, facilitating the automatic generation of ontologies. By constructing co-occurrence graphs and employing the proposed algorithm, the proposed approach aims to uncover implicit knowledge embedded within textual data, thus enhancing understanding and enabling more efficient ontology construction. The significance of this work lies in its potential to streamline the process of building flood ontologies, reducing the reliance on domain experts and accelerating the pace of ontology development. The proposed approach empowers researchers and practitioners to quickly identify key concepts and relationships relevant to flood management and research. This, in turn, can facilitate more effective decision-making and resource allocation in flood-prone areas."
