"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"An automatic and end-to-end system for rare disease knowledge graph construction based on ontology-enhanced large language models: development study","https://scispace.com/paper/5Oh1zkPx8qgJ","","","","L Cao
J Sun
A Cross","","","… We implemented this system using GPT-4 and medical … in entity extraction, relation extraction, and knowledge graph … In our system, we use GPT-4, which has a token limit of 8000…",""
"An accurate and efficient approach to knowledge extraction from scientific publications using structured ontology models, graph neural networks, and large …","https://scispace.com/paper/UeTyan-Ws-sJ","","","","TV Ivanisenko
PS Demenkov","","","… we have addressed entity recognition and relation extraction … for the human organism, following the protocol for automatic … to the pre-trained LLM gpt-4o-2024-05-13 (GPT-4o), which …",""
"From Text to Knowledge Graph: Comparing Relation Extraction Methods in a Practical Context.","https://scispace.com/paper/PwA8iPZv6-YJ","","","","RM Bakker
DL Di Scala","","https://scholarlypublications.universiteitleiden.nl/access/item%3A4283602/download","… relations, with the goal of automated knowledge graph extraction. The contributions of this … GPT models demonstrate superior performance compared to the other relation extraction …",""
"Ontology-based BERT model for automated information extraction from geological hazard reports","https://scispace.com/paper/ontology-based-bert-model-for-automated-information-2zt9ub44or","2023","Journal Article","Journal of Earth Science","Miao Tian
Yongjian Tan
Qinjun Qiu
Rong Huang","10.1007/s12583-022-1724-z","","… The contributions of this research are threefold: (1) This paper proposes the BERT-BiGRU-CRF model as a novel name entity recognition model to extract entities from natural-language …",""
"Enhancing knowledge graph construction using large language models","https://scispace.com/paper/enhancing-knowledge-graph-construction-using-large-language-3cdx1i3r","2023","Posted Content","","M Trajanoska
R Stojanov
D Trajanov","10.48550/arxiv.2305.04676","https://arxiv.org/pdf/2305.04676","… Furthermore, we explored the potential of automatic ontology creation using foundation LLM … ChatGPT [12]. We show that although REBEL is specifically trained for relation extraction, …","The growing trend of Large Language Models (LLM) development has attracted significant attention, with models for various applications emerging consistently. However, the combined application of Large Language Models with semantic technologies for reasoning and inference is still a challenging task. This paper analyzes how the current advances in foundational LLM, like ChatGPT, can be compared with the specialized pretrained models, like REBEL, for joint entity and relation extraction. To evaluate this approach, we conducted several experiments using sustainability-related text as our use case. We created pipelines for the automatic creation of Knowledge Graphs from raw texts, and our findings indicate that using advanced LLM models can improve the accuracy of the process of creating these graphs from unstructured text. Furthermore, we explored the potential of automatic ontology creation using foundation LLM models, which resulted in even more relevant and accurate knowledge graphs. "
"Knowledge graphs and their reciprocal relationship with large language models","https://scispace.com/paper/knowledge-graphs-and-their-reciprocal-relationship-with-sg8zbl73l7lq","2025","Journal Article","Machine learning and knowledge extraction","Ramandeep Singh Dehal
Mehak Sharma
Enayat Rajabi","10.3390/make7020038","","… such as “Large Language Model” and “Knowledge Graph” to … as entity recognition, relation extraction, schema design, and … with relation extraction, LLMs enable scalable and automated …",""
"Knowledge Base-enhanced Multilingual Relation Extraction with Large Language Models.","https://scispace.com/paper/GaI7Xb5BYTUJ","","","","T Chen
P Sen
Z Wang
Z Jiang
J Su","","https://ceur-ws.org/Vol-3818/paper4.pdf","… : GPT-3.5, Llama 2 [24], and Flan-T5 [25], and we access the models with different approaches and settings. For GPT-3.5, we call the API by OpenAI2 and select the gpt-… -automatic data …",""
"Extract, define, canonicalize: An llm-based framework for knowledge graph construction","https://scispace.com/paper/extract-define-canonicalize-an-llm-based-framework-for-1hwxr7dbc2","2024","Journal Article","arXiv.org","Bowen Zhang
Harold Soh","10.48550/arxiv.2404.03868","https://aclanthology.org/2024.emnlp-main.548.pdf","… in automated methods for knowledge graph creation (KGC) … LLM’s effectiveness. By merging the entities and relations extracted in earlier phases with new findings from entity extraction …","In this work, we are interested in automated methods for knowledge graph creation (KGC) from input text. Progress on large language models (LLMs) has prompted a series of recent works applying them to KGC, e.g., via zero/few-shot prompting. Despite successes on small domain-specific datasets, these models face difficulties scaling up to text common in many real-world applications. A principal issue is that in prior methods, the KG schema has to be included in the LLM prompt to generate valid triplets; larger and more complex schema easily exceed the LLMs' context window length. To address this problem, we propose a three-phase framework named Extract-Define-Canonicalize (EDC): open information extraction followed by schema definition and post-hoc canonicalization. EDC is flexible in that it can be applied to settings where a pre-defined target schema is available and when it is not; in the latter case, it constructs a schema automatically and applies self-canonicalization. To further improve performance, we introduce a trained component that retrieves schema elements relevant to the input text; this improves the LLMs' extraction performance in a retrieval-augmented generation-like manner. We demonstrate on three KGC benchmarks that EDC is able to extract high-quality triplets without any parameter tuning and with significantly larger schemas compared to prior works."
"Knowledge graph construction: Extraction, learning, and evaluation","https://scispace.com/paper/knowledge-graph-construction-extraction-learning-and-0wgker2uoq9x","2025","Journal Article","Applied Sciences","Seungmin Choi
Yuchul Jung","10.3390/app15073727","","… In this paper, a semi-automatic survey process was implemented to rapidly and … entity recognition and relation extraction [11]. In the cybersecurity domain, a method combining BERT-…",""
"Text2kgbench: A benchmark for ontology-driven knowledge graph generation from text","https://scispace.com/paper/text2kgbench-a-benchmark-for-ontology-driven-knowledge-graph-3n353u4x5d","2023","Journal Article","arXiv.org","Nandana Mihindukulasooriya
Sanju Mishra Tiwari
Carlos F. Enguix
Kusum Lata","10.48550/arxiv.2308.02357","https://arxiv.org/pdf/2308.02357","… by extending the relation extraction by guiding it with ontology and instructions. We provide … In this section, we present baseline LLM models, baselines for automatic prompt generation …","The recent advances in large language models (LLM) and foundation models with emergent capabilities have been shown to improve the performance of many NLP tasks. LLMs and Knowledge Graphs (KG) can complement each other such that LLMs can be used for KG construction or completion while existing KGs can be used for different tasks such as making LLM outputs explainable or fact-checking in Neuro-Symbolic manner. In this paper, we present Text2KGBench, a benchmark to evaluate the capabilities of language models to generate KGs from natural language text guided by an ontology. Given an input ontology and a set of sentences, the task is to extract facts from the text while complying with the given ontology (concepts, relations, domain/range constraints) and being faithful to the input sentences. We provide two datasets (i) Wikidata-TekGen with 10 ontologies and 13,474 sentences and (ii) DBpedia-WebNLG with 19 ontologies and 4,860 sentences. We define seven evaluation metrics to measure fact extraction performance, ontology conformance, and hallucinations by LLMs. Furthermore, we provide results for two baseline models, Vicuna-13B and Alpaca-LoRA-13B using automatic prompt generation from test cases. The baseline results show that there is room for improvement using both Semantic Web and Natural Language Processing techniques. "
