"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A Deep Reinforcement Learning-Enhanced Multi-Agent System for Ontology-Based Health Management in Nanotechnology","https://scispace.com/paper/WRzrQoiyJ10J","","","","AM Mequanenit
EA Nibret
P Herrero-Martín","","","… Such architectures often include ontology management systems and reasoning engines to … enables communication and collaboration among autonomous agents through JADE; and (iii) …",""
"Architectural Suggestions for Ontology Management","https://scispace.com/paper/architectural-suggestions-for-ontology-management-4fdtm1l7wg69","2024","Journal Article","EFSA supporting publications","Yannis Tzitzikas
Yannis Marketakis
Michalis Mountantonakis
Pavlos Fafalios
Maria Theodoridou
Anastasia Axaridou
Athina Kritsotaki
Chryssoula Bekiari","10.2903/sp.efsa.2024.en-9118","https://efsa.onlinelibrary.wiley.com/doi/pdf/10.2903/sp.efsa.2024.EN-9118","… EFSA case studies, by providing details about their components and indicative pipelines and tools. … The original title of this document was “Blueprint for Ontology Management” and was …","Abstract This document describes the steps that required for creating and maintaining an ontology; for exploiting an ontology in order to describe data from one or more data sources; and for developing services and applications that provide unified access and insightful analysis on the data. The document provides the state of the art of the various tools and software components that exist and can be used for carrying out various tasks of the overall process. The components are grouped based on their intended use and for each one of them a concise description, as well as other useful details (i.e. if they are open‐source, their license, etc.), are provided. For each step or task, the involved software components are also described in a table presenting their details with respect to various dimensions (e.g. open‐source, license, available online, key advantages, etc.), in order to enable their quick comparison. Moreover, successful examples of semantic data integration are presented, i.e., for cases where a top‐level ontology is used for integrating data for the cultural and biodiversity domain, and services for large‐scale semantic data integration (including hundreds of datasets from several domains). Furthermore, it provides the high‐level architectural suggestions that can be used as a basis for the actual implementation of any ontology‐based system; the described processes and tools can be exploited for the development of the ontology‐based functionality. Finally, it offers the adaptations of the proposed architecture for the EFSA case studies, by providing details about their components and indicative pipelines and tools. "
"Enabling Ethical AI: A case study in using Ontological Context for Justified Agentic AI Decisions","https://scispace.com/paper/jc4We04-vmoJ","","","","L McGee
J Harvey
L Cull
A Vermeulen","","https://arxiv.org/pdf/2512.04822","… AI agents first propose candidate knowledge structures from diverse data sources; domain … orchestration system with extensive ontology management and semantic classification …",""
"Towards next-generation urban decision support systems through ai-powered generation of scientific ontology using large language models–a case in …","https://scispace.com/paper/TEsQYfz6GawJ","","","","J Tupayachi
H Xu
OA Omitaomu","","https://www.researchgate.net/profile/Haowen-Xu-3/publication/380974143_Towards_Next-Generation_Urban_Decision_Support_Systems_through_AI-Powered_Generation_of_Scientific_Ontology_using_Large_Language_Models_--_A_Case_in_Optimizing_Intermodal_Freight_Transportation/links/665e3745479366623a3dbe32/Towards-Next-Generation-Urban-Decision-Support-Systems-through-AI-Powered-Generation-of-Scientific-Ontology-using-Large-Language-Models--A-Case-in-Optimizing-Intermodal-Freight-Transportation.pdf","… autonomous agents capable of performing specialized tasks, 6 … with popular ontology management software tools and … into widely-used ontology management software, Protégé as part …",""
"An Automated Framework of Ontology Generation for Abstract Concepts Using LLMs","https://scispace.com/paper/an-automated-framework-of-ontology-generation-for-abstract-a94jgxvge76e","2025","Journal Article","Communications in computer and information science","Rajiv Chowdhury
Takaaki Goto
Kensei Tsuchida
Tadaaki Kirishima
Ajay Bandi","10.1007/978-3-031-92178-0_14","https://www.researchgate.net/profile/Ajay-Bandi-2/publication/393046107_An_Automated_Framework_of_Ontology_Generation_for_Abstract_Concepts_Using_LLMs/links/685eac09e4632b045dc821a3/An-Automated-Framework-of-Ontology-Generation-for-Abstract-Concepts-Using-LLMs.pdf","… format, ensuring compatibility with ontology management tools and supporting advanced … into ontology development pipelines, enabling continuous integration and delivery (CI/CD). …",""
"D4. 2 (a) END-TO-END AI-DRIVEN VISIBILITY MODEL & SUPPORT DSS (a)","https://scispace.com/paper/Us1o1Zdt02sJ","","","","T González
DUNN Correa","","https://project-narrate.eu/wp-content/uploads/2026/03/D4.2-End-to-end-AI-driven-visibility-model-support-DSS-a.pdf","… Agent-based orchestration AI systems leverage autonomous agents to manage and coordinate complex … Neo4j offers several key advantages when using it for ontology management in …",""
"Construction of knowledge graphs: Current state and challenges","https://scispace.com/paper/construction-of-knowledge-graphs-current-state-and-2j0g1bmj9c","2023","Preprint","","M Hofer
D Obraczka
A Saeedi
H Köpcke
E Rahm","10.2139/ssrn.4605059","","… the main tasks in incremental KG construction pipelines and proposed solution approaches for … Ontology Management is the incremental process of creating, extending, and maintaining …","With knowledge graphs (KGs) at the center of numerous applications such as recommender systems and question answering, the need for generalized pipelines to construct and continuously update such KGs is increasing. While the individual steps that are necessary to create KGs from unstructured (e.g. text) and structured data sources (e.g. databases) are mostly well-researched for their one-shot execution, their adoption for incremental KG updates and the interplay of the individual steps have hardly been investigated in a systematic manner so far. In this work, we first discuss the main graph models for KGs and introduce the major requirements for future KG construction pipelines. Next, we provide an overview of the necessary steps to build high-quality KGs, including cross-cutting topics such as metadata management, ontology development, and quality assurance. We then evaluate the state of the art of KG construction w.r.t the introduced requirements for specific popular KGs as well as some recent tools and strategies for KG construction. Finally, we identify areas in need of further research and improvement. "
"OntoSmartDCU: A Multi-Agent Microservice Based Automated, Dynamic Ontology and Knowledge Graph Creation Framework From Real-Time Sensor Data for the …","https://scispace.com/paper/mSuMr-tzcXMJ","","","","S Mandal
NE O'Connor","","","… The architecture consists of interconnected microservices and autonomous agents, each … The MAMS architecture facilitates parallel data processing and ontology management, …",""
"Leveraging Artificial Intelligence to Automate ETL Pipelines: Evolving Legacy Data Systems into Intelligent Workflows","https://scispace.com/paper/oKcZeRaPgykJ","","","","J Khan","","https://www.researchgate.net/profile/Jahangir-Khan-30/publication/399088809_Leveraging_Artificial_Intelligence_to_Automate_ETL_Pipelines_Evolving_Legacy_Data_Systems_into_Intelligent_Workflows/links/694e85d29aa6b4649dc4e008/Leveraging-Artificial-Intelligence-to-Automate-ETL-Pipelines-Evolving-Legacy-Data-Systems-into-Intelligent-Workflows.pdf","… maintained, conventional ETL pipelines, however, find it … , and modernize legacy ETL pipelines, therefore developing … architectural paradigm for AIaugmented ETL pipelines. We offer a …",""
"Construction of knowledge graphs: State and challenges","https://scispace.com/paper/construction-of-knowledge-graphs-state-and-challenges-3w03n88i","2023","Journal Article","arXiv.org","Marvin Hofer
Daniel Obraczka
Ali Saeedi
Hanna Kopcke
Erhard Rahm","10.48550/arXiv.2302.11509","https://arxiv.org/pdf/2302.11509","… tasks in incremental KG construction pipelines and proposed solution approaches for them. … – Ontology Management: Creation and incremental evolution of a KG ontology. – …","With knowledge graphs (KGs) at the center of numerous applications such as recommender systems and question answering, the need for generalized pipelines to construct and continuously update such KGs is increasing. While the individual steps that are necessary to create KGs from unstructured (e.g. text) and structured data sources (e.g. databases) are mostly well-researched for their one-shot execution, their adoption for incremental KG updates and the interplay of the individual steps have hardly been investigated in a systematic manner so far. In this work, we first discuss the main graph models for KGs and introduce the major requirement for future KG construction pipelines. Next, we provide an overview of the necessary steps to build high-quality KGs, including cross-cutting topics such as metadata management, ontology development, and quality assurance. We then evaluate the state of the art of KG construction w.r.t the introduced requirements for specific popular KGs as well as some recent tools and strategies for KG construction. Finally, we identify areas in need of further research and improvement."
