"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Ontology generation using large language models","https://scispace.com/paper/ontology-generation-using-large-language-models-va5tf0nwffdu","2025","Journal Article","arXiv.org","Anna Sofia Lippolis
Mohammad Javad Saeedizade
Robin Keskisarkka
Sara Zuppiroli
Miguel Ceriani
Aldo Gangemi
Eva Blomqvist
Andrea Giovanni Nuzzolese","10.48550/arxiv.2503.05388","https://arxiv.org/pdf/2503.05388","… related work about ontology engineering methods, ontology generation methods, … ontology generation, namely Independent Ontology Generation and Incremental Ontology Generation, …",""
"Methodological exploration of ontology generation with a dedicated large language model","https://scispace.com/paper/methodological-exploration-of-ontology-generation-with-a-wzpdzv5bxrwe","2025","Journal Article","Electronics","Maria Assunta Cappelli
Giovanna Di Marzo Serugendo","10.3390/electronics14142863","","… tools for representing, organizing, and sharing knowledge across various domains. This study presents a methodology for ontology construction supported by large language models (…","Ontologies are essential tools for representing, organizing, and sharing knowledge across various domains. This study presents a methodology for ontology construction supported by large language models (LLMs), with an initial application in the automotive sector. Specifically, a user preference ontology for adaptive interfaces in autonomous machines was developed using ChatGPT-4o. Based on this case study, the results were generalized into a reusable methodology. The proposed workflow integrates classical ontology engineering methodologies with the generative and analytical capabilities of LLMs. Each phase follows well-established steps: domain definition, term elicitation, class hierarchy construction, property specification, formalization, population, and validation. A key innovation of this approach is the use of a guiding table that translates domain knowledge into structured prompts, ensuring consistency across iterative interactions with the LLM. Human experts play a continuous role throughout the process, refining definitions, resolving ambiguities, and validating outputs. The ontology was evaluated in terms of logical consistency, structural properties, semantic accuracy, and inferential completeness, confirming its correctness and coherence. Additional validation through SPARQL queries demonstrated its reasoning capabilities. This methodology is generalizable to other domains, if domain experts adapt the guiding table to the specific context. Despite the support provided by LLMs, domain expertise remains essential to guarantee conceptual rigor and practical relevance. "
"Ontology Engineering with Large Language Models: Unveiling the potential of human-LLM collaboration in the ontology extension process","https://scispace.com/paper/tAhy8U2PHaYJ","","","","J García-Fernández
J Verhoosel
J Ubacht
RM Bakker","","https://ceur-ws.org/Vol-4020/Paper_ID_8.pdf","… on human-LLM collaboration for ontology extension. Following … the current process of ontology extension to disclose its main … tools in the ontology extension framework for human-LLM …",""
"Ontology engineering with large language models","https://scispace.com/paper/ontology-engineering-with-large-language-models-3ix5dxd5ww","2023","Journal Article","arXiv.org","Patricia Mateiu
Adrian Groza","10.48550/arxiv.2307.16699","https://arxiv.org/pdf/2307.16699","… Since Large Language Models (LLMs) are the best tools for … This training pairs cover various aspects from ontology engineering… The resulted axioms are used to enrich an ontology, in a …","We tackle the task of enriching ontologies by automatically translating natural language (NL) into Description Logic (DL). Since Large Language Models (LLMs) are the best tools for translations, we fine-tuned a GPT-3 model to convert NL into OWL Functional Syntax. For fine-tuning, we designed pairs of sentences in NL and the corresponding translations. This training pairs cover various aspects from ontology engineering: instances, class subsumption, domain and range of relations, object properties relationships, disjoint classes, complements, or cardinality restrictions. The resulted axioms are used to enrich an ontology, in a human supervised manner. The developed tool is publicly provided as a Protégé plugin."
"From human-to LLM-centered collaborative ontology engineering","https://scispace.com/paper/GWG-A_dPUxoJ","","","","D Doumanas
G Bouchouras
A Soularidis","","https://www.researchgate.net/profile/Giorgos-Bouchouras/publication/388583854_From_Human-to_LLM-Centered_Collaborative_Ontology_Engineering/links/679de5bc96e7fb48b9aca110/From-Human-to-LLM-Centered-Collaborative-Ontology-Engineering.pdf","… This co-creation process allows both parties to contribute: the LLM accelerates the generation of a foundational ontology, while the human ensures that the model aligns with deep …",""
"Leveraging LLM for automated ontology extraction and knowledge graph generation","https://scispace.com/paper/leveraging-llm-for-automated-ontology-extraction-and-6q9ilgzy4dtr","2024","Journal Article","","Mohammad Sadeq Abolhasani
Rong Pan","10.48550/arxiv.2412.00608","https://arxiv.org/pdf/2412.00608?","… Ontology extraction and Knowledge Graph (KG) generation. OntoKGen leverages Large Language Models … that the ontology extraction process and, thus, KG generation align with user-…","Extracting relevant and structured knowledge from large, complex technical documents within the Reliability and Maintainability (RAM) domain is labor-intensive and prone to errors. Our work addresses this challenge by presenting OntoKGen, a genuine pipeline for ontology extraction and Knowledge Graph (KG) generation. OntoKGen leverages Large Language Models (LLMs) through an interactive user interface guided by our adaptive iterative Chain of Thought (CoT) algorithm to ensure that the ontology extraction process and, thus, KG generation align with user-specific requirements. Although KG generation follows a clear, structured path based on the confirmed ontology, there is no universally correct ontology as it is inherently based on the user's preferences. OntoKGen recommends an ontology grounded in best practices, minimizing user effort and providing valuable insights that may have been overlooked, all while giving the user complete control over the final ontology. Having generated the KG based on the confirmed ontology, OntoKGen enables seamless integration into schemeless, non-relational databases like Neo4j. This integration allows for flexible storage and retrieval of knowledge from diverse, unstructured sources, facilitating advanced querying, analysis, and decision-making. Moreover, the generated KG serves as a robust foundation for future integration into Retrieval Augmented Generation (RAG) systems, offering enhanced capabilities for developing domain-specific intelligent applications. "
"Large language models for ontology engineering: a systematic literature review","https://scispace.com/paper/WPd5MCB8mj0J","","","","J Li
D Garijo
M Poveda-Villalón","","https://www.semantic-web-journal.net/system/files/swj4001.pdf","… One key aspect of ontology development is the generation of concept definitions. In addition, LLMs have also improved taxonomy discovery and relationship extraction. Studies such as …",""
"LLMs4OL: Large language models for ontology learning","https://scispace.com/paper/llms4ol-large-language-models-for-ontology-learning-20cehxzeiu","2023","Journal Article","","Hamed Babaei Giglou
Jennifer D'Souza
Sören Auer","10.48550/arxiv.2307.16648","https://arxiv.org/pdf/2307.16648","… Notably this work addresses Task A as a text generation task for the term types. We wish to … By following the LLM generation approach instead, we allow the LLM to generate the …","We propose the LLMs4OL approach, which utilizes Large Language Models (LLMs) for Ontology Learning (OL). LLMs have shown significant advancements in natural language processing, demonstrating their ability to capture complex language patterns in different knowledge domains. Our LLMs4OL paradigm investigates the following hypothesis: \textit{Can LLMs effectively apply their language pattern capturing capability to OL, which involves automatically extracting and structuring knowledge from natural language text?} To test this hypothesis, we conduct a comprehensive evaluation using the zero-shot prompting method. We evaluate nine different LLM model families for three main OL tasks: term typing, taxonomy discovery, and extraction of non-taxonomic relations. Additionally, the evaluations encompass diverse genres of ontological knowledge, including lexicosemantic knowledge in WordNet, geographical knowledge in GeoNames, and medical knowledge in UMLS. "
"LLMs for Ontology Engineering: A landscape of Tasks and Benchmarking challenges.","https://scispace.com/paper/q5elzcgpGHMJ","","","","D Garijo
M Poveda-Villalón
E Amador-Domínguez","","https://ceur-ws.org/Vol-3953/364.pdf","… From this analysis, we highlight key challenges when creating benchmarks to evaluate LLM … the reports from ontology evaluation tools like OOPS! [5] or FOOPS! [6] to an LLM in order to …",""
"Ontology Engineering with Large Language Models","https://scispace.com/paper/ontology-engineering-with-large-language-models-3ix5dxd5ww","2023","Journal Article","arXiv.org","Patricia Mateiu
Adrian Groza","10.48550/arxiv.2307.16699","https://repository.tudelft.nl/file/File_82bad3b9-2050-4d81-8533-344124efb2e1","… Additionally, we will identify existing LLM-based tools that can be integrated into the design prototype. Furthermore, we will evaluate available OE tools that can facilitate the ontology …","We tackle the task of enriching ontologies by automatically translating natural language (NL) into Description Logic (DL). Since Large Language Models (LLMs) are the best tools for translations, we fine-tuned a GPT-3 model to convert NL into OWL Functional Syntax. For fine-tuning, we designed pairs of sentences in NL and the corresponding translations. This training pairs cover various aspects from ontology engineering: instances, class subsumption, domain and range of relations, object properties relationships, disjoint classes, complements, or cardinality restrictions. The resulted axioms are used to enrich an ontology, in a human supervised manner. The developed tool is publicly provided as a Protégé plugin."
"Ontochat: a framework for conversational ontology engineering using language models","https://scispace.com/paper/ontochat-a-framework-for-conversational-ontology-engineering-2j2749l8hc","2024","Journal Article","arXiv.org","Bohui Zhang
Valentina Anita Carriero
Katrin Schreiberhuber
Stefani Stoynova Tsaneva
Luc'ia S'anchez Gonz'alez
Jongmo Kim
Jacopo de Berardinis","10.48550/arxiv.2403.05921","https://arxiv.org/pdf/2403.05921","… For ontology engineering, LLM-based approaches have shown promising results for … This section provides more details on the evaluation of the collaborative user story generation …","Ontology engineering (OE) in large projects poses a number of challenges arising from the heterogeneous backgrounds of the various stakeholders, domain experts, and their complex interactions with ontology designers. This multi-party interaction often creates systematic ambiguities and biases from the elicitation of ontology requirements, which directly affect the design, evaluation and may jeopardise the target reuse. Meanwhile, current OE methodologies strongly rely on manual activities (e.g., interviews, discussion pages). After collecting evidence on the most crucial OE activities, we introduce OntoChat, a framework for conversational ontology engineering that supports requirement elicitation, analysis, and testing. By interacting with a conversational agent, users can steer the creation of user stories and the extraction of competency questions, while receiving computational support to analyse the overall requirements and test early versions of the resulting ontologies. We evaluate OntoChat by replicating the engineering of the Music Meta Ontology, and collecting preliminary metrics on the effectiveness of each component from users. We release all code at https://github.com/King-s-Knowledge-Graph-Lab/OntoChat."
"Assessing the capability of large language models for domain-specific ontology generation","https://scispace.com/paper/assessing-the-capability-of-large-language-models-for-domain-xulcii9qy1f9","2025","Journal Article","arXiv.org","Anna Sofia Lippolis
Mohammad Javad Saeedizade
Robin Keskisarkka
Aldo Gangemi
Eva Blomqvist
Andrea Giovanni Nuzzolese","10.48550/arxiv.2504.17402","https://arxiv.org/pdf/2504.17402?","… LLM-supported ontology generation, this paper extends the investigation by suggesting an ontology generation … generalizability of automated ontology generation across diverse and …","Large Language Models (LLMs) have shown significant potential for ontology engineering. However, it is still unclear to what extent they are applicable to the task of domain-specific ontology generation. In this study, we explore the application of LLMs for automated ontology generation and evaluate their performance across different domains. Specifically, we investigate the generalizability of two state-of-the-art LLMs, DeepSeek and o1-preview, both equipped with reasoning capabilities, by generating ontologies from a set of competency questions (CQs) and related user stories. Our experimental setup comprises six distinct domains carried out in existing ontology engineering projects and a total of 95 curated CQs designed to test the models'reasoning for ontology engineering. Our findings show that with both LLMs, the performance of the experiments is remarkably consistent across all domains, indicating that these methods are capable of generalizing ontology generation tasks irrespective of the domain. These results highlight the potential of LLM-based approaches in achieving scalable and domain-agnostic ontology construction and lay the groundwork for further research into enhancing automated reasoning and knowledge representation techniques."
"Large Language Models in Bio-Ontology Research: A Review","https://scispace.com/paper/OBTPdMxbTmEJ","","","","P Manda","","","… large language models (LLMs) may shift ontology engineering … ), their specific role in ontology engineering has not been … : we examine ontology-grounded generation and validation (…",""
"Exploring large language models for ontology learning","https://scispace.com/paper/exploring-large-language-models-for-ontology-learning-2g1hnls9vkgd","","Journal Article","Issues in information systems","O Perera
J Liu","10.48009/4_iis_2024_124","https://scholar.dsu.edu/cgi/viewcontent.cgi?article=1428&context=bispapers","… Due to the novelty of the research topic, we expanded our literature search with the following search phrases: “ontology learning LLM”, “ontology generation LLM”, and “…","Ontology Learning aims to facilitate automatic or semi-automatic ontology development based on machine learning techniques in context of big data. Recent evolution of technology has introduced Generative Artificial Intelligence (AI) capable of creating new data, extracting insights from the existing data, and generating coherent texts from various inputs. This ability supports analysis of text data, providing insights and annotations that reduce human effort. This study explores the emerging field of Generative AI, specifically, Large Language Models for ontology learning. We conducted a survey of the current state of Generative AI research with focus on applicability and efficacy for ontology development tasks, and assessment of evaluation techniques. We discussed challenges related to explainability and interpretability of Generative AI and outlined directions for future research."
"Text2kgbench: A benchmark for ontology-driven knowledge graph generation from text","https://scispace.com/paper/text2kgbench-a-benchmark-for-ontology-driven-knowledge-graph-3n353u4x5d","2023","Journal Article","arXiv.org","Nandana Mihindukulasooriya
Sanju Mishra Tiwari
Carlos F. Enguix
Kusum Lata","10.48550/arxiv.2308.02357","https://arxiv.org/pdf/2308.02357","… In this section, we present baseline LLM models, baselines for automatic prompt generation and the evaluation results for baseline models for the two datasets of Text2KGBench we …","The recent advances in large language models (LLM) and foundation models with emergent capabilities have been shown to improve the performance of many NLP tasks. LLMs and Knowledge Graphs (KG) can complement each other such that LLMs can be used for KG construction or completion while existing KGs can be used for different tasks such as making LLM outputs explainable or fact-checking in Neuro-Symbolic manner. In this paper, we present Text2KGBench, a benchmark to evaluate the capabilities of language models to generate KGs from natural language text guided by an ontology. Given an input ontology and a set of sentences, the task is to extract facts from the text while complying with the given ontology (concepts, relations, domain/range constraints) and being faithful to the input sentences. We provide two datasets (i) Wikidata-TekGen with 10 ontologies and 13,474 sentences and (ii) DBpedia-WebNLG with 19 ontologies and 4,860 sentences. We define seven evaluation metrics to measure fact extraction performance, ontology conformance, and hallucinations by LLMs. Furthermore, we provide results for two baseline models, Vicuna-13B and Alpaca-LoRA-13B using automatic prompt generation from test cases. The baseline results show that there is room for improvement using both Semantic Web and Natural Language Processing techniques. "
"From human experts to machines: An LLM supported approach to ontology and knowledge graph construction","https://scispace.com/paper/from-human-experts-to-machines-an-llm-supported-approach-to-3f0rjdi6v5","2024","Journal Article","arXiv.org","Vamsi Krishna Kommineni
Birgitta König-Ries
Sheeba Samuel","10.48550/arxiv.2403.08345","https://arxiv.org/pdf/2403.08345?","… To evaluate the answers generated via Retrieval-Augmented-Generation (RAG… LLM to extract key entities, relationships, and concepts from the answers and map them onto the ontology …","The conventional process of building Ontologies and Knowledge Graphs (KGs) heavily relies on human domain experts to define entities and relationship types, establish hierarchies, maintain relevance to the domain, fill the ABox (or populate with instances), and ensure data quality (including amongst others accuracy and completeness). On the other hand, Large Language Models (LLMs) have recently gained popularity for their ability to understand and generate human-like natural language, offering promising ways to automate aspects of this process. This work explores the (semi-)automatic construction of KGs facilitated by open-source LLMs. Our pipeline involves formulating competency questions (CQs), developing an ontology (TBox) based on these CQs, constructing KGs using the developed ontology, and evaluating the resultant KG with minimal to no involvement of human experts. We showcase the feasibility of our semi-automated pipeline by creating a KG on deep learning methodologies by exploiting scholarly publications. To evaluate the answers generated via Retrieval-Augmented-Generation (RAG) as well as the KG concepts automatically extracted using LLMs, we design a judge LLM, which rates the generated content based on ground truth. Our findings suggest that employing LLMs could potentially reduce the human effort involved in the construction of KGs, although a human-in-the-loop approach is recommended to evaluate automatically generated KGs."
"Integrating ontologies and large language models to implement retrieval augmented generation","https://scispace.com/paper/integrating-ontologies-and-large-language-models-to-jztaehtcpuyh","2024","Journal Article","","Michael DeBellis
Nivedita Dutta
Jacob Gino
Aadarsh Balaji","10.1177/15705838241296446","https://www.academia.edu/download/116884716/KG_RAG_for_Applied_Ontology.pdf","… Ontology (OBO) community to develop an ontology that modeled the domain. The next step described in this paper is to use this ontology … model (LLM) integrated with the ontology in an …",""
"Leveraging large language models for ontology requirements engineering","https://scispace.com/paper/leveraging-large-language-models-for-ontology-requirements-eyhdo0zn28i7","2025","Journal Article","Lecture Notes in Computer Science","Yihang Zhao
Yihang Zhao
Yihang Zhao","10.1007/978-3-031-99554-5_40","https://kclpure.kcl.ac.uk/portal/files/332879450/Leveraging_Large_Language_Models_for_Ontology_Requirements_Engineering.pdf","… , we hypothesize that its support will provide a satisfactory user experience and lead to the generation of well-formulated requirements that can be helpful for ontology development. …",""
"Llms4ol 2025 overview: The 2nd large language models for ontology learning challenge","https://scispace.com/paper/llms4ol-2025-overview-the-2nd-large-language-models-for-obpd0dlo5kx8","2025","Proceedings Article","Open conference proceedings","Hamed Babaei Giglou
Jennifer D’Souza
Nandana Mihindukulasooriya
Sören Auer
Hamed Babaei Giglou
Jennifer D’Souza
Nandana Mihindukulasooriya
Sören Auer","10.52825/ocp.v6i.2913","https://www.tib-op.org/ojs/index.php/ocp/article/download/2913/2922","… the effectiveness of large language models (LLMs) for ontology learning. … generation (RAG), and ensemble learning. This paper presents the second benchmark of LLM-driven ontology …","We present the results of the 2nd LLMs4OL 2025 Challenge, a shared task designed to evaluate the effectiveness of large language models (LLMs) for ontology learning. The challenge attracted a diverse set of participants who leveraged a broad spectrum of models, including general-purpose LLMs, domain-specific models, and embedding-based systems. Submissions covered multiple subtasks such as Text2Onto, term typing, taxonomy discovery, and non-taxonomic relationship extractions. The results highlight that hybrid pipelines integrating commercial LLMs with domain-tuned embeddings and fine-tuning approaches achieved the strongest overall performance, while specialized domain models improved results in biomedical and technical datasets. Key insights include the importance of prompt engineering, retrieval-augmented generation (RAG), and ensemble learning. This paper presents the second benchmark of LLM-driven ontology learning, serving as an overview of the participants’ contributions to the challenge. Building on this, this overview presents findings, highlights emerging strategies, and offers practical insights for researchers and practitioners seeking to align unstructured language with structured knowledge. "
"Ontology-Driven LLM Assistance for Task-Oriented Systems Engineering.","https://scispace.com/paper/ontology-driven-llm-assistance-for-task-oriented-systems-7ldbwxdgekx6","","Proceedings Article","","Jean-Marie Gauthier
Eric Jenn
Ramon Conejo","10.5220/0013441100003896","https://www.scitepress.org/Papers/2025/134411/134411.pdf","… • Retrieval-Augmented Generation (RAG): We use RAG to enable the LLM to access external, task-specific knowledge on demand. By combining generative capabilities with …",""
