"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Reflexive Composition: Bidirectional Enhancement of Language Models and Knowledge Graphs","https://scispace.com/paper/qujLlwb0_J8J","","","","VK Mehta","","https://tesidottorato.depositolegale.it/bitstream/20.500.14242/213664/1/Reflexive_Composition.pdf","… various cloud computing platforms used for large language model experiments. All code and … schema induction techniques attempt to reduce expert load, though real-world adaptability …",""
"Docs2Table: Bridging Multiple Documents and Structured Tables via LLMs","https://scispace.com/paper/GbK97mPKT6AJ","","","","L Wan
H Shen
Y Cai
J Hou
Y Huang
L Duan","","https://openreview.net/pdf?id=PV2JC9PFeu","… and use a large language model (LLM) to determine the … Zero-shot models showed the lowest error rate (3.51%) but … of natural language and document structure. The model generates …",""
"Consistent and efficient long document understanding","https://scispace.com/paper/BSOIo2bpH28J","","","","Q Zeng","","https://www.ideals.illinois.edu/items/129159/bitstreams/430988/data.pdf","… hierarchically capture the document structure for abstractive … the refinement suggestions from the LLM’s feedback. These … -based variant instead of the zero-shot variant because of the …",""
"SKIE-SRL: Structured Key Information Extraction from Business Documents Using Statistical Relational Learning","https://scispace.com/paper/skie-srl-structured-key-information-extraction-from-business-iilzpebg6o60","2025","Journal Article","Lecture Notes in Computer Science","Birgit Kirsch
Yu‐Tao Xiang
Nilesh Chakraborty
Niclas Doll
Sven Giesselbach
Stefan Rueping","10.1007/978-3-031-82484-5_7","","… They neglect the underlying document structure and existing … , such as those addressing Dialog Structure Induction [30], … the field of few- or zero-shot information extraction. However, the …",""
"LLM-Assisted Ontology Engineering: A Case Study on the EU Artificial Intelligence Act.","https://scispace.com/paper/KevnSampf-MJ","","","","CN Spanou","","https://pergamos.lib.uoa.gr/uoa/dl/object/5309789/file.pdf","… Other recent experiments have applied ChatGPT and related models to zero-shot entity-relationship modeling, schema induction, and ontology bootstrapping, showing that LLMs can …",""
"HST-Rep: Hierarchical Semantic Representation Learning for Scientific Papers","https://scispace.com/paper/hst-rep-hierarchical-semantic-representation-learning-for-p0rd8sitv1zr","2025","Journal Article","Data intelligence","Jie Liao
Zhijuan Du
Xiangxiang Liu","10.3724/2096-7004.di.2025.0123","https://www.sciengine.com/parse/pdf/2096-7004/CD4C01F1C09A4EDDAC42DB73F1EC0A7F.pdf","… semantic differences within document structure—jointly … modeling loss LLM, a phrase structure induction loss LPC, … cross-task and cross-domain language understanding abilities…","Document representation learning for scientific papers supports key tasks such as retrieval, recommendation, and question answering. Although pre-trained language models have improved semantic modeling, existing methods struggle to capture deep content and structure due to shallow inputs or linear encoding. Scientific document modeling still faces three major challenges: (1) limited capacity of pre-trained language models to handle long texts; (2) lack of structural information in documents; and (3) semantic redundancy. To address these, this paper proposes HST-Rep, a framework that combines semantic filtering and structure-aware modeling to build a three-level hierarchy of topic words, key sentences, and academic entities, enhancing representation quality. HST-Rep integrates a key sentence extraction module optimized via feedback reinforcement learning, an entity tag module with heterogeneous syntactic constraints, and a multi-level perception aggregation module for unified semantic representation. Experiments show that HST-Rep outperforms existing methods in both module-level and overall representation performance, and demonstrates stronger semantic organization and generalization in unsupervised clustering tasks."
"A Survey of AI Scientists","https://scispace.com/paper/a-survey-of-ai-scientists-judllewgxuur","2025","Journal Article","","Zhou Pan
Sun, Lichao","10.48550/arxiv.2510.23045","https://arxiv.org/pdf/2510.23045","Artificial intelligence is undergoing a profound transition from a computational instrument to an autonomous originator of scientific knowledge. This emerging paradigm, the AI scientist, …","Artificial intelligence is undergoing a profound transition from a computational instrument to an autonomous originator of scientific knowledge. This emerging paradigm, the AI scientist, is architected to emulate the complete scientific workflow-from initial hypothesis generation to the final synthesis of publishable findings-thereby promising to fundamentally reshape the pace and scale of discovery. However, the rapid and unstructured proliferation of these systems has created a fragmented research landscape, obscuring overarching methodological principles and developmental trends. This survey provides a systematic and comprehensive synthesis of this domain by introducing a unified, six-stage methodological framework that deconstructs the end-to-end scientific process into: Literature Review, Idea Generation, Experimental Preparation, Experimental Execution, Scientific Writing, and Paper Generation. Through this analytical lens, we chart the field's evolution from early Foundational Modules (2022-2023) to integrated Closed-Loop Systems (2024), and finally to the current frontier of Scalability, Impact, and Human-AI Collaboration (2025-present). By rigorously synthesizing these developments, this survey not only clarifies the current state of autonomous science but also provides a critical roadmap for overcoming remaining challenges in robustness and governance, ultimately guiding the next generation of systems toward becoming trustworthy and indispensable partners in human scientific inquiry. "
"Neurosymbolic Narrative Construction From Open Source Intelligence","https://scispace.com/paper/neurosymbolic-narrative-construction-from-open-source-vec5qqtk568t","2024","Repository","","Ranade, Priyanka","10.13016/m2de0r-gq78","","… representation to guide a decoder LLM to generate delineated … particular introduced the schema induction task, which uses … More information on the schema induction task can be found …","Breaking real-world events are typically reported via Open Source Intelligence (OSINT) sources such as news websites, blogs, and discussion forums. Search engines such as Google, Yahoo, and Bing aggregate this volume of information by relevance using a variety of ranking algorithms. End users manually parse search engine results pages and organize event incidents to form coherent explanations about associated themes and temporal relationships surrounding a queried topic. The process of piecing event incidents into a chronological and contextually-coherent sequence is known as narrative construction. Narrative construction across open events is generally a convoluted process, as events are reported and instantiated by potentially many users at a time, introducing noise such as misinformation, redundant or outdated data, and conflicting reporting. Conventional search engines lack construction abilities that address these challenges. The advent of generative Large Language Models (LLMs) such as ChatGPT and Gemini has revolutionized the synthesis of dynamic, disparate information during semantic search, diminishing the requirement for end users to manually parse results about topics of interest. This form of chatbot-based multi-document collation and summarization closely resembles the narrative construction process. Though this method provides potential benefits in condensing complex content and increasing overall event situational awareness, it still has several limitations: (i) difficult and sometimes impossible to integrate updated content dynamically, (ii) generation of non-factual, irrelevant, or incomplete information, (iii) high variability and subjectivity in responses, and (iv) lack of provenance, attribution, and trust for knowledge sources used to generate responses. This thesis presents a set of approaches in neurosymbolic representation and construction of disparately sourced event narratives. The primary contribution of this work is a novel Retrieval Augmented Generation (RAG) framework, FABULA, which implements a Web Ontology Language (OWL) schema as an intermediary plot representation to guide a decoder LLM to generate delineated event incidents as a constructed narrative about a queried topic. FABULA is composed of: (i) An Information Extraction (IE) approach for parsing unstructured event incidents, (ii) Integration of event incidents into a novel semantic web ontology, Event Narrative Ontology (ENO), and (iii) Schema-derived prompting during autoregressive narrative construction. Qualitative and quantitative approaches are used to evaluate the implementation of a plot schema as a search function. Experiments are performed across generic public news events and cybersecurity domain use cases. "
"In-context contrastive learning for event causality identification","https://scispace.com/paper/in-context-contrastive-learning-for-event-causality-574w3cuwvk","2024","Preprint","","Chao Liang
Xiang Wang
Bang Wang","10.48550/arxiv.2405.10512","https://aclanthology.org/2024.emnlp-main.51.pdf","… neural networks for document structure encoding, enabling … and several zero-shot models in the Table 3. We can not … identification via latent structure induction networks. In Proceed…","Event Causality Identification (ECI) aims at determining the existence of a causal relation between two events. Although recent prompt learning-based approaches have shown promising improvements on the ECI task, their performance are often subject to the delicate design of multiple prompts and the positive correlations between the main task and derivate tasks. The in-context learning paradigm provides explicit guidance for label prediction in the prompt learning paradigm, alleviating its reliance on complex prompts and derivative tasks. However, it does not distinguish between positive and negative demonstrations for analogy learning. Motivated from such considerations, this paper proposes an In-Context Contrastive Learning (ICCL) model that utilizes contrastive learning to enhance the effectiveness of both positive and negative demonstrations. Additionally, we apply contrastive learning to event pairs to better facilitate event causality identification. Our ICCL is evaluated on the widely used corpora, including the EventStoryLine and Causal-TimeBank, and results show significant performance improvements over the state-of-the-art algorithms. "
"In-context Contrastive Learning for Event Causality Identification","https://scispace.com/paper/in-context-contrastive-learning-for-event-causality-574w3cuwvk","2024","Preprint","","Chao Liang
Xiang Wang
Bang Wang","10.48550/arxiv.2405.10512","https://arxiv.org/pdf/2405.10512?","… neural networks for document structure encoding, enabling them … tasks like ECI in a zeroshot scenario. For more detailed … causality identification via latent structure induction networks. In …","Event Causality Identification (ECI) aims at determining the existence of a causal relation between two events. Although recent prompt learning-based approaches have shown promising improvements on the ECI task, their performance are often subject to the delicate design of multiple prompts and the positive correlations between the main task and derivate tasks. The in-context learning paradigm provides explicit guidance for label prediction in the prompt learning paradigm, alleviating its reliance on complex prompts and derivative tasks. However, it does not distinguish between positive and negative demonstrations for analogy learning. Motivated from such considerations, this paper proposes an In-Context Contrastive Learning (ICCL) model that utilizes contrastive learning to enhance the effectiveness of both positive and negative demonstrations. Additionally, we apply contrastive learning to event pairs to better facilitate event causality identification. Our ICCL is evaluated on the widely used corpora, including the EventStoryLine and Causal-TimeBank, and results show significant performance improvements over the state-of-the-art algorithms. "
