"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"AutoClusRE: An automatic clustering-based method for relation extraction and knowledge graph construction","https://scispace.com/paper/autoclusre-an-automatic-clustering-based-method-for-relation-zjxqbueou7z2","2025","Journal Article","","Tongyao Wang
Donghui Shi
Jose Aguilar
Jozef Zurada","10.21203/rs.3.rs-7705090/v1","https://scispace.compdf/autoclusre-an-automatic-clustering-based-method-for-relation-zjxqbueou7z2.pdf","<title>Abstract</title> The knowledge graph plays a vital role in integrating and representing information. As a core component in the construction of a knowledge graph, relation extraction is responsible for identifying and establishing semantic relationships between entities. However, existing methods rely heavily on annotated data. When dealing with unlabeled text, they fail to automatically perform relation extraction and construct a knowledge graph. This poses a significant challenge for knowledge graph construction. To address the above challenges, this paper proposes a domain-adaptive entity-relation extraction and knowledge graph construction framework, named AutoClusRE (Automatic Clustering-based Relation Extraction), which is based on a large language model and designed for extracting relational triples from unlabeled text. This method requires no additional training and can directly perform adaptive entity–relation extraction and knowledge graph construction on unlabeled text. Specifically, AutoClusRE constructs an entity type table and a relation type table, which are embedded into the prompt templates of the large language model and dynamically updates them during the extraction process to serve as contextual guidance for the large language model. In addition, a semantics-based clustering algorithm is introduced to effectively merge duplicates and control excessive expansion of the type tables. Experiments conducted on the public dataset FOBIE and the custom dataset HSA (Huizhou-style architecture) demonstrated that AutoClusRE achieved competitive extraction performance without relying on any annotated data. On the public FOBIE dataset, AutoClusRE outperformed traditional deep learning models by 14.8% and DeepSeek by 9.5% in terms of F1 score. On the custom dataset HSA, AutoClusRE’s F1 score improved by 17.2% over traditional deep learning models and by 2% over DeepSeek. This study not only introduces a novel relation extraction method for information management in unknown domains but also constructs a knowledge graph in the field of Huizhou-style architecture based on AutoClusRE, contributing to the digital research and application of domain knowledge in this field. ",""
"Enhancing Knowledge Graph Construction Using Large Language Models","https://scispace.com/paper/enhancing-knowledge-graph-construction-using-large-language-3cdx1i3r","2023","Posted Content","","","10.48550/arxiv.2305.04676","https://scispace.com/pdf/enhancing-knowledge-graph-construction-using-large-language-3cdx1i3r.pdf","The growing trend of Large Language Models (LLM) development has attracted significant attention, with models for various applications emerging consistently. However, the combined application of Large Language Models with semantic technologies for reasoning and inference is still a challenging task. This paper analyzes how the current advances in foundational LLM, like ChatGPT, can be compared with the specialized pretrained models, like REBEL, for joint entity and relation extraction. To evaluate this approach, we conducted several experiments using sustainability-related text as our use case. We created pipelines for the automatic creation of Knowledge Graphs from raw texts, and our findings indicate that using advanced LLM models can improve the accuracy of the process of creating these graphs from unstructured text. Furthermore, we explored the potential of automatic ontology creation using foundation LLM models, which resulted in even more relevant and accurate knowledge graphs. ","In this paper , the authors compare the performance of the current advances in foundational large language models, such as ChatGPT, with specialized pretrained models, like REBEL, for joint entity and relation extraction."
"AutoRD: An Automatic and End-to-End System for Rare Disease Knowledge Graph Construction Based on Ontologies-enhanced Large Language Models","https://scispace.com/paper/autord-an-automatic-and-end-to-end-system-for-rare-disease-3y7t2w4fuv","2024","Journal Article","arXiv.org","Lang Cao
Jimeng Sun
Adam Cross","10.48550/arxiv.2403.00953","","Objectives: Our objective is to create an end-to-end system called AutoRD, which automates extracting information from clinical text about rare diseases. We have conducted various tests to evaluate the performance of AutoRD and highlighted its strengths and limitations in this paper. Materials and Methods: Our system, AutoRD, is a software pipeline involving data preprocessing, entity extraction, relation extraction, entity calibration, and knowledge graph construction. We implement this using large language models and medical knowledge graphs developed from open-source medical ontologies. We quantitatively evaluate our system on entity extraction, relation extraction, and the performance of knowledge graph construction. Results: AutoRD achieves an overall F1 score of 47.3%, a 14.4% improvement compared to the base LLM. In detail, AutoRD achieves an overall entity extraction F1 score of 56.1% (rare_disease: 83.5%, disease: 35.8%, symptom_and_sign: 46.1%, anaphor: 67.5%) and an overall relation extraction F1 score of 38.6% (produces: 34.7%, increases_risk_of: 12.4%, is_a: 37.4%, is_acronym: 44.1%, is_synonym: 16.3%, anaphora: 57.5%). Our qualitative experiment also demonstrates that the performance in constructing the knowledge graph is commendable. Discussion: AutoRD demonstrates the potential of LLM applications in rare disease detection. This improvement is attributed to several design, including the integration of ontologies-enhanced LLMs. Conclusion: AutoRD is an automated end-to-end system for extracting rare disease information from text to build knowledge graphs. It uses ontologies-enhanced LLMs for a robust medical knowledge base. The superior performance of AutoRD is validated by experimental evaluations, demonstrating the potential of LLMs in healthcare.","AutoRD is an automatic and end-to-end system for constructing rare disease knowledge graphs based on ontologies-enhanced large language models. It achieves an overall F1 score of 47.3%, a 14.4% improvement over the baseline LLM."
"Large language model-based knowledge graph construction of unstructured accident reports to improve construction safety","https://scispace.com/paper/large-language-model-based-knowledge-graph-construction-of-5f66hhwbxmdp","2025","Repository","","Liu Qiong
Luo Xiaowei","10.17868/strath.00093269","","To effectively capture and represent safety knowledge, this study proposes a novel framework for automated construction accident knowledge graph generation using large language models (LLMs). First, an improved Accimap model is used to determine the ontology framework for the knowledge graph. Then, by leveraging iterative chaining prompts based on Chain-of-Thought and Self-consistency principles, the method achieves zero-label extraction of named entities recognition (NER) and relation extraction (RE) from unstructured text. Finally, the extracted triples are stored to provide visual knowledge query services. Experimental results show that the proposed method achieves an accuracy of 0.97 in NER task and 0.90 in RE task under zero-shot conditions. The proposed framework eliminates the need for external resources or human expertise and offers a novel knowledge management approach for construction site safety management. ","This study proposes a novel framework for automated construction accident knowledge graph generation using large language models, achieving 0.97 accuracy in named entity recognition and 0.90 in relation extraction from unstructured text with zero external resources or human expertise."
"AutoRD: An Automatic and End-to-End System for Rare Disease Knowledge Graph Construction Based on Ontology-enhanced Large Language Models (Preprint)","https://scispace.com/paper/autord-an-automatic-and-end-to-end-system-for-rare-disease-5glf7co8fh","2024","Preprint","","Lu Cao
Jimeng Sun
Andy Cross","10.2196/preprints.60665","","<sec> <title>BACKGROUND</title> Rare diseases affect millions worldwide but often face limited research focus due to their low prevalence. This results in prolonged diagnoses and a lack of approved therapies. Recent advancements in Large Language Models (LLMs) have shown promise in automating the extraction of medical information, offering potential to improve rare disease diagnosis and management. </sec> <sec> <title>OBJECTIVE</title> Our objective is to create an end-to-end system called AutoRD, which automates extracting information from medical text about rare diseases. We conducted various experiments to evaluate the performance of AutoRD and highlighted its strengths and limitations in this paper. </sec> <sec> <title>METHODS</title> AutoRD is a pipeline system involving data preprocessing, entity extraction, relation extraction, entity calibration, and knowledge graph construction. We implement this using large language models and medical knowledge graphs developed from open-source medical ontologies. We quantitatively evaluate our system on entity extraction, relation extraction, and the performance of knowledge graph construction. </sec> <sec> <title>RESULTS</title> AutoRD achieves an average of entity F1 score and relation F1 score of 47.3%, a 14.4% improvement compared to the base LLM. In detail, AutoRD achieves an overall entity extraction F1 score of 56.1% (‘rare_disease’: 83.5%, disease: 35.8%, ‘symptom_and_sign’: 46.1%, anaphor: 67.5%) and an overall relation extraction F1 score of 38.6% (‘produces’: 34.7%, ‘increases_risk_of’: 12.4%, ‘is_a’: 37.4%, ‘is_acronym’: 44.1%, ‘is_synonym’: 16.3%, ‘anaphora’: 57.5%). The qualitative experiment also demonstrates that the constructed knowledge graph’s performance is respectable. </sec> <sec> <title>CONCLUSIONS</title> AutoRD is an automated end-to-end system for extracting rare disease information from text to build knowledge graphs. It uses ontology-enhanced LLMs for a robust medical knowledge base. The superior performance of AutoRD is validated by experimental evaluations, demonstrating the potential of LLMs in healthcare. </sec> <sec> <title>CLINICALTRIAL</title> <p/> </sec> ","AutoRD is an automatic and end-to-end system for constructing rare disease knowledge graphs based on ontology-enhanced large language models. It achieves high performance in entity and relation extraction tasks, improving knowledge graph construction and potentially aiding rare disease diagnosis and management."
"Ontology-grounded Automatic Knowledge Graph Construction by LLM under
  Wikidata schema","https://scispace.com/paper/ontology-grounded-automatic-knowledge-graph-construction-by-7auwgev0uzgq","2024","Journal Article","","Xiaohan Feng
Xixin Wu
Helen Meng","10.48550/arxiv.2412.20942","https://scispace.compdf/ontology-grounded-automatic-knowledge-graph-construction-by-7auwgev0uzgq.pdf","We propose an ontology-grounded approach to Knowledge Graph (KG) construction using Large Language Models (LLMs) on a knowledge base. An ontology is authored by generating Competency Questions (CQ) on knowledge base to discover knowledge scope, extracting relations from CQs, and attempt to replace equivalent relations by their counterpart in Wikidata. To ensure consistency and interpretability in the resulting KG, we ground generation of KG with the authored ontology based on extracted relations. Evaluation on benchmark datasets demonstrates competitive performance in knowledge graph construction task. Our work presents a promising direction for scalable KG construction pipeline with minimal human intervention, that yields high quality and human-interpretable KGs, which are interoperable with Wikidata semantics for potential knowledge base expansion. ","This study proposes an ontology-grounded approach to Knowledge Graph construction using Large Language Models, leveraging Wikidata schema, to generate high-quality, human-interpretable KGs with minimal human intervention, demonstrating competitive performance on benchmark datasets."
"Large Language Models for Automatic Knowledge Graph Construction From Text Documents: a Materials Science Case Study","https://scispace.com/paper/large-language-models-for-automatic-knowledge-graph-4rinl1jn2ads","2025","Journal Article","","Vladislav Kaverinskiy","10.31274/isudp.2025.197.010","","The presented study investigates the application of large language models (LLMs) in automating the creation of OWL ontologies from scientific articles, focusing on materials science. The research compares the performance of different LLMs, such as GPT-4, Qwen, and DeepSeek, in generating ontologies that capture the essential information and relationships presented in the articles. The study emphasizes the importance of prompt engineering to guide LLMs effectively in this specific domain. Through a series of experiments, the paper demonstrates that while LLMs can produce basic ontologies, there is room for improvement in terms of depth, accuracy, and scalability. The findings suggest that with appropriate prompts and iterative refinement, LLMs have the potential to significantly aid in the creation of knowledge graphs from textual data, thereby enhancing the efficiency and accessibility of scientific information. ","This study explores the use of large language models to automate knowledge graph construction from materials science articles, comparing performance and highlighting the importance of prompt engineering for effective ontology generation and scalability improvement."
"The State of the Art Large Language Models for Knowledge Graph Construction from Text: Techniques, Tools, and Challenges","https://scispace.com/paper/the-state-of-the-art-large-language-models-for-knowledge-o3eozf87ie8t","2024","Repository","","D'Souza, Jennifer
Mihindukulasooriya Nandana","10.5281/zenodo.11467819","","Knowledge graphs (KG) play a crucial role in many modern applications. Industrial knowledge is scattered in large volumes of both structured and unstructured data sources and bringing them to a unified knowledge graph can bring a lot of value. However, automatically constructing a KG from natural language text is challenging due the ambiguity and impreciseness of the natural languages. Recently, many approaches have been proposed to transform natural language text to triples to construct KGs. Out of those, approaches based on large language models (LLMs) are predominantly leading in many subtasks related to knowledge graph construction such as entity and relation extraction. In this presentation, we will focus on the state of the art of -LLM-based methods, techniques and tools for constructing knowledge graphs from text, their capabilities, limitations and current challenges. It aims to summarize the research progress over the KG construction from text with a specific focus on the information acquisition branch entailing entity and relation extraction covering the state of the art transformer methods and tools. This will be useful for any practitioner who is interested in building knowledge graphs for their organizations. ",""
"End-to-End Ontology Learning with Large Language Models","https://scispace.com/paper/end-to-end-ontology-learning-with-large-language-models-4m207co75t7q","2024","Journal Article","","Andrea Lo
Albert Q. Jiang
Wenda Li
Mateja Jamnik","10.48550/arxiv.2410.23584","https://scispace.compdf/end-to-end-ontology-learning-with-large-language-models-4m207co75t7q.pdf","Ontologies are useful for automatic machine processing of domain knowledge as they represent it in a structured format. Yet, constructing ontologies requires substantial manual effort. To automate part of this process, large language models (LLMs) have been applied to solve various subtasks of ontology learning. However, this partial ontology learning does not capture the interactions between subtasks. We address this gap by introducing OLLM, a general and scalable method for building the taxonomic backbone of an ontology from scratch. Rather than focusing on subtasks, like individual relations between entities, we model entire subcomponents of the target ontology by finetuning an LLM with a custom regulariser that reduces overfitting on high-frequency concepts. We introduce a novel suite of metrics for evaluating the quality of the generated ontology by measuring its semantic and structural similarity to the ground truth. In contrast to standard metrics, our metrics use deep learning techniques to define more robust distance measures between graphs. Both our quantitative and qualitative results on Wikipedia show that OLLM outperforms subtask composition methods, producing more semantically accurate ontologies while maintaining structural integrity. We further demonstrate that our model can be effectively adapted to new domains, like arXiv, needing only a small number of training examples. Our source code and datasets are available at https://github.com/andylolu2/ollm. ","This study introduces OLLM, a scalable method for building ontology taxonomies using large language models, outperforming subtask composition methods in generating semantically accurate ontologies with structural integrity across various domains."
"Automated Knowledge Graph Construction for Supply Chain Datasets Assisted by LLMs","https://scispace.com/paper/automated-knowledge-graph-construction-for-supply-chain-5cvbd4h111lk","2025","Journal Article","","Luxuan Wang
Fugee Tsung","10.1109/case58245.2025.11164086","","In today’s data-driven supply chain management landscape, establishing connections among stakeholders from diverse resources is essential for effective analysis and decision-making. Knowledge graphs (KGs) provide a transformative solution by organizing fragmented inventory data into semantically rich, interconnected networks, enabling contextualized insights and robust reasoning. However, automating KG construction for supply chain datasets is challenging due to issues such as heterogeneous data integration (e.g., text documents, spreadsheets), domain-specific contextualization, and the need to model implicit operational dependencies. This paper introduces a novel framework that leverages large-language models (LLMs) with multi-step prompting workflow to address these challenges. Our AutoKG4SC approach automates the extraction of entities from various sources and constructs KGs to capture complex interdependencies among these entities. We utilize zero-shot prompting for ontology construction, Named Entity Recognition (NER), and Relation Extraction (RE) tasks, thereby eliminating the need for extensive domain-specific training and human prior knowledge. We validate the framework through a case study that demonstrates AutoKG4SC’s ability to construct high-quality KGs from supply chain datasets. This research presents an effective framework and prompt strategy for KG construction, which can be easily adapted to datasets with richer information and other application scenarios.","This paper introduces AutoKG4SC, a novel framework leveraging large-language models to automate knowledge graph construction for supply chain datasets, addressing challenges in heterogeneous data integration and domain-specific contextualization through multi-step prompting and zero-shot learning."
