"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"LLMs4OL 2024 Overview: The 1st Large Language Models for Ontology
  Learning Challenge","https://scispace.com/paper/llms4ol-2024-overview-the-1st-large-language-models-for-18tq7doltjpe","2024","Journal Article","","Hamed Babaei Giglou
Jennifer D’Souza
Sören Auer","10.48550/arxiv.2409.10146","https://scispace.compdf/llms4ol-2024-overview-the-1st-large-language-models-for-18tq7doltjpe.pdf","This paper outlines the LLMs4OL 2024, the first edition of the Large Language Models for Ontology Learning Challenge. LLMs4OL is a community development initiative collocated with the 23rd International Semantic Web Conference (ISWC) to explore the potential of Large Language Models (LLMs) in Ontology Learning (OL), a vital process for enhancing the web with structured knowledge to improve interoperability. By leveraging LLMs, the challenge aims to advance understanding and innovation in OL, aligning with the goals of the Semantic Web to create a more intelligent and user-friendly web. In this paper, we give an overview of the 2024 edition of the LLMs4OL challenge and summarize the contributions. ","Title: LLMs4OL 2024 Overview: The 1st Large Language Models for Ontology Learning Challenge Authors: Hamed Babaei Giglou,Jennifer D'souza,Sören Auer Keywords: LLMs4OL Challenge, Ontology Learning, Large Language Models Corpus Preparation Conceptualization (1) Term Typing (2) Types Taxonomy (3) Relationships Extraction Task A: Term Typing Task B: Types Taxonomy Task C: Relation Extraction Ontology Learning LLMs4OL"
"LLMs4Life: Large Language Models for Ontology Learning in Life Sciences","https://scispace.com/paper/llms4life-large-language-models-for-ontology-learning-in-6k18j9p7iygg","2024","Journal Article","","Nadeen Fathallah
Steffen Staab
Alsayed Algergawy","10.48550/arxiv.2412.02035","https://scispace.compdf/llms4life-large-language-models-for-ontology-learning-in-6k18j9p7iygg.pdf","Ontology learning in complex domains, such as life sciences, poses significant challenges for current Large Language Models (LLMs). Existing LLMs struggle to generate ontologies with multiple hierarchical levels, rich interconnections, and comprehensive class coverage due to constraints on the number of tokens they can generate and inadequate domain adaptation. To address these issues, we extend the NeOn-GPT pipeline for ontology learning using LLMs with advanced prompt engineering techniques and ontology reuse to enhance the generated ontologies' domain-specific reasoning and structural depth. Our work evaluates the capabilities of LLMs in ontology learning in the context of highly specialized and complex domains such as life science domains. To assess the logical consistency, completeness, and scalability of the generated ontologies, we use the AquaDiva ontology developed and used in the collaborative research center AquaDiva as a case study. Our evaluation shows the viability of LLMs for ontology learning in specialized domains, providing solutions to longstanding limitations in model performance and scalability. ","Title: LLMs4Life: Large Language Models for Ontology Learning in Life Sciences Authors: Nadeen Fathallah,Steffen Staab,Alsayed Algergawy,Ontology Conceptualization Keywords: Ontology Learning, Large Language Models, NeOn-GPT, Life Science Domain"
"End-to-End Ontology Learning with Large Language Models","https://scispace.com/paper/end-to-end-ontology-learning-with-large-language-models-4m207co75t7q","2024","Journal Article","","Andrea Lo
Albert Q. Jiang
Wenda Li
Mateja Jamnik","10.48550/arxiv.2410.23584","https://scispace.compdf/end-to-end-ontology-learning-with-large-language-models-4m207co75t7q.pdf","Ontologies are useful for automatic machine processing of domain knowledge as they represent it in a structured format. Yet, constructing ontologies requires substantial manual effort. To automate part of this process, large language models (LLMs) have been applied to solve various subtasks of ontology learning. However, this partial ontology learning does not capture the interactions between subtasks. We address this gap by introducing OLLM, a general and scalable method for building the taxonomic backbone of an ontology from scratch. Rather than focusing on subtasks, like individual relations between entities, we model entire subcomponents of the target ontology by finetuning an LLM with a custom regulariser that reduces overfitting on high-frequency concepts. We introduce a novel suite of metrics for evaluating the quality of the generated ontology by measuring its semantic and structural similarity to the ground truth. In contrast to standard metrics, our metrics use deep learning techniques to define more robust distance measures between graphs. Both our quantitative and qualitative results on Wikipedia show that OLLM outperforms subtask composition methods, producing more semantically accurate ontologies while maintaining structural integrity. We further demonstrate that our model can be effectively adapted to new domains, like arXiv, needing only a small number of training examples. Our source code and datasets are available at https://github.com/andylolu2/ollm. ","Title: End-to-End Ontology Learning with Large Language Models Authors: Andy Lo,Albert Q Jiang,Wenda Li,Mateja Jamnik Introduction:
 An ontology is a formal and structural way of representing domain-specific concepts and their relations . They can be simple (e.g., Wikipedia categories) consisting of concepts and only a small number of types of taxonomic relations (e.g., is-a relationships), or they can be complex (e.g., Schema.org) Introduction:
 consisting of axioms or many types of relations. For example, a simple ontology for programming languages might contain two concepts ""Dynamically-typed language"" and ""Python"", and one relation ""Dynamically-typed language → Python"", representing the knowledge that Python is a dynamically-typed language. Introduction:
 A more complex ontology might contain axioms too, for example, ""all programming languages are either dynamically or statically typed"". In this paper, we focus on ontologies with only concepts and taxonomic relations. Introduction:
 Compared to typical deep learning models, which represent knowledge implicitly in its weights, ontologies capture knowledge in a structured and explicit manner, making them reliable, easy to edit and human-interpretable. Such benefits of ontologies have led to their wide adoption in practice. Introduction:
 For example, Wikipedia categories have been  For evaluation, we measure the similarity between the generated ontology and the ground truth. Introduction:
 used for entity ranking  and information retrieval , or Schema.org is a core component of the Semantic Web  initiative. Introduction:
 While ontologies are useful, building ontologies often requires substantial manual effort. Ontology learning (OL) is the study of automating the construction of high-quality ontologies at scale. For a simple ontology, this amounts to discovering the concepts and taxonomic relations, usually based on a source corpus. Introduction:
 In this paper we aim to develop domain-independent methods for OL that are scalable and produce better ontologies. Introduction:
 Traditionally, OL is viewed as a composition of subtasks , such as concept discovery and relation extraction. In particular, prior works have demonstrated that state-of-the-art large language models (LLMs) can solve such subtasks effectively . Introduction:
 While studying subtasks permits fine-grained analysis and evaluation, it does not directly indicate the subsequent impact on the quality of the final ontology. Moreover, there is potential room for improvement by combining several subtasks into one, such as by modelling concepts and relations in conjunction. Introduction:
 In this paper, we instead develop and evaluate methods that construct ontologies in an end-to-end fashion to answer the following research questions: Introduction:
 1. How can we leverage LLMs' knowledge base to build ontologies from scratch? 2. Does our method scale efficiently to practical problem sizes? 3. How well does our method generalise to new domains? Introduction:
 We introduce OLLM, an end-to-end method for using LLMs to construct ontologies at scale. Rather than focusing on individual relations between concepts, we finetune an LLM to model entire subcomponents of the target ontology. The output ontology is generated by taking the sum of generated sub-components and applying simple post-processing. Introduction:
 An overview of the pipeline is shown in Figure . To train OLLM, we collect the categorisation metadata for a subset of Wikipedia articles."
"Leveraging LLM for Automated Ontology Extraction and Knowledge Graph
  Generation","https://scispace.com/paper/leveraging-llm-for-automated-ontology-extraction-and-6q9ilgzy4dtr","2024","Journal Article","","Mohammad Sadeq Abolhasani
Rong Pan","10.48550/arxiv.2412.00608","https://scispace.compdf/leveraging-llm-for-automated-ontology-extraction-and-6q9ilgzy4dtr.pdf","Extracting relevant and structured knowledge from large, complex technical documents within the Reliability and Maintainability (RAM) domain is labor-intensive and prone to errors. Our work addresses this challenge by presenting OntoKGen, a genuine pipeline for ontology extraction and Knowledge Graph (KG) generation. OntoKGen leverages Large Language Models (LLMs) through an interactive user interface guided by our adaptive iterative Chain of Thought (CoT) algorithm to ensure that the ontology extraction process and, thus, KG generation align with user-specific requirements. Although KG generation follows a clear, structured path based on the confirmed ontology, there is no universally correct ontology as it is inherently based on the user's preferences. OntoKGen recommends an ontology grounded in best practices, minimizing user effort and providing valuable insights that may have been overlooked, all while giving the user complete control over the final ontology. Having generated the KG based on the confirmed ontology, OntoKGen enables seamless integration into schemeless, non-relational databases like Neo4j. This integration allows for flexible storage and retrieval of knowledge from diverse, unstructured sources, facilitating advanced querying, analysis, and decision-making. Moreover, the generated KG serves as a robust foundation for future integration into Retrieval Augmented Generation (RAG) systems, offering enhanced capabilities for developing domain-specific intelligent applications. ","tool for exploring and analyzing RAM-related data. OntoKGen's ability to transform extensive technical documents into structured knowledge not only saves time and reduces errors but also provides a comprehensive, user-tailored knowledge graph that supports advanced data operations and insights. CONCLUSION AND FUTURE WORKS:
 In this paper, we demonstrated how OntoKGen facilitates ontology extraction and KG generation within the Reliability and Maintainability domain, specifically applied to semiconductor equipment. CONCLUSION AND FUTURE WORKS:
 OntoKGen's interactive approach, combined with our adaptive iterative CoT algorithm, ensures that the ontology and generated KG are tailored to user-specific requirements, resulting in a structured and meaningful knowledge representation. CONCLUSION AND FUTURE WORKS:
 By automating the extraction process and incorporating user interaction at critical stages, OntoKGen significantly reduces manual effort and minimizes errors. The generated KGs provide a robust framework for advanced querying, analysis, and decision-making. Additionally, these KGs enhance inference capabilities by revealing relationships that might otherwise be difficult to identify manually. CONCLUSION AND FUTURE WORKS:
 Furthermore, KGs constructed in various domains can serve as valuable sources for Retrieval-Augmented Generation (RAG) applications, paving the way for creating more intelligent domain-specific AI systems in the future. CONCLUSION AND FUTURE WORKS:
 For this paper, we employed a human-in-the-loop approach to evaluate the performance of OntoKGen. Although we have set the foundation for competency question answering to evaluate the method's accuracy, conducting this quantitative analysis and presenting those results are beyond the scope and limitations of this paper. CONCLUSION AND FUTURE WORKS:
 Therefore, they will be addressed in future work. CONCLUSION AND FUTURE WORKS:
 Our Future work will focus on leveraging the generated KGs as sources in Retrieval-Augmented Generation (RAG) systems, enhancing the development of more intelligent and domain-specific AI solutions. Additionally, we aim to implement live data manipulation directly from the interactive interface, enabling users to update and modify the KG dynamically. CONCLUSION AND FUTURE WORKS:
 These advancements will significantly enhance the intracavity and usability of the system, making it a more powerful tool for knowledge management and decisionmaking."
"Ontology-grounded Automatic Knowledge Graph Construction by LLM under
  Wikidata schema","https://scispace.com/paper/ontology-grounded-automatic-knowledge-graph-construction-by-7auwgev0uzgq","2024","Journal Article","","Xiaohan Feng
Xixin Wu
Helen Meng","10.48550/arxiv.2412.20942","https://scispace.compdf/ontology-grounded-automatic-knowledge-graph-construction-by-7auwgev0uzgq.pdf","We propose an ontology-grounded approach to Knowledge Graph (KG) construction using Large Language Models (LLMs) on a knowledge base. An ontology is authored by generating Competency Questions (CQ) on knowledge base to discover knowledge scope, extracting relations from CQs, and attempt to replace equivalent relations by their counterpart in Wikidata. To ensure consistency and interpretability in the resulting KG, we ground generation of KG with the authored ontology based on extracted relations. Evaluation on benchmark datasets demonstrates competitive performance in knowledge graph construction task. Our work presents a promising direction for scalable KG construction pipeline with minimal human intervention, that yields high quality and human-interpretable KGs, which are interoperable with Wikidata semantics for potential knowledge base expansion. ","improving interpretability, and ensure interoperability with public knowledge bases. Introduction: The generated KGs could be parsed with RDF parsers and used in downstream applications, or audited for correctness. Introduction: The main contributions of this work are as follows: Introduction:
 1. We propose a novel ontology-grounded approach to LLM-based KG construction that leverages ontology based on Wikidata schema to guide the extraction and integration of knowledge from unstructured text. Introduction:
 2. We introduce a pipeline that combines competency question generation, ontology alignment, and KG grounding to systematically construct high-quality KGs that are consistent, complete, and interoperable with existing knowledge bases. Introduction:
 3. We demonstrate the effectiveness of our approach through experiments on benchmark datasets, showing improvements in KG quality compared to traditional methods alongside with interpretability and utility of generated KGs. Literature Review:
 Knowledge graph construction has been an active area of research in recent years, with a wide range of approaches proposed for extracting structured knowledge from unstructured data sources . Early methods relied heavily on rule-based systems and hand-crafted features to identify entities and relations in text . Literature Review:
 With the advent of deep learning, neural networkbased approaches have become increasingly popular, enabling more flexible and scalable KG construction . Literature Review:
 One prominent line of work focuses on using distant supervision to automatically generate training data for relation extraction . Literature Review:
 These methods assume that if two entities are mentioned together in a sentence and also appear in a knowledge base as subject and object of a relation, then that sentence is likely to express the relation. Literature Review:
 While distant supervision has been shown to be effective at scale, it often suffers from noise and incomplete coverage. Literature Review:
 Another important direction is the development of unsupervised and semi-supervised methods for KG construction . These approaches aim to reduce the reliance on large amounts of labeled data by leveraging techniques such as bootstrapping, graph-based inference, and representation learning. However, they often struggle with consistency and quality control issues. Literature Review:
 More recently, there has been growing interest in using large language models for KG construction , , . These methods take advantage of the vast knowledge captured in pretrained Language Models (LM) to generate KG triples through prompt engineering and fine-tuning. Literature Review:
 While promising, these LM-based approaches only produces triplets without canocalization, which makes portability and interoperability difficult. Additionally, some methods rely on vector-based similarity measures to deduce relationships between entities in KG, which yields good performance but falls short in interpretability . Literature Review:
 As mentiond in Introduction, despite the significant progress in KG construction and LLM applications, performance, interpretability, coverage of proprietary documents, and interaction with other knowledge base remain issues. Literature Review:
 Our pipeline address these by grouding KG generation on ontology based on Wikidata schema, which ensures that output KG is human-readable and makes integrating with Wikidata or other KG easier; In the experiments below we show that these benefits can be also achieved on private documents with decent performance. Method: Ontology-grounded KG Construction:
 Our proposed approach for ontology-grounded KG construction using LLMs consists of four main stages: 1) Competency Question Generation, 2) Relation Extraction and Ontology Matching, 3) Ontology Formatting, and 4) KG Construction. Figure  provides an overview of the pipeline."
"Heterogeneous LLM Methods for Ontology Learning (Few-Shot Prompting, Ensemble Typing, and Attention-Based Taxonomies)","https://scispace.com/paper/heterogeneous-llm-methods-for-ontology-learning-few-shot-l2hlsz5sftj3","2025","Journal Article","arXiv.org","Aleksandra Beliaeva
Temurbek Rahmatullaev","10.48550/arxiv.2508.19428","https://scispace.compdf/heterogeneous-llm-methods-for-ontology-learning-few-shot-l2hlsz5sftj3.pdf","We present a comprehensive system for addressing Tasks A, B, and C of the LLMs4OL 2025 challenge, which together span the full ontology construction pipeline: term extraction, typing, and taxonomy discovery. Our approach combines retrieval-augmented prompting, zero-shot classification, and attention-based graph modeling -- each tailored to the demands of the respective task. For Task A, we jointly extract domain-specific terms and their ontological types using a retrieval-augmented generation (RAG) pipeline. Training data was reformulated into a document to terms and types correspondence, while test-time inference leverages semantically similar training examples. This single-pass method requires no model finetuning and improves overall performance through lexical augmentation Task B, which involves assigning types to given terms, is handled via a dual strategy. In the few-shot setting (for domains with labeled training data), we reuse the RAG scheme with few-shot prompting. In the zero-shot setting (for previously unseen domains), we use a zero-shot classifier that combines cosine similarity scores from multiple embedding models using confidence-based weighting. In Task C, we model taxonomy discovery as graph inference. Using embeddings of type labels, we train a lightweight cross-attention layer to predict is-a relations by approximating a soft adjacency matrix. These modular, task-specific solutions enabled us to achieve top-ranking results in the official leaderboard across all three tasks. Taken together these strategies showcase the scalability, adaptability, and robustness of LLM-based architectures for ontology learning across heterogeneous domains. Code is available at: https://github.com/BelyaevaAlex/LLMs4OL-Challenge-Alexbek","state-of-the-art results on both general (Wikipedia) and specialized (arXiv) corpora. Introduction: Together, these developments reflect a shift in the field-from isolated prompting strategies toward integrated, data-grounded pipelines that scale across domains. Introduction:
 Complementing this trend, domain-specific approaches like LLMs4Life  show how careful prompt engineering and ontology reuse yield richer hierarchies and more consistent ontologies in specialized domains. Introduction:
 Despite these advances, prior systems often rely on heavy finetuning or manually designed prompts, and lack a unified, efficient pipeline that works across tasks and domains. Our aim is to design a modular, lightweight, and scalable system that tackles all three OL tasks of the LLMs4OL 2025 benchmark: Introduction:
 • Task A: Text2Onto -joint extraction of terms (A1) and their types (A2) from raw domain documents. • Task B: Term Typing -assigning types to given terms, evaluated in both fewshot (B1-B3) and zero-shot (B4-B6) settings. Introduction:
 • Task C: Taxonomy Discovery -inducing is-a relationships between types to construct hierarchical taxonomies (C1-C8). Introduction:
 We target a single unified framework that avoids full encoder finetuning, yet remains competitive. Our contributions are threefold::
 1. We present a unified, modular LLM-based system for ontology learning, covering term extraction, term typing, and taxonomy induction across Tasks A, B, and C of the LLMs4OL 2025 challenge. Our contributions are threefold::
 2. We introduce a simple yet effective dedicated cross-attention layer for taxonomy discovery, which enables efficient graph inference over type embeddings without full encoder finetuning. 3. Our method achieves competitive results across all subtasks, including top-2 placement in multiple domains and strong zero-shot generalization. Our contributions are threefold::
 It is fully taskagnostic, lightweight, and requires no large-scale finetuning. Our contributions are threefold::
 This work challenges the prevailing notion that OL requires heavy finetuning or complex multi-component pipelines. We show that a lean, modular system-built on efficient prompting and adaptive lightweight modules-can compete with or outperform more expensive methods, supporting scalable, domain-agnostic ontology learning in real-world settings. Task A: Text2Onto:
 Task A entails concurrent extraction of terms (SubTask A1) and their types (Sub-Task A2) from raw documents spanning the Ecology, Scholarly, and Engineering domains. We resolve both subtasks in a single pass by (i) curating the released data and (ii) employing retrieval-augmented few-shot prompting. Dataset inspection and repair:
 The official distribution comprises the files: documents.jsonl, terms.txt, types.txt, terms2docs.json, and terms2types.json. A manual audit revealed that terms2docs.json actually maps types to document IDs. To assess the issue, we measured term-type overlap across domains (see Fig. ). To correct the issue, we rescanned documents for exact matches from terms.txt, Dataset inspection and repair:
 reconstructing a term-document index. Merging it with terms2types.json yields reliable supervision tuples ⟨doc, {term, type}⟩."
"Human Evaluation of Procedural Knowledge Graph Extraction from Text with
  Large Language Models","https://scispace.com/paper/human-evaluation-of-procedural-knowledge-graph-extraction-4qdi3rzq7547","2024","Journal Article","","Valentina Anita Carriero
Antonia Azzini
Ilaria Baroni
Mario Scrocca
Irene Celino","10.48550/arxiv.2412.03589","https://scispace.compdf/human-evaluation-of-procedural-knowledge-graph-extraction-4qdi3rzq7547.pdf","Procedural Knowledge is the know-how expressed in the form of sequences of steps needed to perform some tasks. Procedures are usually described by means of natural language texts, such as recipes or maintenance manuals, possibly spread across different documents and systems, and their interpretation and subsequent execution is often left to the reader. Representing such procedures in a Knowledge Graph (KG) can be the basis to build digital tools to support those users who need to apply or execute them. In this paper, we leverage Large Language Model (LLM) capabilities and propose a prompt engineering approach to extract steps, actions, objects, equipment and temporal information from a textual procedure, in order to populate a Procedural KG according to a pre-defined ontology. We evaluate the KG extraction results by means of a user study, in order to qualitatively and quantitatively assess the perceived quality and usefulness of the LLM-extracted procedural knowledge. We show that LLMs can produce outputs of acceptable quality and we assess the subjective perception of AI by human evaluators. ","prompt engineering process, and the results of our proposed prompt-based pipeline; in Section 7 we describe our human evaluation design and we present and discuss our quantitative and qualitative findings in Section 8; Section 9 concludes the paper with some future work. Related Work:
 Our work is at the intersection of the LLM application to Knowledge Engineering and its result assessment from a human point of view. Therefore, we take into account several aspects from the state of the art, as explained in the following. LLMs for Knowledge Engineering and Knowledge Extraction:
 As reported in , LLMs provide a powerful tool for mapping natural language to formal language, a fundamental activity in knowledge engineering. Existing efforts in unifying LLMs and KGs are summarized in . LLMs for Knowledge Engineering and Knowledge Extraction:
 The LM-KBC challenge explores how to build disambiguated knowledge bases from LLMs, given a subject and a relation (see, among others, ). LLMs for Knowledge Engineering and Knowledge Extraction:
 Several recent works cover the use of LLM prompting to address specific knowledge engineering tasks, like ontology engineering , ontology learning , named entity recognition and linking , knowledge graph construction including mapping generation ; some works specifically focus on benchmark, metrics and evaluation of such methods . LLMs for Knowledge Engineering and Knowledge Extraction:
 Specifically on (procedural) knowledge extraction, several studies (including ) investigate some extraction and reasoning tasks on procedures, such as the relation between a step and the procedure's goal, and the temporal relation between steps. LLMs for Knowledge Engineering and Knowledge Extraction:
 Other works focus on the business process management domain: a corpus of business processes annotated by humans with activities, gateways, actors, and flow information  is exploited in  for extracting, from such processes, activities and their participants, using an LLM; an activity recommender to support business process modeling is introduced in . LLMs for Knowledge Engineering and Knowledge Extraction:
 A semi-structured dataset of repair manuals related to Mac Laptops is annotated with the required tools and the parts that are disassembled during the process, along with two methods for extracting them . The procedures included in the dataset focus on opening the device and removing/repairing a broken component. LLMs for Knowledge Engineering and Knowledge Extraction:
 Reusing such datasets as-is was not applicable for our experiments, since they did not fully covered our requirements, e.g., by taking into account only actions related to repairs , and by missing annotations about objects and tools  (cf. Section 3). LLMs for Knowledge Engineering and Knowledge Extraction:
 Micrographs storing relevant entities and actions from technical support web pages are created in . LLMs for Knowledge Engineering and Knowledge Extraction:
 A prompting-based pipeline to extract a list of ordered steps from a procedure expressed as a numbered/bullet/indented list is proposed in ; differently, we give as input a text with no formatting and include additional descriptive sentences that the LLM needs to discard. Evaluation of Generative AI:
 The evaluation of Generative AI and specifically LLMs is an open research problem, in that it is not easy to objectively assess the generated (natural language) output . In the area of text annotation, different approaches exist , because LLMs are expected to act like human annotators . Evaluation of Generative AI:
 Indeed, among other things, they can be employed for fact checking  or to identify claims and sub-claims in text entailment ."
"Identifying Logical Patterns in Text for Reasoning","https://scispace.com/paper/identifying-logical-patterns-in-text-for-reasoning-1p3g818dnql4","2024","Journal Article","","Pauline Armary
Cheikh-Brahim El-Vaigh
Antoine Spicher
Ouassila Labbani
Christophe Nicolle","10.1109/ictai62512.2024.00122","https://scispace.compdf/identifying-logical-patterns-in-text-for-reasoning-1p3g818dnql4.pdf","","both the BLEU and F1-score version of ROUGE in our evaluation. B. Translation Task: The parsing accuracy is assessed using a logic parser provided by the nltk library , which can be integrated afterward with theorem provers like Prover9 . B. Translation Task:
 We assessed the achievement of the parsing for each sentence with a binary value (1 if parsed, 0 if not) and computed the percentage of parsed sentences over the dataset (score between 0 and 100). C. Reasoning Task:
 The reasoning task consists of evaluating a set of conclusions sentences C based on a set of premises. The evaluation results can be either True, False or Undefined. Therefore, the reasoning task can be defined as follows: given a set of premises P (resp. C. Reasoning Task:
 it first-order logic formulas ϕ) and a conclusion C (resp. it first-order logic formulas ξ), is it possible to deduce C from P (is there a model that satisfies ϕ ⊢ ξ). In practice, this task is implemented as a classification task that takes P (resp. ϕ) and C (resp. C. Reasoning Task:
 ξ) and outputs the labels True, False, or Undefined. The evaluation is performed using the accuracy metric which determines the number of correct answer over all the predicted labels. III. RELATED WORK:
 This section introduces an overview of the prominent methods from the literature. We first discuss the task of ontology learning from text and then the task of natural language inference. A. Ontology Learning from Text:
 Most of the current approach to address the challenge of identifying axioms and rules within text relies on lexicosyntactic approaches - , using the grammatical information and key lexical elements to identify the hypotheses. A. Ontology Learning from Text:
 Meanwhile,  paved the way towards Neural Networks and Deep Learning, proposing an approach for neural machine translation. Most of the studies focus on the identification of class axioms and class expression (negation, union, intersection, general class inclusion (GCI), equivalence, cardinality, value restriction, universal and existential quantification) , - . A. Ontology Learning from Text:
 Nevertheless, ,  address Rules beyond the expression of the OWL axioms, mostly relying on the Semantic Web Rule Language (SWRL), a combination of OWL and the Datalog RuleML sublanguage based on Horn-rules. A. Ontology Learning from Text:
 Moreover, the approach in  presents a strategy based on the Grammatical Dependency Parsing Tree combined with the identification of relevant words expressing specific logic patterns ('only', 'before', 'between'), which are mapped to their corresponding logic structure (expressed in Description Logic), or to identified predicate (between is given a specific predicate). A. Ontology Learning from Text:
 On the other hand,  tackles the task as a neural network translation and uses a Recurrent Neural Network (RNN) trained on labeled data to learn Description Logic axioms, mainly class expressions from definition sentences. A. Ontology Learning from Text:
 However, those attempts do not cover a large variety of axioms and rules at once but cover different subsets of axioms."
"LLM-Assisted Knowledge Graph Completion for Curriculum and Domain
  Modelling in Personalized Higher Education Recommendations","https://scispace.com/paper/llm-assisted-knowledge-graph-completion-for-curriculum-and-kqgjvb2zadua","2025","Journal Article","","Hasan Abu-Rasheed
Constance Jumbo
Rashed Al Amin
Christian Weber
Veit Wiese
Roman Obermaisser
Madjid Fathi","10.48550/arxiv.2501.12300","https://scispace.compdf/llm-assisted-knowledge-graph-completion-for-curriculum-and-kqgjvb2zadua.pdf","While learning personalization offers great potential for learners, modern practices in higher education require a deeper consideration of domain models and learning contexts, to develop effective personalization algorithms. This paper introduces an innovative approach to higher education curriculum modelling that utilizes large language models (LLMs) for knowledge graph (KG) completion, with the goal of creating personalized learning-path recommendations. Our research focuses on modelling university subjects and linking their topics to corresponding domain models, enabling the integration of learning modules from different faculties and institutions in the student's learning path. Central to our approach is a collaborative process, where LLMs assist human experts in extracting high-quality, fine-grained topics from lecture materials. We develop a domain, curriculum, and user models for university modules and stakeholders. We implement this model to create the KG from two study modules: Embedded Systems and Development of Embedded Systems Using FPGA. The resulting KG structures the curriculum and links it to the domain models. We evaluate our approach through qualitative expert feedback and quantitative graph quality metrics. Domain experts validated the relevance and accuracy of the model, while the graph quality metrics measured the structural properties of our KG. Our results show that the LLM-assisted graph completion approach enhances the ability to connect related courses across disciplines to personalize the learning experience. Expert feedback also showed high acceptance of the proposed collaborative approach for concept extraction and classification. ","insights they received from the pipeline's output did not only support a better structuring of their courses and modules, but also the personalization of the learning experience for individual students, who have different levels of knowledge, scientific backgrounds, and career goals. Conclusion:
 In this paper, we proposed an approach for modelling higher education curriculums and linking them to domain and user models. We use an LLM-assisted pipeline to conduct a KG completion task, which is accomplished through a collaboration between the intelligent model and domain experts. Conclusion:
 Our goal was to enable a seamless integration of the existing learning content into the curriculum model, to support learning personalization based on the KG. Conclusion:
 We implemented our pipeline on a sample of two university modules within embedded systems and FPGA courses. The proposed base ontology, pipeline, and the extraction and classification models were evaluated with the lecturers of the selected evaluation modules. Conclusion:
 Our evaluation results showed the effectiveness of the proposed approach for the collaboration between human experts and the AI system. Conclusion:
 It served as an assistant, providing the human expert with an advanced starting point for the structuring of the learning content, and for enabling better personalization of the learning experience, considering the similarities between module contents and their connection to the domain and user models."
"Do LLMs Really Adapt to Domains? An Ontology Learning Perspective","https://scispace.com/paper/do-llms-really-adapt-to-domains-an-ontology-learning-3nfyrtq0w4fn","2024","Journal Article","","Huu Tan Mai
Cuong Xuan Chu
Heiko Paulheim","10.48550/arxiv.2407.19998","https://scispace.compdf/do-llms-really-adapt-to-domains-an-ontology-learning-3nfyrtq0w4fn.pdf","Large Language Models (LLMs) have demonstrated unprecedented prowess across various natural language processing tasks in various application domains. Recent studies show that LLMs can be leveraged to perform lexical semantic tasks, such as Knowledge Base Completion (KBC) or Ontology Learning (OL). However, it has not effectively been verified whether their success is due to their ability to reason over unstructured or semi-structured data, or their effective learning of linguistic patterns and senses alone. This unresolved question is particularly crucial when dealing with domain-specific data, where the lexical senses and their meaning can completely differ from what a LLM has learned during its training stage. This paper investigates the following question: Do LLMs really adapt to domains and remain consistent in the extraction of structured knowledge, or do they only learn lexical senses instead of reasoning? To answer this question and, we devise a controlled experiment setup that uses WordNet to synthesize parallel corpora, with English and gibberish terms. We examine the differences in the outputs of LLMs for each corpus in two OL tasks: relation extraction and taxonomy discovery. Empirical results show that, while adapting to the gibberish corpora, off-the-shelf LLMs do not consistently reason over semantic relationships between concepts, and instead leverage senses and their frame. However, fine-tuning improves the performance of LLMs on lexical semantic tasks even when the domain-specific terms are arbitrary and unseen during pre-training, hinting at the applicability of pre-trained LLMs for OL. ","perform ontology learning tasks on these data, it is realized that LLMs are unable to consistently retrieve the same taxonomic relationships between analogous concepts, which highlights their clear reliance on priorly learned semantics, lexical senses, and the frame of the tokens. Conclusion:
 However, we notice that after fine-tuning on gibberish data, LLMs improve at discovering hierarchies, both on the domain they were trained on and other arbitrary domains. We attribute this improvement to the emergence of reasoning with lexical semantics. Conclusion:
 Our work serves as cautionary advice for the community that LLMs do not adapt to arbitrary domains, and we hope that it can inspire future work to leverage reasoning with LLMs for Ontology Learning. Conclusion:
 Supplemental Material Statement: Generated datasets (real and gibberish for all domains), source code for generating the synthetic datasets from the Open English WordNet, and for fine-tuning or evaluating LLMs on OL tasks are available online."
