"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"No Agent is an Island: Building Collaborative AI for Ontology Development (Keynote, 2nd Annual Workshop on LLMs and Ontologies)","https://scispace.com/paper/no-agent-is-an-island-building-collaborative-ai-for-ontology-lbexe0of0waf","2025","Repository","","Mungall, Christopher","10.5281/zenodo.17498033","","Ontology development is a complex sociotechnological process involving consensus-generation among experts, deep subject matter research, logical representation and reasoning, and rigorous application of engineering principles. It is also highly resource-intensive. So there is naturally interest in applying a variety of AI techniques, from good-old-fashioned AI symbolic methods, to newer large language model (LLM) approaches. After the release of ChatGPT there was an explosion of activity applying LLMs for ontology generation tasks, but these did not translate into meaningful applications in complex domains like the life sciences and biomedicine. This can be explained by a mixture of a lack of trust in generative AI coupled with a misalignment of requirements and capabilities. A newer paradigm of multi-agentic AI offers a more powerful approach that equips the AI with a team of specialists cooperating and using tools to solve complex tasks. For ontology development, these tools include reasoners, literature search tools, ontology exploration and engineering tools, and the ability to communicate through social coding mechanisms such as GitHub. In this talk I will describe experiences in deploying agentic AI systems at scale over a variety of ontology and semantic artefact projects, outlining opportunities and challenges in building, evaluating, and socially integrating agents into ontology development, with a perspective on the future of ontology development in the face of rapid AI developments. https://cbp1012.github.io/JOWO-ONTOLLM/ ","Researchers explore multi-agentic AI for ontology development, leveraging AI specialists to cooperate and utilize tools for complex tasks, addressing limitations of previous LLM approaches in life sciences and biomedicine applications."
"No Agent is an Island: Building Collaborative AI for Ontology Development (Keynote, 2nd Annual Workshop on LLMs and Ontologies)","https://scispace.com/paper/no-agent-is-an-island-building-collaborative-ai-for-ontology-8l4k3tobgly9","2025","Repository","","Mungall, Christopher","10.5281/zenodo.17498034","","Ontology development is a complex sociotechnological process involving consensus-generation among experts, deep subject matter research, logical representation and reasoning, and rigorous application of engineering principles. It is also highly resource-intensive. So there is naturally interest in applying a variety of AI techniques, from good-old-fashioned AI symbolic methods, to newer large language model (LLM) approaches. After the release of ChatGPT there was an explosion of activity applying LLMs for ontology generation tasks, but these did not translate into meaningful applications in complex domains like the life sciences and biomedicine. This can be explained by a mixture of a lack of trust in generative AI coupled with a misalignment of requirements and capabilities. A newer paradigm of multi-agentic AI offers a more powerful approach that equips the AI with a team of specialists cooperating and using tools to solve complex tasks. For ontology development, these tools include reasoners, literature search tools, ontology exploration and engineering tools, and the ability to communicate through social coding mechanisms such as GitHub. In this talk I will describe experiences in deploying agentic AI systems at scale over a variety of ontology and semantic artefact projects, outlining opportunities and challenges in building, evaluating, and socially integrating agents into ontology development, with a perspective on the future of ontology development in the face of rapid AI developments. https://cbp1012.github.io/JOWO-ONTOLLM/ ",""
"The Integration of Artificial Intelligence and Ontologies: Transformations in Knowledge Representation and Application","https://scispace.com/paper/the-integration-of-artificial-intelligence-and-ontologies-mo5drgohsaga","2025","Journal Article","Proceedings from North American Symposium on Knowledge Organization","Giuseppe Serratore
Julaine Clunis","10.7152/nasko.v7i1.95643","","Artificial Intelligence (AI) is reshaping the landscape of knowledge representation. There is an increasingly strong bidirectional relationship, between AI techniques and ontologies. AI techniques revolutionized traditional, manual ontology development and contribute to automated ontology construction, while ontologies enhance the performance of AI systems and their semantic accuracy. Through a comprehensive review of current literature, this paper aims to examine: i) how Machine Learning (ML) techniques contribute to the automated construction, refinement, and validation of ontologies; ii) the most widely used and effective ML approaches for ontology construction; iii) how domain-specific requirements influence the selection and adaptation of AI techniques for building and applying ontologies; iv) how ontologies enhance the interpretability, explainability, and reliability of AI. This overview highlights the integration between AI and ontology engineering across different domains and indicates that so far successful AI-ontology integration typically follows a collaborative model, in which AI acts as an intelligent assistant to human experts, combining computational efficiency with critical domain knowledge. Ethical concerns, such as bias and hallucinations, remain pressing challenges that require standardized frameworks and careful considerations. However, this reciprocal relationship between AI and ontologies points to the development of more dynamic, adaptive, and complete ontologies. ","This paper reviews the integration of Artificial Intelligence (AI) and ontologies, examining how AI techniques contribute to automated ontology construction, refinement, and validation, and how ontologies enhance AI system performance and semantic accuracy."
"Agent-OM: Leveraging LLM Agents for Ontology Matching","https://scispace.com/paper/agent-om-leveraging-llm-agents-for-ontology-matching-t9edl4udw67s","2024","Journal Article","Proceedings of The Vldb Endowment","Zhangcheng Qiang
Weiqing Wang
Kerry Taylor","10.14778/3712221.3712222","","Ontology matching (OM) enables semantic interoperability between different ontologies and resolves their conceptual heterogeneity by aligning related entities. OM systems currently have two prevailing design paradigms: conventional knowledge-based expert systems and newer machine learning-based predictive systems. While large language models (LLMs) and LLM agents have revolutionised data engineering and have been applied creatively in many domains, their potential for OM remains underexplored. This study introduces a novel agent-powered LLM-based design paradigm for OM systems. With consideration of several specific challenges in leveraging LLM agents for OM, we propose a generic framework, namely Agent-OM (Agent for Ontology Matching), consisting of two Siamese agents for retrieval and matching, with a set of OM tools. Our framework is implemented in a proof-of-concept system. Evaluations of three Ontology Alignment Evaluation Initiative (OAEI) tracks over state-of-the-art OM systems show that our system can achieve results very close to the long-standing best performance on simple OM tasks and can significantly improve the performance on complex and few-shot OM tasks. ","This study introduces Agent-OM, a novel LLM-based design paradigm for ontology matching, leveraging two Siamese agents for retrieval and matching, and achieving competitive results with state-of-the-art OM systems on simple and complex tasks."
"Ontology-Enhanced Decision-Making for Autonomous Agents in Dynamic and
  Partially Observable Environments","https://scispace.com/paper/ontology-enhanced-decision-making-for-autonomous-agents-in-3hil6r6ipr","2024","Preprint","","Saeedeh Ghanadbashi
Fatemeh Golpayegani","10.48550/arxiv.2405.17691","https://scispace.compdf/ontology-enhanced-decision-making-for-autonomous-agents-in-3hil6r6ipr.pdf","Agents, whether software or hardware, perceive their environment through sensors and act using actuators, often operating in dynamic, partially observable settings. They face challenges like incomplete and noisy data, unforeseen situations, and the need to adapt goals in real-time. Traditional reasoning and ML methods, including Reinforcement Learning (RL), help but are limited by data needs, predefined goals, and extensive exploration periods. Ontologies offer a solution by integrating diverse information sources, enhancing decision-making in complex environments. This thesis introduces an ontology-enhanced decision-making model (OntoDeM) for autonomous agents. OntoDeM enriches agents' domain knowledge, allowing them to interpret unforeseen events, generate or adapt goals, and make better decisions. Key contributions include: 1. An ontology-based method to improve agents' real-time observations using prior knowledge. 2. The OntoDeM model for handling dynamic, unforeseen situations by evolving or generating new goals. 3. Implementation and evaluation in four real-world applications, demonstrating its effectiveness. Compared to traditional and advanced learning algorithms, OntoDeM shows superior performance in improving agents' observations and decision-making in dynamic, partially observable environments. ","Ontology-Enhanced Decision-Making for Autonomous Agents in Dynamic and Partially Observable Environments enhances decision-making by integrating diverse information sources and evolving goals, improving observations and leading to superior performance in complex environments."
"Architectural Suggestions for Ontology Management","https://scispace.com/paper/architectural-suggestions-for-ontology-management-4fdtm1l7wg69","2024","Journal Article","EFSA supporting publications","Yannis Tzitzikas
Yannis Marketakis
Michalis Mountantonakis
Pavlos Fafalios
Maria Theodoridou
Anastasia Axaridou
Athina Kritsotaki
Chryssoula Bekiari","10.2903/sp.efsa.2024.en-9118","","Abstract This document describes the steps that required for creating and maintaining an ontology; for exploiting an ontology in order to describe data from one or more data sources; and for developing services and applications that provide unified access and insightful analysis on the data. The document provides the state of the art of the various tools and software components that exist and can be used for carrying out various tasks of the overall process. The components are grouped based on their intended use and for each one of them a concise description, as well as other useful details (i.e. if they are open‐source, their license, etc.), are provided. For each step or task, the involved software components are also described in a table presenting their details with respect to various dimensions (e.g. open‐source, license, available online, key advantages, etc.), in order to enable their quick comparison. Moreover, successful examples of semantic data integration are presented, i.e., for cases where a top‐level ontology is used for integrating data for the cultural and biodiversity domain, and services for large‐scale semantic data integration (including hundreds of datasets from several domains). Furthermore, it provides the high‐level architectural suggestions that can be used as a basis for the actual implementation of any ontology‐based system; the described processes and tools can be exploited for the development of the ontology‐based functionality. Finally, it offers the adaptations of the proposed architecture for the EFSA case studies, by providing details about their components and indicative pipelines and tools. ","This document outlines architectural suggestions for ontology management, providing a state-of-the-art overview of tools and software components for creating, maintaining, and exploiting ontologies, with a focus on semantic data integration and large-scale applications."
"Reinvigorating Structured Knowledge and Ontologies for Trustworthy and Beneficial AI and Robotics","https://scispace.com/paper/reinvigorating-structured-knowledge-and-ontologies-for-jzxsaidsqhg9","2025","Journal Article","Frontiers in artificial intelligence and applications","Chun-yien Chang
Yi‐Ting Chen
Ying-ping Chen","10.3233/faia250489","","This position paper contends that as artificial intelligence (AI) and robotics advance at a rapid pace—transforming industries, healthcare, transportation, and more—the development of structured knowledge and formal ontologies struggles to keep up. This imbalance poses substantial risks, as increasingly powerful and autonomous systems can make decisions that are both opaque and difficult to verify. While AI and robotics research benefit from significant funding and widespread attention, ontology and structured knowledge efforts often remain under-resourced, under-integrated, and often sidelined—leaving a growing semantic gap in system design and governance. To address this gap, we argue that formal ontology research must be reinvigorated to keep pace with the accelerating demands of AI and robotics—not merely as a support function but as a core contributor to trustworthy and beneficial AI/robotics system design. This requires renewed investment in the academic foundations of ontology engineering, reintegration of semantic modeling into AI/robotics development workflows, and the lowering of practical barriers that have hindered broader adoption. Specifically, we advocate for ontology-augmented verification methods that incorporate semantic constraints into behavioral validation; for the institutionalization of semantic auditing practices that allow ontologies to serve as transparent, inspectable system referents; and for the adoption of FAIR publishing standards that treat ontologies as first-class research outputs. These directions, we argue, are essential to bridge the gap between AI/robotics and ontology research and to ensure that autonomous AI/robotics systems remain not only performant but also transparent, accountable, and ultimately beneficial to humanity. ","This position paper argues that ontology research must be reinvigorated to keep pace with AI and robotics advancements, addressing the semantic gap in system design and governance through renewed investment, reintegration, and practical barrier reduction."
"KROMA: Ontology Matching with Knowledge Retrieval and Large Language Models","https://scispace.com/paper/kroma-ontology-matching-with-knowledge-retrieval-and-large-f1mxx86kq31q","2025","Journal Article","arXiv.org","Lam Nguyen
Erika Barcelos
Roger H. French
Yinghui Wu","10.48550/arxiv.2507.14032","https://scispace.compdf/kroma-ontology-matching-with-knowledge-retrieval-and-large-f1mxx86kq31q.pdf","Ontology Matching (OM) is a cornerstone task of semantic interoperability, yet existing systems often rely on handcrafted rules or specialized models with limited adaptability. We present KROMA, a novel OM framework that harnesses Large Language Models (LLMs) within a Retrieval-Augmented Generation (RAG) pipeline to dynamically enrich the semantic context of OM tasks with structural, lexical, and definitional knowledge. To optimize both performance and efficiency, KROMA integrates a bisimilarity-based concept matching and a lightweight ontology refinement step, which prune candidate concepts and substantially reduce the communication overhead from invoking LLMs. Through experiments on multiple benchmark datasets, we show that integrating knowledge retrieval with context-augmented LLMs significantly enhances ontology matching, outperforming both classic OM systems and cutting-edge LLM-based approaches while keeping communication overhead comparable. Our study highlights the feasibility and benefit of the proposed optimization techniques (targeted knowledge retrieval, prompt enrichment, and ontology refinement) for ontology matching at scale.","KROMA, a novel Ontology Matching framework, leverages Large Language Models and Retrieval-Augmented Generation to dynamically enrich semantic context, outperforming classic OM systems and LLM-based approaches while maintaining comparable communication overhead."
"From Certainty to Uncertainty in Knowledge: Exploring Modeling, Extraction, Representation, and Applications","https://scispace.com/paper/from-certainty-to-uncertainty-in-knowledge-exploring-a84pqdqdaqc5","2025","Journal Article","Frontiers in artificial intelligence and applications","Shumin Deng
Ningyu Zhang
Tianxing Wu","10.3233/faia250214","","This chapter traverses the evolution of Artificial Intelligence (AI) from structured, deterministic systems to those proficient in managing ambiguity and uncertainty. It begins by detailing methods of knowledge modeling using ontologies, rules, and texts to establish a foundation of certain knowledge. The discourse progresses to explain how knowledge is symbolically and parametrically represented, notably through advanced language models, enhancing the depth and utility of AI systems. Further, the chapter explores the dynamic processes of knowledge acquisition, emphasizing the extraction of intricate data patterns and probing the embedded knowledge within pre-trained language models. It highlights techniques like Retrieval-Augmented Generation (RAG) and symbol-guided parametric knowledge editing to enhance AI capabilities. Concluding with the handling of uncertain knowledge, the chapter underscores strategies enabling AI to operate effectively amidst incomplete and ambiguous information, illustrating the shift towards systems that can robustly navigate the complexities of real-world applications. This concise overview encapsulates the core advancements in AI knowledge processes, marking a critical evolution from certainty to the proficient management of uncertainty. ","This chapter explores AI's evolution from deterministic to uncertain systems, detailing knowledge modeling, representation, and extraction methods, including ontologies, language models, and techniques like RAG, to enable robust AI capabilities in real-world applications amidst ambiguity and uncertainty."
"KNOW: A Real-World Ontology for Knowledge Capture with Large Language
  Models","https://scispace.com/paper/know-a-real-world-ontology-for-knowledge-capture-with-large-3u2tzdpug2","2024","Preprint","","Arto Bendiken","10.48550/arxiv.2405.19877","https://scispace.compdf/know-a-real-world-ontology-for-knowledge-capture-with-large-3u2tzdpug2.pdf","We present KNOW--the Knowledge Navigator Ontology for the World--the first ontology designed to capture everyday knowledge to augment large language models (LLMs) in real-world generative AI use cases such as personal AI assistants. Our domain is human life, both its everyday concerns and its major milestones. We have limited the initial scope of the modeled concepts to only established human universals: spacetime (places, events) plus social (people, groups, organizations). The inclusion criteria for modeled concepts are pragmatic, beginning with universality and utility. We compare and contrast previous work such as Schema.org and Cyc--as well as attempts at a synthesis of knowledge graphs and language models--noting how LLMs already encode internally much of the commonsense tacit knowledge that took decades to capture in the Cyc project. We also make available code-generated software libraries for the 12 most popular programming languages, enabling the direct use of ontology concepts in software engineering. We emphasize simplicity and developer experience in promoting AI interoperability. ","The KNOW ontology captures human life concepts to augment large language models in real-world generative AI use cases. It includes established human universals and is designed for interoperability and software engineering."
