"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Meronymic Ontology Extraction via Large Language Models","https://scispace.com/paper/meronymic-ontology-extraction-via-large-language-models-hszvko1oonle","2025","Journal Article","","Zhang, Dekai
Conia, Simone
Rago, Antonio","10.48550/arxiv.2510.13839","","Ontologies have become essential in today's digital age as a way of organising the vast amount of readily available unstructured text. In providing formal structure to this information, ontologies have immense value and application across various domains, e.g., e-commerce, where countless product listings necessitate proper product organisation. However, the manual construction of these ontologies is a time-consuming, expensive and laborious process. In this paper, we harness the recent advancements in large language models (LLMs) to develop a fully-automated method of extracting product ontologies, in the form of meronymies, from raw review texts. We demonstrate that the ontologies produced by our method surpass an existing, BERT-based baseline when evaluating using an LLM-as-a-judge. Our investigation provides the groundwork for LLMs to be used more generally in (product or otherwise) ontology extraction. ",""
"Large Language Models in Document Intelligence: A Comprehensive Survey, Recent Advances, Challenges and Future Trends","https://scispace.com/paper/large-language-models-in-document-intelligence-a-i70npis65t0r","2025","Journal Article","ACM Transactions on Information Systems","Wenjun Ke
Yifan Zheng
Yining Li
Haidi Xu
Dong Nie
Peng Wang
Yao He","10.1145/3768156","","The rapid proliferation of documents has made document intelligence increasingly critical across various industries. In recent years, large language models (LLMs) have dramatically transformed the field of document intelligence, allowing for more advanced and accurate document processing solutions. Despite these advancements, most existing surveys have failed to focus on these breakthroughs, instead concentrating on traditional methods and earlier machine learning techniques. This survey seeks to fill that gap by offering an in-depth analysis of approximately 300 papers published between 2021 and mid-2025, thus providing a comprehensive overview of the impact of LLMs in document intelligence. The key topics explored include retrieval-augmented generation (RAG), long context processing, and fine-tuning LLMs for document comprehension. Furthermore, the survey highlights essential datasets, practical applications, current challenges, and future research directions, offering critical insights for both researchers and industry practitioners looking to advance the field. ","This comprehensive survey of 300 papers (2021-2025) explores the impact of large language models on document intelligence, covering breakthroughs in retrieval-augmented generation, long context processing, and fine-tuning for document comprehension, with practical applications and future research directions."
"Phoenixes at LLMs4OL 2025 Task A: Ontology Learning With Large Language Models Reasoning","https://scispace.com/paper/phoenixes-at-llms4ol-2025-task-a-ontology-learning-with-uh7vnfv6rtur","2025","Proceedings Article","Open conference proceedings","Alireza Esmaeili Fridouni
Mahsa Sanaei
Alireza Esmaeili Fridouni
Mahsa Sanaei","10.52825/ocp.v6i.2888","https://scispace.compdf/phoenixes-at-llms4ol-2025-task-a-ontology-learning-with-uh7vnfv6rtur.pdf","Recent advances in large language models (LLMs) have demonstrated remarkable capabilities in various natural language understanding tasks, including Ontology Learning (OL), where they automatically or semi-automatically extract knowledge from unstructured data. This work presents our contribution to the LLMs4OL Challenge at the ISWC 2025 conference, focusing on Task A, which comprises two subtasks: term extraction (SubTask A1) and type extraction (SubTask A2). We evaluate three state-of-the-art LLMs — Qwen2.5-72B-Instruct, Mistral-Small-24B-Instruct-2501, and LLaMA-3.3-70B-Instruct — across three domain-specific datasets: Ecology, Scholarly, and Engineering. In this paper, we adopt a Chain-of-Thought (CoT) Few-Shot Prompting strategy to guide the models in identifying relevant domain terms and assigning their appropriate ontology types. CoT prompting enables LLMs to generate intermediate reasoning steps before producing final predictions, which is particularly beneficial for ontology learning tasks that require contextual reasoning beyond surface-level term matching. Model performance is evaluated using the official precision, recall, and F1-score metrics provided by the challenge organizers. The results reveal important insights into the strengths and limitations of LLMs in ontology learning tasks. ",""
"LLMs4OL 2024 Datasets: Toward Ontology Learning with Large Language Models","https://scispace.com/paper/llms4ol-2024-datasets-toward-ontology-learning-with-large-kx7mkg1yy9ow","2024","Proceedings Article","Open conference proceedings","Hamed Babaei Giglou
Jennifer D’Souza
Sameer Sadruddin
Sören Auer","10.52825/ocp.v4i.2480","","Ontology learning (OL) from unstructured data has evolved significantly, with recent advancements integrating large language models (LLMs) to enhance various aspects of the process. The paper introduces the LLMs4OL 2024 datasets, developed to benchmark and advance research in OL using LLMs. The LLMs4OL 2024 dataset as a key component of the LLMs4OL Challenge, targets three primary OL tasks: Term Typing, Taxonomy Discovery, and Non-Taxonomic Relation Extraction. It encompasses seven domains, i.e. lexosemantics and biological functions, offering a comprehensive resource for evaluating LLM-based OL approaches Each task within the dataset is carefully crafted to facilitate both Few-Shot (FS) and Zero-Shot (ZS) evaluation scenarios, allowing for robust assessment of model performance across different knowledge domains to address a critical gap in the field by offering standardized benchmarks for fair comparison for evaluating LLM applications in OL. ","The LLMs4OL 2024 dataset is introduced to benchmark ontology learning with large language models, covering three tasks (Term Typing, Taxonomy Discovery, and Non-Taxonomic Relation Extraction) across seven domains, facilitating Few-Shot and Zero-Shot evaluation scenarios."
"Ontology-Enhanced Knowledge Graph Completion using Large Language Models","https://scispace.com/paper/ontology-enhanced-knowledge-graph-completion-using-large-5z5iwtb6f491","2025","Journal Article","","Guo Wenbin
Wang Xin
Chen, Jiaoyan
Li Zhao
Chen, Zirui","10.48550/arxiv.2507.20643","","Large Language Models (LLMs) have been extensively adopted in Knowledge Graph Completion (KGC), showcasing significant research advancements. However, as black-box models driven by deep neural architectures, current LLM-based KGC methods rely on implicit knowledge representation with parallel propagation of erroneous knowledge, thereby hindering their ability to produce conclusive and decisive reasoning outcomes. We aim to integrate neural-perceptual structural information with ontological knowledge, leveraging the powerful capabilities of LLMs to achieve a deeper understanding of the intrinsic logic of the knowledge. We propose an ontology enhanced KGC method using LLMs -- OL-KGC. It first leverages neural perceptual mechanisms to effectively embed structural information into the textual space, and then uses an automated extraction algorithm to retrieve ontological knowledge from the knowledge graphs (KGs) that needs to be completed, which is further transformed into a textual format comprehensible to LLMs for providing logic guidance. We conducted extensive experiments on three widely-used benchmarks -- FB15K-237, UMLS and WN18RR. The experimental results demonstrate that OL-KGC significantly outperforms existing mainstream KGC methods across multiple evaluation metrics, achieving state-of-the-art performance. ",""
"Towards Complex Ontology Alignment using Large Language Models","https://scispace.com/paper/towards-complex-ontology-alignment-using-large-language-2nvsqqahvs","2024","Journal Article","arXiv.org","Reihaneh Amini
Sanaz Saki Norouzi
Pascal Hitzler
Reza Amini","10.48550/arxiv.2404.10329","","Ontology alignment, a critical process in the Semantic Web for detecting relationships between different ontologies, has traditionally focused on identifying so-called""simple""1-to-1 relationships through class labels and properties comparison. The more practically useful exploration of more complex alignments remains a hard problem to automate, and as such is largely underexplored, i.e. in application practice it is usually done manually by ontology and domain experts. Recently, the surge in Natural Language Processing (NLP) capabilities, driven by advancements in Large Language Models (LLMs), presents new opportunities for enhancing ontology engineering practices, including ontology alignment tasks. This paper investigates the application of LLM technologies to tackle the complex ontology alignment challenge. Leveraging a prompt-based approach and integrating rich ontology content so-called modules our work constitutes a significant advance towards automating the complex alignment task.","Automating complex ontology alignment using large language models to explore more intricate relationships between ontologies."
"End-to-End Ontology Learning with Large Language Models","https://scispace.com/paper/end-to-end-ontology-learning-with-large-language-models-4m207co75t7q","2024","Journal Article","","Andrea Lo
Albert Q. Jiang
Wenda Li
Mateja Jamnik","10.48550/arxiv.2410.23584","https://scispace.compdf/end-to-end-ontology-learning-with-large-language-models-4m207co75t7q.pdf","Ontologies are useful for automatic machine processing of domain knowledge as they represent it in a structured format. Yet, constructing ontologies requires substantial manual effort. To automate part of this process, large language models (LLMs) have been applied to solve various subtasks of ontology learning. However, this partial ontology learning does not capture the interactions between subtasks. We address this gap by introducing OLLM, a general and scalable method for building the taxonomic backbone of an ontology from scratch. Rather than focusing on subtasks, like individual relations between entities, we model entire subcomponents of the target ontology by finetuning an LLM with a custom regulariser that reduces overfitting on high-frequency concepts. We introduce a novel suite of metrics for evaluating the quality of the generated ontology by measuring its semantic and structural similarity to the ground truth. In contrast to standard metrics, our metrics use deep learning techniques to define more robust distance measures between graphs. Both our quantitative and qualitative results on Wikipedia show that OLLM outperforms subtask composition methods, producing more semantically accurate ontologies while maintaining structural integrity. We further demonstrate that our model can be effectively adapted to new domains, like arXiv, needing only a small number of training examples. Our source code and datasets are available at https://github.com/andylolu2/ollm. ","This study introduces OLLM, a scalable method for building ontology taxonomies using large language models, outperforming subtask composition methods in generating semantically accurate ontologies with structural integrity across various domains."
"Large language models as oracles for instantiating ontologies with domain-specific knowledge","https://scispace.com/paper/large-language-models-as-oracles-for-instantiating-2ufnntywjc","2024","Journal Article","arXiv.org","Giovanni Ciatto
Andrea Agiollo
Matteo Magnini
Andrea Omicini","10.48550/arxiv.2404.04108","","Background. Endowing intelligent systems with semantic data commonly requires designing and instantiating ontologies with domain-specific knowledge. Especially in the early phases, those activities are typically performed manually by human experts possibly leveraging on their own experience. The resulting process is therefore time-consuming, error-prone, and often biased by the personal background of the ontology designer. Objective. To mitigate that issue, we propose a novel domain-independent approach to automatically instantiate ontologies with domain-specific knowledge, by leveraging on large language models (LLMs) as oracles. Method. Starting from (i) an initial schema composed by inter-related classes andproperties and (ii) a set of query templates, our method queries the LLM multiple times, and generates instances for both classes and properties from its replies. Thus, the ontology is automatically filled with domain-specific knowledge, compliant to the initial schema. As a result, the ontology is quickly and automatically enriched with manifold instances, which experts may consider to keep, adjust, discard, or complement according to their own needs and expertise. Contribution. We formalise our method in general way and instantiate it over various LLMs, as well as on a concrete case study. We report experiments rooted in the nutritional domain where an ontology of food meals and their ingredients is semi-automatically instantiated from scratch, starting from a categorisation of meals and their relationships. There, we analyse the quality of the generated ontologies and compare ontologies attained by exploiting different LLMs. Finally, we provide a SWOT analysis of the proposed method.","Large language models can be used to instantiate ontologies with domain-specific knowledge by querying them with specific templates and generating instances from their replies."
"NeOn-GPT: A Large Language Model-Powered Pipeline for Ontology Learning","https://scispace.com/paper/neon-gpt-a-large-language-model-powered-pipeline-for-d7d5yd3qvwwx","2024","Repository","","Das, Arunav
Poltronieri, Andrea
Haase Peter
Kovriguina, Liubov","10.5281/zenodo.11221930","","We address the task of ontology learning by combining the structured NeOn methodology framework with Large Language Models (LLMs) for translating natural language domain descriptions into Turtle syntax ontologies. The main contribution of the paper is a prompt pipeline tailored for domain-agnostic modeling, exemplified through the application to a domain-specific case study: the wine ontology. The resulting pipeline is used to develop NeOn-GPT, a workflow for automatic ontology modeling, and is integrated into the metaphactory platform. NeOn-GPT leverages the systematic approach of the NeOn methodology and LLMs’ generative capabilities to facilitate a more efficient ontology development process. We evaluate the proposed approach by conducting comprehensive evaluations using the Stanford wine ontology as the gold standard. The obtained results show that LLMs are not fully equipped to perform procedural tasks required for ontology development and lack the reasoning skills and domain expertise needed. Overall, LLMs require integration into workflow or trajectory tools for continuous knowledge engineering tasks. Nevertheless, LLMs can significantly alleviate the time and expertise needed. Our code base is publicly available for research and development purposes, accessible at: https://github.com/andreamust/NEON-GPT. ",""
"SBU-NLP at LLMs4OL 2025 Tasks A, B, and C: Stage-Wise Ontology Construction Through LLMs Without any Training Procedure","https://scispace.com/paper/sbu-nlp-at-llms4ol-2025-tasks-a-b-and-c-stage-wise-ontology-1xwl7gop49ih","2025","Proceedings Article","Open conference proceedings","Rashin Rahnamoun
Mehrnoush Shamsfard
Rashin Rahnamoun
Mehrnoush Shamsfard","10.52825/ocp.v6i.2887","https://scispace.compdf/sbu-nlp-at-llms4ol-2025-tasks-a-b-and-c-stage-wise-ontology-1xwl7gop49ih.pdf","Automated ontology construction is a challenging task that traditionally requires extensive domain expertise, data preprocessing, and resource-intensive model training. While learning-based methods with fine-tuning are common, they often suffer from high computational costs and limited generalizability across domains. This paper explores a fully automated approach that leverages powerful large language models (LLMs) through prompt engineering, eliminating the need for training or fine-tuning. We participated in the LLMs4OL 2025 shared task, which includes four subtasks: extracting ontological terms and types (Text2Onto), assigning generalized types to terms (Term Typing), discovering taxonomic relations (Taxonomy Discovery), and extracting non-taxonomic semantic relations (Non-Taxonomic Relation Extraction). Our team focused on the first three tasks by using stratified random sampling, simple random sampling, and chunking-based strategies to include training sets in the prompts without limitations imposed by context window sizes. This simple yet general approach has proven effective across these tasks, enabling high-quality ontology construction without additional annotations or training. Additionally, we show that pretrained sentence embedding models ranging from 0.1B to 1.5B parameters perform comparably to a simple F1 token overlap baseline in taxonomy discovery, suggesting that embedding-based methods may not always offer significant advantages. Our findings highlight that prompt-based strategies with modern LLMs enable efficient, scalable, and domain-independent ontology construction, providing a promising alternative to traditional, resource-heavy methods. ",""
