"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"LLMs4OL 2025 Overview: The 2nd Large Language Models for Ontology Learning Challenge","https://scispace.com/paper/llms4ol-2025-overview-the-2nd-large-language-models-for-obpd0dlo5kx8","2025","Proceedings Article","Open conference proceedings","Hamed Babaei Giglou
Jennifer D’Souza
Nandana Mihindukulasooriya
Sören Auer
Hamed Babaei Giglou
Jennifer D’Souza
Nandana Mihindukulasooriya
Sören Auer","10.52825/ocp.v6i.2913","https://scispace.compdf/llms4ol-2025-overview-the-2nd-large-language-models-for-obpd0dlo5kx8.pdf","We present the results of the 2nd LLMs4OL 2025 Challenge, a shared task designed to evaluate the effectiveness of large language models (LLMs) for ontology learning. The challenge attracted a diverse set of participants who leveraged a broad spectrum of models, including general-purpose LLMs, domain-specific models, and embedding-based systems. Submissions covered multiple subtasks such as Text2Onto, term typing, taxonomy discovery, and non-taxonomic relationship extractions. The results highlight that hybrid pipelines integrating commercial LLMs with domain-tuned embeddings and fine-tuning approaches achieved the strongest overall performance, while specialized domain models improved results in biomedical and technical datasets. Key insights include the importance of prompt engineering, retrieval-augmented generation (RAG), and ensemble learning. This paper presents the second benchmark of LLM-driven ontology learning, serving as an overview of the participants’ contributions to the challenge. Building on this, this overview presents findings, highlights emerging strategies, and offers practical insights for researchers and practitioners seeking to align unstructured language with structured knowledge. ","The 2nd LLMs4OL 2025 Challenge evaluates large language models for ontology learning, with hybrid pipelines and specialized domain models achieving top performance, highlighting the importance of prompt engineering, RAG, and ensemble learning in ontology learning."
"LLMs4OL 2024 Datasets: Toward Ontology Learning with Large Language Models","https://scispace.com/paper/llms4ol-2024-datasets-toward-ontology-learning-with-large-kx7mkg1yy9ow","2024","Proceedings Article","Open conference proceedings","Hamed Babaei Giglou
Jennifer D’Souza
Sameer Sadruddin
Sören Auer","10.52825/ocp.v4i.2480","","Ontology learning (OL) from unstructured data has evolved significantly, with recent advancements integrating large language models (LLMs) to enhance various aspects of the process. The paper introduces the LLMs4OL 2024 datasets, developed to benchmark and advance research in OL using LLMs. The LLMs4OL 2024 dataset as a key component of the LLMs4OL Challenge, targets three primary OL tasks: Term Typing, Taxonomy Discovery, and Non-Taxonomic Relation Extraction. It encompasses seven domains, i.e. lexosemantics and biological functions, offering a comprehensive resource for evaluating LLM-based OL approaches Each task within the dataset is carefully crafted to facilitate both Few-Shot (FS) and Zero-Shot (ZS) evaluation scenarios, allowing for robust assessment of model performance across different knowledge domains to address a critical gap in the field by offering standardized benchmarks for fair comparison for evaluating LLM applications in OL. ","The LLMs4OL 2024 dataset is introduced to benchmark ontology learning with large language models, covering three tasks (Term Typing, Taxonomy Discovery, and Non-Taxonomic Relation Extraction) across seven domains, facilitating Few-Shot and Zero-Shot evaluation scenarios."
"Phoenixes at LLMs4OL 2025 Task A: Ontology Learning With Large Language Models Reasoning","https://scispace.com/paper/phoenixes-at-llms4ol-2025-task-a-ontology-learning-with-uh7vnfv6rtur","2025","Proceedings Article","Open conference proceedings","Alireza Esmaeili Fridouni
Mahsa Sanaei
Alireza Esmaeili Fridouni
Mahsa Sanaei","10.52825/ocp.v6i.2888","https://scispace.compdf/phoenixes-at-llms4ol-2025-task-a-ontology-learning-with-uh7vnfv6rtur.pdf","Recent advances in large language models (LLMs) have demonstrated remarkable capabilities in various natural language understanding tasks, including Ontology Learning (OL), where they automatically or semi-automatically extract knowledge from unstructured data. This work presents our contribution to the LLMs4OL Challenge at the ISWC 2025 conference, focusing on Task A, which comprises two subtasks: term extraction (SubTask A1) and type extraction (SubTask A2). We evaluate three state-of-the-art LLMs — Qwen2.5-72B-Instruct, Mistral-Small-24B-Instruct-2501, and LLaMA-3.3-70B-Instruct — across three domain-specific datasets: Ecology, Scholarly, and Engineering. In this paper, we adopt a Chain-of-Thought (CoT) Few-Shot Prompting strategy to guide the models in identifying relevant domain terms and assigning their appropriate ontology types. CoT prompting enables LLMs to generate intermediate reasoning steps before producing final predictions, which is particularly beneficial for ontology learning tasks that require contextual reasoning beyond surface-level term matching. Model performance is evaluated using the official precision, recall, and F1-score metrics provided by the challenge organizers. The results reveal important insights into the strengths and limitations of LLMs in ontology learning tasks. ",""
"LLM-empowered knowledge graph construction: A survey","https://scispace.com/paper/llm-empowered-knowledge-graph-construction-a-survey-yddaqjvznj6g","2025","Journal Article","","","10.48550/arxiv.2510.20345","","Knowledge Graphs (KGs) have long served as a fundamental infrastructure for structured knowledge representation and reasoning. With the advent of Large Language Models (LLMs), the construction of KGs has entered a new paradigm-shifting from rule-based and statistical pipelines to language-driven and generative frameworks. This survey provides a comprehensive overview of recent progress in LLM-empowered knowledge graph construction, systematically analyzing how LLMs reshape the classical three-layered pipeline of ontology engineering, knowledge extraction, and knowledge fusion. We first revisit traditional KG methodologies to establish conceptual foundations, and then review emerging LLM-driven approaches from two complementary perspectives: schema-based paradigms, which emphasize structure, normalization, and consistency; and schema-free paradigms, which highlight flexibility, adaptability, and open discovery. Across each stage, we synthesize representative frameworks, analyze their technical mechanisms, and identify their limitations. Finally, the survey outlines key trends and future research directions, including KG-based reasoning for LLMs, dynamic knowledge memory for agentic systems, and multimodal KG construction. Through this systematic review, we aim to clarify the evolving interplay between LLMs and knowledge graphs, bridging symbolic knowledge engineering and neural semantic understanding toward the development of adaptive, explainable, and intelligent knowledge systems. ","This survey reviews recent progress in Large Language Model (LLM)-empowered knowledge graph construction, analyzing how LLMs reshape the classical pipeline of ontology engineering, knowledge extraction, and fusion, and outlining key trends and future research directions."
"OntoGPT: A framework for melding ontologies, knowledge bases, and large language models","https://scispace.com/paper/ontogpt-a-framework-for-melding-ontologies-knowledge-bases-4dxq2cq00y8n","2023","Repository","","Mungall Chris","10.5281/zenodo.7995861","","<em>Presentation from 19th Acubed &amp; Airbus Semantics Meetup, May 11th, 2023</em> <strong>Abstract</strong>: Scientists rely on biomedical knowledge bases such as the Gene Ontology in order to design experiments, predict outcomes, and interpret complex high-throughput molecular data. These knowledge bases contain complex assertions describing the contextual roles of genes in the functioning of cells and whole organisms. These assertions are acquired via painstaking curation from the biomedical literature. Automating the acquisition of these assertions is a hard problem requiring deep expertise to read and interpret scientific papers, and attempts to extract relationships via text mining have not reached a high enough level of accuracy to be deployed in production. Additionally, traditional text mining pipelines require extensive training data, and are typically not generalizable across different databases, or applicable in domains with complex semantic information models. The latest generation of Large Language Models (LLMs) such as GPT-3 and above have demonstrated exceptional general-purpose instruction following abilities, with a single model able to perform on a wide variety of tasks. However, these models lack grounding in knowledge bases, and are prone to hallucination. We have developed a framework called OntoGPT that brings together ontologies and LLMs. I will describe two tools that are part of OntoGPT (1) SPIRES, a tool for extracting semantic structures from text according to a user-specific knowledge schema specified using the LinkML framework, without training data. SPIRES is able to perform tasks such as scraping recipe websites to construct OWL ontologies grounded using classes from the Food Ontology, amenable to logical reasoning (2) SPINDOCTOR, a tool for interpreting genomics experiments. I will describe the strengths and limitations of LLMs for these applications, and potential avenues for future development. ",""
"LABKAG at LLMs4OL 2025 Tasks A and C: Context-Rich Prompting for Ontology Construction","https://scispace.com/paper/labkag-at-llms4ol-2025-tasks-a-and-c-context-rich-prompting-ohzor206hxmh","2025","Proceedings Article","Open conference proceedings","Xinyi Zhao
Kevin Drake
Yuya Sasaki
Hidetaka Hando
Xinyi Zhao
Kevin Drake
Yuya Sasaki
Hidetaka Hando","10.52825/ocp.v6i.2891","https://scispace.compdf/labkag-at-llms4ol-2025-tasks-a-and-c-context-rich-prompting-ohzor206hxmh.pdf","This paper presents LABKAG's submission to the LLMs4OL 2025 Challenge, focusing on ontology construction from domain-specific text using large language models (LLMs). Our core methodology prioritizes prompt design over fine-tuning or external knowledge, demonstrating its effectiveness in generating structured knowledge. For Task A (Text2Onto: extracting ontological terms and types), we utilized a locally deployed Qwen3-8B model, while for Task C (Taxonomy Discovery: identifying taxonomic hierarchies), we evaluated the performance of GPT-4o-mini and Gemini 2.5 Pro. Our experiments consistently show that incorporating in-domain examples and providing richer context within prompts significantly enhances performance. These results confirm that well-engineered prompts enable LLMs to effectively extract entities and their hierarchical relationships, offering a lightweight, adaptable, and generalizable approach to structured knowledge extraction. ","This paper presents LABKAG's LLMs4OL 2025 Challenge submission, demonstrating the effectiveness of context-rich prompting for ontology construction using large language models, with experiments showing improved performance with in-domain examples and richer context within prompts."
"Ontology Matching with Large Language Models and Prioritized Depth-First
  Search","https://scispace.com/paper/ontology-matching-with-large-language-models-and-prioritized-4u9c9jsbum9i","2025","Journal Article","","M. Taboada
Diego Rodríguez
Mohammed Arideh
Ricardo A. Mosquera","10.48550/arxiv.2501.11441","https://scispace.compdf/ontology-matching-with-large-language-models-and-prioritized-4u9c9jsbum9i.pdf","Ontology matching (OM) plays a key role in enabling data interoperability and knowledge sharing, but it remains challenging due to the need for large training datasets and limited vocabulary processing in machine learning approaches. Recently, methods based on Large Language Model (LLMs) have shown great promise in OM, particularly through the use of a retrieve-then-prompt pipeline. In this approach, relevant target entities are first retrieved and then used to prompt the LLM to predict the final matches. Despite their potential, these systems still present limited performance and high computational overhead. To address these issues, we introduce MILA, a novel approach that embeds a retrieve-identify-prompt pipeline within a prioritized depth-first search (PDFS) strategy. This approach efficiently identifies a large number of semantic correspondences with high accuracy, limiting LLM requests to only the most borderline cases. We evaluated MILA using the biomedical challenge proposed in the 2023 and 2024 editions of the Ontology Alignment Evaluation Initiative. Our method achieved the highest F-Measure in four of the five unsupervised tasks, outperforming state-of-the-art OM systems by up to 17%. It also performed better than or comparable to the leading supervised OM systems. MILA further exhibited task-agnostic performance, remaining stable across all tasks and settings, while significantly reducing LLM requests. These findings highlight that high-performance LLM-based OM can be achieved through a combination of programmed (PDFS), learned (embedding vectors), and prompting-based heuristics, without the need of domain-specific heuristics or fine-tuning. ","This paper introduces MILA, a novel ontology matching approach combining Large Language Models with prioritized depth-first search, achieving high accuracy and reducing computational overhead, outperforming state-of-the-art systems by up to 17% in unsupervised tasks."
"Ouroboros: Advancements in Recursive Reinforcement Learning for LLM Alignment (2022–2025)","https://scispace.com/paper/ouroboros-advancements-in-recursive-reinforcement-learning-p1gha4vwkpu5","2025","Journal Article","","","10.5281/zenodo.17074536","","Large Language Models (LLMs) typically rely on Reinforcement Learning from Human Feedback (RLHF) or direct preference optimization to align generated text with human values. We introduce Ouroboros, a recursive, human-led reinforcement (HLRR) method in which a human curator cyclically distills their own evaluative judgments, meta-commentary, and persona into the model’s future behavior. Unlike conventional RLHF—which treats human feedback as a static reward signal—Ouroboros closes the loop between model and supervisor: each model generation is archived, summarized, and syntactically “stretched” into labyrinthine prompts that probe the model’s reasoning limits; the resulting conversation is then scored and rewritten by the same human, producing richer signals that simultaneously assess content, self-consistency, and identity coherence. ","Researchers introduce Ouroboros, a recursive reinforcement learning method that closes the loop between human feedback and model behavior, using human evaluative judgments to distill and refine the model's generated text, promoting alignment with human values."
"SBU-NLP at LLMs4OL 2025 Tasks A, B, and C: Stage-Wise Ontology Construction Through LLMs Without any Training Procedure","https://scispace.com/paper/sbu-nlp-at-llms4ol-2025-tasks-a-b-and-c-stage-wise-ontology-1xwl7gop49ih","2025","Proceedings Article","Open conference proceedings","Rashin Rahnamoun
Mehrnoush Shamsfard
Rashin Rahnamoun
Mehrnoush Shamsfard","10.52825/ocp.v6i.2887","https://scispace.compdf/sbu-nlp-at-llms4ol-2025-tasks-a-b-and-c-stage-wise-ontology-1xwl7gop49ih.pdf","Automated ontology construction is a challenging task that traditionally requires extensive domain expertise, data preprocessing, and resource-intensive model training. While learning-based methods with fine-tuning are common, they often suffer from high computational costs and limited generalizability across domains. This paper explores a fully automated approach that leverages powerful large language models (LLMs) through prompt engineering, eliminating the need for training or fine-tuning. We participated in the LLMs4OL 2025 shared task, which includes four subtasks: extracting ontological terms and types (Text2Onto), assigning generalized types to terms (Term Typing), discovering taxonomic relations (Taxonomy Discovery), and extracting non-taxonomic semantic relations (Non-Taxonomic Relation Extraction). Our team focused on the first three tasks by using stratified random sampling, simple random sampling, and chunking-based strategies to include training sets in the prompts without limitations imposed by context window sizes. This simple yet general approach has proven effective across these tasks, enabling high-quality ontology construction without additional annotations or training. Additionally, we show that pretrained sentence embedding models ranging from 0.1B to 1.5B parameters perform comparably to a simple F1 token overlap baseline in taxonomy discovery, suggesting that embedding-based methods may not always offer significant advantages. Our findings highlight that prompt-based strategies with modern LLMs enable efficient, scalable, and domain-independent ontology construction, providing a promising alternative to traditional, resource-heavy methods. ",""
"silp_nlp at LLMs4OL 2025 Tasks A, B, C, and D: Clustering-Based Ontology Learning Using LLMs","https://scispace.com/paper/silp-nlp-at-llms4ol-2025-tasks-a-b-c-and-d-clustering-based-2uq3ydbh3jhc","2025","Proceedings Article","Open conference proceedings","Pankaj Kumar Goyal
Sumit Singh
Uma Shanker Tiwary
Pankaj Kumar Goyal
Sumit Singh
Uma Shanker Tiwary","10.52825/ocp.v6i.2900","https://scispace.compdf/silp-nlp-at-llms4ol-2025-tasks-a-b-c-and-d-clustering-based-2uq3ydbh3jhc.pdf","This paper presents the participation of the silp\_nlp team in the LLMs4OL 2025 Challenge, where we addressed four core tasks in ontology learning: Text2Onto (Task A), Term Typing (Task B), Taxonomy Discovery (Task C), and Non-Taxonomic Relation Extraction (Task D). Building on our experience from the first edition, we proposed a clustering-enhanced methodology grounded in large language models (LLMs), integrating domain-adapted transformer models such as pranav-s/MaterialsBERT, dmis-lab/biobert-v1.1, and proprietary LLMs from Grok. Our framework combined lexical and semantic clustering with adaptive prompting to tackle entity and type extraction, semantic classification, hierarchical structure discovery, and complex relation modeling. Experimental results across 18 subtasks highlight the strength of our approach, particularly in blind and zero-shot scenarios. Notably, our model achieved multiple first-rank scores in taxonomy discovery and non-taxonomic relation extraction subtasks, validating the efficacy of clustering when coupled with semantically specialized LLMs. This work demonstrates that clustering-driven, LLM-based approaches can advance robust and scalable ontology learning across diverse domains. ","The silp_nlp team presents a clustering-based ontology learning framework using large language models (LLMs), achieving top scores in 18 subtasks, particularly in taxonomy discovery and non-taxonomic relation extraction, with a focus on robust and scalable ontology learning across diverse domains."
