"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"OntoSpreadEd: Developing Ontologies with a Dedicated Online Template Spreadsheet Editor","https://scispace.com/paper/ontospreaded-developing-ontologies-with-a-dedicated-online-8x92zacx9dq0","2025","Journal Article","Wellcome open research","Björn Gehrke
Maya Braun
Paulina Schenk
Robert West
Susan Michie
Janna Hastings","10.12688/wellcomeopenres.24408.1","","<ns7:p>Background Ontologies are machine-readable representations of knowledge that can accelerate research across various disciplines. To build ontologies, domain scientists must formally capture their knowledge of their domains in structured forms. However, existing ontology editing tools are often built for ontologists or other technical experts who are familiar with the underlying Web Ontology Language (OWL) and are comfortable working with technically dense interfaces, or even without a visual interface. The resulting technically oriented tools create barriers to adoption and use by nontechnical domain experts. Methods To address this challenge, we present the Ontology Spreadsheet Editor (OntoSpreadEd), a web-based spreadsheet-like editor for ontologies that aims to make ontology development more efficient and accessible to a wide range of users. OntoSpreadEd is a web application that utilizes GitHub as a central version control platform, allowing users to create, edit and review ontologies using a familiar spreadsheet interface. The editor features a range of useful features, including autocomplete, validation and searching, to facilitate the development process. Conclusion OntoSpreadEd offers an accessible approach to ontology development that can help bridge the gap between researchers and ontology editors, accelerating the adoption of ontologies across diverse research fields.</ns7:p> ","OntoSpreadEd, a web-based spreadsheet editor, facilitates ontology development for non-technical domain experts, utilizing GitHub for version control and featuring autocomplete, validation, and searching to accelerate ontology adoption across diverse research fields."
"Ontology specific visual canvas generation to facilitate sense-making – an algorithmic approach","https://scispace.com/paper/ontology-specific-visual-canvas-generation-to-facilitate-7adsi7o5","2022","Journal Article","International Journal of Electrical and Computer Engineering","","","","Visualization is a critical necessity for ontological sense-making. This is very important for both ontologists as well as domain specialists. Domain specialists being, non-computing specialists like lawyers, medical doctors, farmers, agricultural specialists cannot tackle complex visualization representations, which is beyond their expertise. But, the involvement of the domain specialists is very critical for the verification of the ontology increments under construction. The majority of the existing visualization IDEs on ontology construction are not fine-tuned to assist the technical hurdles faced by non-computing domain specialists. This research investigates that aspect and proposed a new algorithm and a  visualization canvas that can resolve several of the critical problems faced by domain specialists. The proposed algorithm and the canvas has been tested for their efficacy on three distinct domains. Test results were quantitatively and qualitatively assessed and the outcomes were satisfactory ","In this article , the authors proposed a new algorithm and a visualization canvas that can resolve several of the critical problems faced by domain specialists in ontology verification, which is very important for both ontologists as well as domain specialists."
"OntView: What you See is What you Meant","https://scispace.com/paper/ontview-what-you-see-is-what-you-meant-oohs1ffy39zl","2025","Journal Article","arXiv.org","Carlos Bobed
Carlota Quintana
Eduardo Mena
Jorge Bobed
Fernando Bobillo","10.48550/arxiv.2507.13759","","In the field of knowledge management and computer science, ontologies provide a structured framework for modeling domain-specific knowledge by defining concepts and their relationships. However, the lack of tools that provide effective visualization is still a significant challenge. While numerous ontology editors and viewers exist, most of them fail to graphically represent ontology structures in a meaningful and non-overwhelming way, limiting users'ability to comprehend dependencies and properties within large ontological frameworks. In this paper, we present OntView, an ontology viewer that is designed to provide users with an intuitive visual representation of ontology concepts and their formal definitions through a user-friendly interface. Building on the use of a DL reasoner, OntView follows a""What you see is what you meant""paradigm, showing the actual inferred knowledge. One key aspect for this is its ability to visualize General Concept Inclusions (GCI), a feature absent in existing visualization tools. Moreover, to avoid a possible information overload, OntView also offers different ways to show a simplified view of the ontology by: 1) creating ontology summaries by assessing the importance of the concepts (according to different available algorithms), 2) focusing the visualization on the existing TBox elements between two given classes and 3) allowing to hide/show different branches in a dynamic way without losing the semantics. OntView has been released with an open-source license for the whole community.","OntView is an ontology viewer that provides an intuitive visual representation of ontology concepts and their formal definitions, utilizing a DL reasoner to show inferred knowledge and offering features to simplify complex ontology structures and avoid information overload."
"OntoPlot: A Novel Visualisation for Non-hierarchical Associations in Large Ontologies","https://scispace.com/paper/ontoplot-a-novel-visualisation-for-non-hierarchical-5eym1sx0e5q1","2022","Repository","","Yang Ying
Wybrow, Michael
Li, Yuan-Fang
Czauderna, Tobias
He, Yongqun","10.48550/arxiv.1908.00688","","Ontologies are formal representations of concepts and complex relationships among them. They have been widely used to capture comprehensive domain knowledge in areas such as biology and medicine, where large and complex ontologies can contain hundreds of thousands of concepts. Especially due to the large size of ontologies, visualisation is useful for authoring, exploring and understanding their underlying data. Existing ontology visualisation tools generally focus on the hierarchical structure, giving much less emphasis to non-hierarchical associations. In this paper we present OntoPlot, a novel visualisation specifically designed to facilitate the exploration of all concept associations whilst still showing an ontology's large hierarchical structure. This hybrid visualisation combines icicle plots, visual compression techniques and interactivity, improving space-efficiency and reducing visual structural complexity. We conducted a user study with domain experts to evaluate the usability of OntoPlot, comparing it with the de facto ontology editor Prot{é}g{é}. The results confirm that OntoPlot attains our design goals for association-related tasks and is strongly favoured by domain experts. ",""
"Fuzzy Ontology Embeddings and Visual Query Building for Ontology Exploration","https://scispace.com/paper/fuzzy-ontology-embeddings-and-visual-query-building-for-tj24jkd9i90c","2025","Journal Article","arXiv.org","Vladimir Zhurov
John Kausch
Kamran Sedig
Mostafa Milani","10.48550/arxiv.2508.08128","https://scispace.compdf/fuzzy-ontology-embeddings-and-visual-query-building-for-tj24jkd9i90c.pdf","Ontologies play a central role in structuring knowledge across domains, supporting tasks such as reasoning, data integration, and semantic search. However, their large size and complexity, particularly in fields such as biomedicine, computational biology, law, and engineering, make them difficult for non-experts to navigate. Formal query languages such as SPARQL offer expressive access but require users to understand the ontology's structure and syntax. In contrast, visual exploration tools and basic keyword-based search interfaces are easier to use but often lack flexibility and expressiveness. We introduce FuzzyVis, a proof-of-concept system that enables intuitive and expressive exploration of complex ontologies. FuzzyVis integrates two key components: a fuzzy logic-based querying model built on fuzzy ontology embeddings, and an interactive visual interface for building and interpreting queries. Users can construct new composite concepts by selecting and combining existing ontology concepts using logical operators such as conjunction, disjunction, and negation. These composite concepts are matched against the ontology using fuzzy membership-based embeddings, which capture degrees of membership and support approximate, concept-level similarity search. The visual interface supports browsing, query composition, and partial search without requiring formal syntax. By combining fuzzy semantics with embedding-based reasoning, FuzzyVis enables flexible interpretation, efficient computation, and exploratory learning. Case studies demonstrate how FuzzyVis supports subtle information needs and helps users uncover relevant concepts in large, complex ontologies.","FuzzyVis, a system for ontology exploration, integrates fuzzy logic-based querying and interactive visual interfaces to enable non-experts to navigate complex ontologies, supporting flexible interpretation, efficient computation, and exploratory learning through fuzzy membership-based embeddings."
"Foundations for a Generic Ontology for Visualization: A Comprehensive Survey","https://scispace.com/paper/foundations-for-a-generic-ontology-for-visualization-a-ubtjl4zk635q","2025","Journal Article","Information","Suzana Loshkovska
Panče Panov","10.3390/info16100915","","This paper surveys existing ontologies for visualization, which formally define and organize knowledge about visualization concepts, techniques, and tools. Although visualization is a mature field, the rapid growth of data complexity makes semantically rich frameworks increasingly essential for building intelligent and automated visualization systems. Current ontologies remain fragmented, heterogeneous, and inconsistent in terminology and modeling strategies, limiting their coverage and adoption. We present a systematic analysis of representative ontologies, highlighting shared themes and, most importantly, the gaps that hinder unification. These gaps provide the foundations for developing a comprehensive, generic ontology of visualization, aimed at unifying core concepts and supporting reuse across research and practice. ",""
"Ontoflow: A User-Friendly Ontology Development Workflow","https://scispace.com/paper/ontoflow-a-user-friendly-ontology-development-workflow-1asyai9y","","Journal Article","","Gordian Dziwis
Lisa Wenige
Lars-Erik Meyer
Michael J. Martin","","","For many years, the development of widely applicable and high-quality ontologies has been an ongoing research topic. Among the various challenges, the lack of integrated development environments for non-technical domain experts has been one of the most pressing research issues. But while the participation of domain experts is vital for the applicability of ontologies, there are hardly any software tools available that facilitate their active engagement. We present a solution that addresses this research gap by automating the ontology development process with the help of a workflow engine. We define a pipeline that facilitates ontology implementation, serialization, documentation and testing within the scope of a seamless automatic routine that can be easily set up by the ontology engineer and triggered by a non-technical domain expert. Thus, the processing pipeline takes care of most of the operations that usually have to be carried out by an ontology or software engineer. We demonstrate the applicability of the approach by developing an ontology with OntoFlow and validating its functioning with a large-scale ontology dataset from Linked Open Vocabularies (LOV).","In this article , the authors present a pipeline that facilitates ontology implementation, serialization, documentation and testing within the scope of a seamless automatic routine that can be easily set up by the ontology engineer and triggered by a non-technical domain expert."
"VocPub Editor: A Free and Intuitive Browser Vocabulary Management Tool","https://scispace.com/paper/vocpub-editor-a-free-and-intuitive-browser-vocabulary-wgedrppsb8im","2025","Repository","","","10.5281/zenodo.15293579","","The use of controlled vocabularies in the eResearch sector is crucial for enhancing data discovery, integration, and interoperability across diverse datasets and systems. Despite the availability of software to edit and maintain these vocabularies, current solutions often require complex self-management of web servers or the use of sometimes very expensive paid services. Many tools, although built on the Simple Knowledge Organisation Standard (SKOS) data standard, enforce arbitrary and non-contributory rules. In recent times, platforms like GitHub have been favoured for their low barrier to entry and flexibility in managing vocabularies as RDF textual data files. However, this style of management requires a deep understanding of the Resource Description Framework (RDF) and specialised technical expertise to create and enforce publication rules using the GitHub platform, making manual editing of the data files both cumbersome and error-prone. VocPub Editor addresses these challenges as a free, user-friendly, browser-based tool designed to streamline the vocabulary management process. It uses the VocPub specification which is a vocabulary publication standard which enforces simple rules for vocabulary metadata and structure. By adhering to VocPub, it ensures that each vocabulary edit is publication-ready, eliminating the need for intricate technical knowledge and manual RDF editing. VocPub Editor empowers editors to manage their vocabularies effortlessly while maintaining SKOS best practices. This significantly enhances management efficiency as well as collaboration. All this will hopefully lower the barrier to vocabulary adoption in the eResearch community. ","VocPub Editor is a free, browser-based tool that streamlines vocabulary management, adhering to the VocPub specification and SKOS best practices, eliminating the need for technical expertise and manual RDF editing, enhancing management efficiency and collaboration in the eResearch community."
"HO2IEV: Heavyweight Ontology based web Information Extraction Technique for Visionless Users","https://scispace.com/paper/ho2iev-heavyweight-ontology-based-web-information-extraction-eciwk6v6l2ox","2022","Repository","","Fareedi, Abid Ali","10.5281/zenodo.6324304","","As the internet grows rapidly, millions of web pages are being added on a daily basis. The extraction of precise information is becoming more and more difficult as the volume of data on the internet increases. Several search engines and information fetching tools are available on the internet, all of which claim to provide the best crawling facilities. For the most part, these search engines are keyword based. This poses a problem for visually impaired people who want to get the full use from online resources available to other users. Visually impaired users require special aid to get along with any given computer system. Interface and content management are no exception, and special tools are required to facilitate the extraction of relevant information from the internet for visually impaired users. The HO2IEV (Heavyweight Ontology Based Information Extraction for Visually impaired User) architecture provides a mechanism for highly precise information extraction using heavyweight ontology and built-in vocal command system for visually impaired internet users. Our prototype intelligent system not only integrates and communicates among different tools, such as voice command parsers, domain ontology extractors and short message engines, but also introduces an autonomous mechanism of information extraction (hereafter referred to as IE) using heavyweight ontology. In this paper we designed domain specific heavyweight ontology using OWL (Web Ontology Language) for ontology modeling and PAL (Protégé Axiom Language) for axiom writing. We introduced a novel autonomous mechanism for IE by developing prototype software. A series of experiments were designed for the testing and analysis of the performance of heavyweight ontology in general, and our information extraction prototype specifically. ","This paper presents HO2IEV, a heavyweight ontology-based web information extraction technique for visually impaired users, utilizing a vocal command system and integrating tools for precise information extraction, with a novel autonomous mechanism and domain-specific ontology modeling."
"SKATEBOARD: Semantic Knowledge Advanced Tool for Extraction, Browsing, Organisation, Annotation, Retrieval, and Discovery","https://scispace.com/paper/skateboard-semantic-knowledge-advanced-tool-for-extraction-51y9zc3px4","2023","Journal Article","Applied Sciences","Eleonora Bernasconi
Davide Di Pierro
Domenico Redavid
Stefano Ferilli","10.3390/app132111782","","This paper introduces Semantic Knowledge Advanced Tool for Extraction Browsing Organisation Annotation Retrieval and Discovery (SKATEBOARD), a tool designed to facilitate knowledge exploration through the application of semantic technologies. The demand for advanced solutions that streamline Knowledge Extraction, management, and visualisation, characterised by abundant information, has grown substantially in the current era. Graph-based representations have emerged as a robust approach for uncovering intricate data relationships, complementing the capabilities offered by AI models. Acknowledging the transparency and user control challenges faced by AI-driven solutions, SKATEBOARD offers a comprehensive framework encompassing Knowledge Extraction, ontology development, management, and interactive exploration. By adhering to Linked Data principles and adopting graph-based exploration, SKATEBOARD provides users with a clear view of data relationships and dependencies. Furthermore, it integrates recommendation systems and reasoning capabilities to augment the knowledge discovery process, thus introducing a serendipity effect generated by the SKATEBOARD interface exploration. This paper elucidates SKATEBOARD’s functionalities while emphasising its user-centric design. After reviewing related research, we provide an overview of the SKATEBOARD pipeline, demonstrating its capacity to bridge RDF and LPG representations. Subsequent sections delve into Knowledge Extraction and exploration, culminating in the evaluation of the tool. SKATEBOARD empowers users to make informed decisions and uncover valuable insights within their data domains, with the added dimension of serendipitous discoveries facilitated by its interface exploration capabilities.","SKATEBOARD empowers users to make informed decisions and uncover valuable insights within their data domains, with the added dimension of serendipitous discoveries facilitated by its interface exploration capabilities."
"Towards Self-explanatory Ontology Visualization with Contextual Verbalization","https://scispace.com/paper/towards-self-explanatory-ontology-visualization-with-kfju78l7g4dy","2022","Repository","","Grūzītis, Normunds
Čerāns, Kārlis
Celms Edgars","10.48550/arxiv.1607.01490","","Ontologies are one of the core foundations of the Semantic Web. To participate in Semantic Web projects, domain experts need to be able to understand the ontologies involved. Visual notations can provide an overview of the ontology and help users to understand the connections among entities. However, the users first need to learn the visual notation before they can interpret it correctly. Controlled natural language representation would be readable right away and might be preferred in case of complex axioms, however, the structure of the ontology would remain less apparent. We propose to combine ontology visualizations with contextual ontology verbalizations of selected ontology (diagram) elements, displaying controlled natural language (CNL) explanations of OWL axioms corresponding to the selected visual notation elements. Thus, the domain experts will benefit from both the high-level overview provided by the graphical notation and the detailed textual explanations of particular elements in the diagram. ",""
"Ontology specific visual canvas generation to facilitate sense-making-an algorithmic approach","https://scispace.com/paper/ontology-specific-visual-canvas-generation-to-facilitate-2c8gu5ul","2022","Journal Article","International Journal of Electrical and Computer Engineering","Kaneeka Vidanage
Noor Maizura Mohamad Noor
Rosmayati Mohemad
Z. Abu Bakar","10.11591/ijece.v12i2.pp1818-1830","","Ontologies are domain-specific conceptualizations that are both human and machine-readable. Due to this remarkable attribute of ontologies, its applications are not limited to computing domains. Banking, medicine, agriculture, and law are a few of the non-computing domains, where ontologies are being used very effectively. When creating ontologies for non-computing domains, involvement of the non-computing domain specialists like bankers, lawyers, farmers become very vital. Hence, they are not semantic specialists, particularly designed visualization assistance is required for the ontology schema verifications and sense-making. Existing visualization methods are not fine-tuned for non-technical domain specialists and there are lots of complexities. In this research, a novel algorithm capable of generating domain specialists’ friendlier visualization canvas has been explored. This proposed algorithm and the visualization canvas has been tested for three different domains and overall success of 85% has been yielded.","A novel algorithm capable of generating domain specialists’ friendlier visualization canvas has been explored and overall success of 85% has been yielded."
"Onto4AllEditor: um editor web gráfico para construção de ontologias por todos os tipos de usuários da informação","https://scispace.com/paper/onto4alleditor-um-editor-web-grafico-para-construcao-de-vbe03njugeli","2024","Repository","","Fabrício Martins Mendonça
Lucas Piazzi de Castro
Jairo Francisco de Souza
Maurício Barcellos Almeida
Eduardo Ribeiro Felipe","10.60692/pcs74-dbj55","","Ontologias são artefatos de representação do conhecimento utilizados no âmbito da Ciência da Informação, principalmente no campo da Organização do Conhecimento, bem como em áreas relacionadas. Mesmo que o tema já venha sendo disseminado há mais de duas décadas, a construção de ontologias ainda traz desafios para profissionais, pesquisadores e estudantes da Ciência da Informação. Tais desafios estão relacionados, principalmente, ao jargão lógicofilosófico necessário, a etapa formalização de conhecimento e a complexidade dos editores disponíveis, voltados para a computação. A presente pesquisa objetiva trazer uma alternativa a tais desafios. Apresenta-se aqui o Onto4AllEditor, um editor de ontologias gráfico, colaborativo e baseado na Web, que inclui recursos simples e intuitivos. Baseado na metodologia OntoForInfoScience, o editor foi planejado para facilitar o trabalho de usuários com níveis de experiência variados, objetivando popularizar a construção de ontologias. O artigo debate as limitações dos editores populares disponíveis e os compara ao que é oferecido pelo Onto4AllEditor. Conclui-se que o Onto4AllEditor, mesmo que já inclua recursos avançados, facilita a construção de ontologias, em particular, para aqueles usuários que estão iniciando nesse tipo de atividade. ",""
"Onto4AllEditor: um editor web gráfico para construção de ontologias por todos os tipos de usuários da informação","https://scispace.com/paper/onto4alleditor-um-editor-web-grafico-para-construcao-de-4ubc1iexl5on","2024","Repository","","Fabrício Martins Mendonça
Lucas Piazzi de Castro
Jairo Francisco de Souza
Maurício Barcellos Almeida
Eduardo Ribeiro Felipe","10.60692/0s19j-b8254","","Ontologias são artefatos de representação do conhecimento utilizados no âmbito da Ciência da Informação, principalmente no campo da Organização do Conhecimento, bem como em áreas relacionadas. Mesmo que o tema já venha sendo disseminado há mais de duas décadas, a construção de ontologias ainda traz desafios para profissionais, pesquisadores e estudantes da Ciência da Informação. Tais desafios estão relacionados, principalmente, ao jargão lógicofilosófico necessário, a etapa formalização de conhecimento e a complexidade dos editores disponíveis, voltados para a computação. A presente pesquisa objetiva trazer uma alternativa a tais desafios. Apresenta-se aqui o Onto4AllEditor, um editor de ontologias gráfico, colaborativo e baseado na Web, que inclui recursos simples e intuitivos. Baseado na metodologia OntoForInfoScience, o editor foi planejado para facilitar o trabalho de usuários com níveis de experiência variados, objetivando popularizar a construção de ontologias. O artigo debate as limitações dos editores populares disponíveis e os compara ao que é oferecido pelo Onto4AllEditor. Conclui-se que o Onto4AllEditor, mesmo que já inclua recursos avançados, facilita a construção de ontologias, em particular, para aqueles usuários que estão iniciando nesse tipo de atividade. ",""
"OntoTrek: 3D visualization of application ontology class hierarchies","https://scispace.com/paper/ontotrek-3d-visualization-of-application-ontology-class-le4bcpd3","2023","Journal Article","PLOS ONE","Damion M. Dooley
William C. Hsiao","10.1371/journal.pone.0286728","https://scispace.com/pdf/ontotrek-3d-visualization-of-application-ontology-class-le4bcpd3.pdf","An application ontology often reuses terms from other related, compatible ontologies. The extent of this interconnectedness is not readily apparent when browsing through larger textual presentations of term class hierarchies, be it Manchester text format OWL files or within an ontology editor like Protege. Users must either note ontology sources in term identifiers, or look at ontology import file term origins. Diagrammatically, this same information may be easier to perceive in 2 dimensional network or hierarchical graphs that visually code ontology term origins. However, humans, having stereoscopic vision and navigational acuity around colored and textured shapes, should benefit even more from a coherent 3-dimensional interactive visualization of ontology that takes advantage of perspective to offer both foreground focus on content and a stable background context. We present OntoTrek, a 3D ontology visualizer that enables ontology stakeholders—students, software developers, curation teams, and funders—to recognize the presence of imported terms and their domains, ultimately illustrating how projects can capture knowledge through a vocabulary of interwoven community-supported ontology resources.","OntoTrek as discussed by the authors is a 3D ontology visualizer that enables ontology stakeholders to recognize the presence of imported terms and their domains, ultimately illustrating how projects can capture knowledge through a vocabulary of interwoven community-supported ontology resources."
"An Open-Source Web-Based OWL Ontology Editing and Browsing Tool: Swoop","https://scispace.com/paper/an-open-source-web-based-owl-ontology-editing-and-browsing-t2i4bjfx","2022","Book Chapter","","V. B. Narasimha
B K Sujatha
Sriramula Nagaprasad","10.1201/9781003048367-33","","After the evolution of the semantic web and its supporting technologies, ontologies have recently received popularity in the area of knowledge management and knowledge sharing. They basically interlace the human understanding of symbols with their machine processability. To facilitate knowledge sharing and re-usage of information,ontologies were developed in artificial intelligence (AI). Ontology has become common in the fields of cooperative information systems and information retrieval, intelligent information integration, knowledge management, and electronic commerce. A variety of tools is available for the purpose of ontology, some are licensed tools, and the rest are open source tools. Each tool is specialized in their own way. For performing diverse tasks different set of people use different ontology building/management tools. One such used hypermedia inspired ontology browser and editor-based OWL tool is Swoop. This chapter describes the efficiency of using Swoop tool for ontology development which is indeed a main technique used in the semantic web searching process. ","In this paper , the authors describe the efficiency of using Swoop tool for ontology development which is indeed a main technique used in the semantic web searching process and describe the usage of ontology building/management tools."
"Ontology visualization protégé tools – a review","https://scispace.com/paper/ontology-visualization-protege-tools-a-review-h1mdcg8ifhvx","2022","Repository","","R. Sivakumar1  and P.V. Arivoli2","10.5281/zenodo.7040774","","Protégé is one of the most popular tools of the ontology visualization. The “Protégé” tools are being applied for further development in various disciplines for better understanding of knowledge. These tools commonly use four methods of ontology visualization, namely, indented list, node-link and tree, zoomable, and focus+context. The purpose of this work is to present a study on application of these four methods in the development of different kinds of protégé visualization tools and categorize their characteristics and features so that it assists in method selection and promotes further future research in the area of ontology visualization. ",""
