"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Enhancing Explainable Recommender Systems through Automated Ontology Population and Data Provenance Assurance","https://scispace.com/paper/enhancing-explainable-recommender-systems-through-automated-vl1n9ogtont0","2024","Repository","","","10.5281/zenodo.14057363","","This work proposes an approach to automate ontology population, addressing challenges in scalability and generalizability that limit many domain-specific solutions. By leveraging feature selection techniques and the rich, structured datasets of the Web of Data, this method enhances ontology population for applications in the Semantic Web. A primary focus is on explainable recommender systems, where ontologies support transparency and user trust by providing explanations for recommendations and ensuring data provenance. In response to emerging needs for explainable AI, such as those mandated by the EU's GDPR, this study explores how ontologies can improve recommendation systems and support compliance. Key contributions include a comprehensive literature review on ontology-based explainable recommendation, a novel technique for ontology population, and mechanisms for data provenance assurance. ",""
"CUET_Zenith at LLMs4OL 2025 Task C: Hybrid Embedding-LLM Architectures for Taxonomy Discovery","https://scispace.com/paper/cuet-zenith-at-llms4ol-2025-task-c-hybrid-embedding-llm-hvuajwa2eicp","2025","Proceedings Article","Open conference proceedings","Rehenuma Ilman
Mehreen Rahman
Samia Rahman
Rehenuma Ilman
Mehreen Rahman
Samia Rahman","10.52825/ocp.v6i.2896","https://scispace.compdf/cuet-zenith-at-llms4ol-2025-task-c-hybrid-embedding-llm-hvuajwa2eicp.pdf","Taxonomy discovery, the identification of hierarchical relationships within ontological structures, constitutes a foundational challenge in ontology learning. Our submission to the LLMs4OL 2025 challenge, employing hybrid architectures to address this task across both biomedical (Subtask C1: OBI) and general-purpose (Subtask C5: SchemaOrg) knowledge domains. For C1, we have integrated semantic clustering of Sentence-BERT embeddings with few-shot prompting using Qwen-3 (14B), enabling domain-specific hierarchy induction without task-specific fine-tuning. For C5, we have introduced a cascaded validation framework, harmonizing deep semantic representations from sentence transformer {all-mpnet-base-v2}, ensemble classification via XGBoost, and a hierarchical LLM-based reasoning pipeline utilizing TinyLlama and GPT-4o. To address inherent class imbalances, we have employed SMOTE-based augmentation and gated inference thresholds. Empirical results demonstrate that our hybrid methodology achieves competitive performance, confirming that the judicious integration of classical machine learning with large language models yields efficient and scalable solutions for ontology structure induction. Code implementations are publicly available. ",""
"Zero-Shot On-the-Fly Event Schema Induction","https://scispace.com/paper/zero-shot-on-the-fly-event-schema-induction-1bz5yvx5","2022","Posted Content","","","10.48550/arxiv.2210.06254","https://scispace.com/pdf/zero-shot-on-the-fly-event-schema-induction-1bz5yvx5.pdf","What are the events involved in a pandemic outbreak? What steps should be taken when planning a wedding? The answers to these questions can be found by collecting many documents on the complex event of interest, extracting relevant information, and analyzing it. We present a new approach in which large language models are utilized to generate source documents that allow predicting, given a high-level event definition, the specific events, arguments, and relations between them to construct a schema that describes the complex event in its entirety. Using our model, complete schemas on any topic can be generated on-the-fly without any manual data collection, i.e., in a zero-shot manner. Moreover, we develop efficient methods to extract pertinent information from texts and demonstrate in a series of experiments that these schemas are considered to be more complete than human-curated ones in the majority of examined scenarios. Finally, we show that this framework is comparable in performance with previous supervised schema induction methods that rely on collecting real texts while being more general and flexible without the need for a predefined ontology. ","In this article , large language models are utilized to generate source documents that allow predicting, given a high-level event definition, the specific events, arguments, and relations between them to construct a schema that describes the complex event in its entirety."
"The Integration of Artificial Intelligence and Ontologies: Transformations in Knowledge Representation and Application","https://scispace.com/paper/the-integration-of-artificial-intelligence-and-ontologies-mo5drgohsaga","2025","Journal Article","Proceedings from North American Symposium on Knowledge Organization","Giuseppe Serratore
Julaine Clunis","10.7152/nasko.v7i1.95643","","Artificial Intelligence (AI) is reshaping the landscape of knowledge representation. There is an increasingly strong bidirectional relationship, between AI techniques and ontologies. AI techniques revolutionized traditional, manual ontology development and contribute to automated ontology construction, while ontologies enhance the performance of AI systems and their semantic accuracy. Through a comprehensive review of current literature, this paper aims to examine: i) how Machine Learning (ML) techniques contribute to the automated construction, refinement, and validation of ontologies; ii) the most widely used and effective ML approaches for ontology construction; iii) how domain-specific requirements influence the selection and adaptation of AI techniques for building and applying ontologies; iv) how ontologies enhance the interpretability, explainability, and reliability of AI. This overview highlights the integration between AI and ontology engineering across different domains and indicates that so far successful AI-ontology integration typically follows a collaborative model, in which AI acts as an intelligent assistant to human experts, combining computational efficiency with critical domain knowledge. Ethical concerns, such as bias and hallucinations, remain pressing challenges that require standardized frameworks and careful considerations. However, this reciprocal relationship between AI and ontologies points to the development of more dynamic, adaptive, and complete ontologies. ","This paper reviews the integration of Artificial Intelligence (AI) and ontologies, examining how AI techniques contribute to automated ontology construction, refinement, and validation, and how ontologies enhance AI system performance and semantic accuracy."
"Which is better? Taxonomy induction with learning the optimal structure via contrastive learning","https://scispace.com/paper/which-is-better-taxonomy-induction-with-learning-the-optimal-4xob4qgepdir","2024","Journal Article","Knowledge Based Systems","Meng Yuan
Songlin Zhai
Zhihua Chai
Yuxin Zhang
Tianxing Wu
Guilin Qi
Wei Song","10.1016/j.knosys.2024.112405","","A taxonomy represents a hierarchically structured knowledge graph that forms the infrastructure for various downstream applications, including recommender systems, web search, and question answering. The exploration of automated induction from text corpora has yielded notable taxonomies such as CN-probase, CN-DBpedia, and Zhishi.schema. Despite these efforts, existing taxonomies still face two critical issues that result in sub-optimal hierarchical structures. On the one hand, commonly observed taxonomies exhibit a coarse-grained and ""flat"" structure, stemming from a noticeable lack of diversity in both nodes and edges. This limitation primarily originates from the biased and homogeneous data distribution. On the other hand, the semantic granularity among ""siblings"" within these taxonomies remains inconsistent, presenting a challenge in accurately and comprehensively identifying hierarchical relations. To address these issues, this study introduces a novel taxonomy induction framework composed of three meticulously designed components. Initially, we established a seed schema by leveraging statistical information from external data sources as distant supervision to append nodes and edges containing ""generic semantics"", thereby rectifying biased data distributions. Subsequently, a clustering algorithm is employed to group the nodes based on their similarities, followed by a refinement operation of the hierarchical relations among these nodes. Building on this seed schema, we propose a fine-grained contrastive learning method in the expansion module to strengthen the utilization of taxonomic structures, consequently boosting the precision of query-anchor matching. Finally, we meticulously scrutinized the hierarchical relations between each query and its siblings to ensure the integrity of the constructed taxonomy. Extensive experiments on real-world datasets validated the efficacy of our proposed framework for constructing well-structured taxonomies. ","This study proposes a novel taxonomy induction framework addressing two critical issues: coarse-grained structure and inconsistent semantic granularity. It introduces a three-component framework leveraging statistical information, clustering, and fine-grained contrastive learning to construct well-structured taxonomies."
"Open-Domain Hierarchical Event Schema Induction by Incremental Prompting and Verification","https://scispace.com/paper/open-domain-hierarchical-event-schema-induction-by-1cydmxu9of","2023","Journal Article","","Sha Li
Ruining Zhao
Manling Li
Heng Ji
Chris Callison-Burch
Jiawei Han","10.18653/v1/2023.acl-long.312","https://scispace.compdf/open-domain-hierarchical-event-schema-induction-by-1cydmxu9of.pdf","Event schemas are a form of world knowledge about the typical progression of events.Recent methods for event schema induction use information extraction systems to construct a large number of event graph instances from documents, and then learn to generalize the schema from such instances.In contrast, we propose to treat event schemas as a form of commonsense knowledge that can be derived from large language models (LLMs).This new paradigm greatly simplifies the schema induction process and allows us to handle both hierarchical relations and temporal relations between events in a straightforward way.Since event schemas have complex graph structures, we design an incremental prompting and verification method INCSCHEMA to break down the construction of a complex event graph into three stages: event skeleton construction, event expansion, and event-event relation verification.Compared to directly using LLMs to generate a linearized graph, INCSCHEMA can generate large and complex schemas with 7.2% F1 improvement in temporal relations and 31.0%F1 improvement in hierarchical relations.In addition, compared to the previous state-of-the-art closed-domain schema induction model, human assessors were able to cover ∼10% more events when translating the schemas into coherent stories and rated our schemas 1.3 points higher (on a 5-point scale) in terms of readability. 1 Relation Allen's base relations e1 starts before e2? e1 ends before e2? e1 duration longer than e2? e1 ≺ e2 e1 precedes e2, e1 meets e2 Yes Yes -e1 ≻ e2 e1 is preceded by e2, e1 is met by e2 No No -e1 ⊂ e2 e1 starts e2, e1 during e2, e1 finishes e2 No Yes No e1 ⊃ e2 e1 is started by e2, e1 contains e2, e1 is finished by e2 Yes No Yes e1 ∥ e2 e1 overlaps with e2, e1 is equal to e2 Yes No No e1 ∥ e2 e1 is overlapped by e2 No Yes Yes ","Open-domain hierarchical event schema induction using incremental prompting and verification (IncSCHEMA) simplifies the process of learning event schemas from documents, handling complex graph structures, and improving the quality of generated schemas."
"A Comprehensive Review of Schema Extraction Approaches in Linked Data","https://scispace.com/paper/a-comprehensive-review-of-schema-extraction-approaches-in-3dzjljqbafd4","2024","Journal Article","","Lylia Hadri
Messaouda Fareh","10.1109/icaecot62402.2024.10829129","","With the proliferation of interconnected datasets, understanding the underlying schema is crucial for data integration, interoperability, and semantic comprehension. Through a systematic review, we categorize existing approaches into rule-based, statistical, machine learning, and hybrid techniques, outlining their respective strengths, limitations. Challenges such as scalability and incrementality are identified, emphasizing the need for innovative solutions. We discuss recent advancements, including the utilization of deep learning, highlighting emerging trends and future research directions. By synthesizing insights from diverse sources, this review serves as a valuable resource for researchers understanding concepts in schema extraction from Linked Data.","This comprehensive review categorizes schema extraction approaches in Linked Data into rule-based, statistical, machine learning, and hybrid techniques, highlighting strengths, limitations, and challenges, while discussing recent advancements and future research directions in schema extraction."
"An Unsupervised Ontology Construction Method Based on Pre-trained Language Model","https://scispace.com/paper/an-unsupervised-ontology-construction-method-based-on-pre-8toa0054i8zu","2025","Proceedings Article","","Hanqi Zheng","10.1145/3730436.3730532","","With the fast growth of text data, the importance of automatic ontology construction has grown significantly‎. The proposed article provides a novel approach by applying pre-trained ‎language models to automatically construct the ontology. The framework consists of two sequential phases: automatic concept discovery and automatic relation discovery. In the context of automatic concept discovery, instances and their embedding vectors ‎are extracted first through Named Entity Recognition (NER). Then, the unsupervised affinity ‎propagation (AP) clustering algorithm is applied to classify these embedding vectors, resulting in the discovery of the ‎concepts. A denoising method is discussed to obtain higher accuracy with respect to the concepts obtained to reduce noise caused by complete clustering. Related to automatic relation discovery between concepts (mentioned in the next section), the process ‎generates inexplicable concepts that are contextually similar based on the embedded vectors of instances mapping ‎over the two entities. This can enable unsupervised automatic discovery of relations between the contextually related concepts. This method shows a certain feasibility and achieves early effectiveness in unsupervised automatic ontology construction with the experimental results. ‎","This study proposes an unsupervised ontology construction method using pre-trained language models, comprising two phases: automatic concept discovery via NER and AP clustering, and automatic relation discovery between contextually similar concepts."
"Harvesting Event Schemas from Large Language Models","https://scispace.com/paper/harvesting-event-schemas-from-large-language-models-2gj96xrp","2023","Journal Article","arXiv.org","Jialong Tang
Hongyu Lin
Zhuoqun Li
Yaojie Lu
Xianpei Han
Le Sun","10.48550/arXiv.2305.07280","","Event schema provides a conceptual, structural and formal language to represent events and model the world event knowledge. Unfortunately, it is challenging to automatically induce high-quality and high-coverage event schemas due to the open nature of real-world events, the diversity of event expressions, and the sparsity of event knowledge. In this paper, we propose a new paradigm for event schema induction -- knowledge harvesting from large-scale pre-trained language models, which can effectively resolve the above challenges by discovering, conceptualizing and structuralizing event schemas from PLMs. And an Event Schema Harvester (ESHer) is designed to automatically induce high-quality event schemas via in-context generation-based conceptualization, confidence-aware schema structuralization and graph-based schema aggregation. Empirical results show that ESHer can induce high-quality and high-coverage event schemas on varying domains.","In this article , an Event Schema Harvester (ESHer) is designed to automatically induce high-quality event schemas via in-context generation-based conceptualization, confidence-aware schema structuralization and graph-based schema aggregation."
"LLM-empowered knowledge graph construction: A survey","https://scispace.com/paper/llm-empowered-knowledge-graph-construction-a-survey-yddaqjvznj6g","2025","Journal Article","","","10.48550/arxiv.2510.20345","","Knowledge Graphs (KGs) have long served as a fundamental infrastructure for structured knowledge representation and reasoning. With the advent of Large Language Models (LLMs), the construction of KGs has entered a new paradigm-shifting from rule-based and statistical pipelines to language-driven and generative frameworks. This survey provides a comprehensive overview of recent progress in LLM-empowered knowledge graph construction, systematically analyzing how LLMs reshape the classical three-layered pipeline of ontology engineering, knowledge extraction, and knowledge fusion. We first revisit traditional KG methodologies to establish conceptual foundations, and then review emerging LLM-driven approaches from two complementary perspectives: schema-based paradigms, which emphasize structure, normalization, and consistency; and schema-free paradigms, which highlight flexibility, adaptability, and open discovery. Across each stage, we synthesize representative frameworks, analyze their technical mechanisms, and identify their limitations. Finally, the survey outlines key trends and future research directions, including KG-based reasoning for LLMs, dynamic knowledge memory for agentic systems, and multimodal KG construction. Through this systematic review, we aim to clarify the evolving interplay between LLMs and knowledge graphs, bridging symbolic knowledge engineering and neural semantic understanding toward the development of adaptive, explainable, and intelligent knowledge systems. ","This survey reviews recent progress in Large Language Model (LLM)-empowered knowledge graph construction, analyzing how LLMs reshape the classical pipeline of ontology engineering, knowledge extraction, and fusion, and outlining key trends and future research directions."
