"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Large Language Models in Document Intelligence: A Comprehensive Survey, Recent Advances, Challenges and Future Trends","https://scispace.com/paper/large-language-models-in-document-intelligence-a-i70npis65t0r","2025","Journal Article","ACM Transactions on Information Systems","Wenjun Ke
Yifan Zheng
Yining Li
Haidi Xu
Dong Nie
Peng Wang
Yao He","10.1145/3768156","","The rapid proliferation of documents has made document intelligence increasingly critical across various industries. In recent years, large language models (LLMs) have dramatically transformed the field of document intelligence, allowing for more advanced and accurate document processing solutions. Despite these advancements, most existing surveys have failed to focus on these breakthroughs, instead concentrating on traditional methods and earlier machine learning techniques. This survey seeks to fill that gap by offering an in-depth analysis of approximately 300 papers published between 2021 and mid-2025, thus providing a comprehensive overview of the impact of LLMs in document intelligence. The key topics explored include retrieval-augmented generation (RAG), long context processing, and fine-tuning LLMs for document comprehension. Furthermore, the survey highlights essential datasets, practical applications, current challenges, and future research directions, offering critical insights for both researchers and industry practitioners looking to advance the field. ","This comprehensive survey of 300 papers (2021-2025) explores the impact of large language models on document intelligence, covering breakthroughs in retrieval-augmented generation, long context processing, and fine-tuning for document comprehension, with practical applications and future research directions."
"Zero-Shot On-the-Fly Event Schema Induction","https://scispace.com/paper/zero-shot-on-the-fly-event-schema-induction-542u22gt2v","2023","Journal Article","","Rotem Dror
Haoyu Wang
Dan Roth","10.18653/v1/2023.findings-eacl.53","https://scispace.compdf/zero-shot-on-the-fly-event-schema-induction-542u22gt2v.pdf","What are the events involved in a pandemic outbreak? What steps should be taken when planning a wedding? The answers to these questions can be found by collecting many documents on the complex event of interest, extracting relevant information, and analyzing it. We present a new approach in which large language models are utilized to generate source documents that allow predicting, given a high-level event definition, the specific events, arguments, and relations between them to construct a schema that describes the complex event in its entirety.Using our model, complete schemas on any topic can be generated on-the-fly without any manual data collection, i.e., in a zero-shot manner. Moreover, we develop efficient methods to extract pertinent information from texts and demonstrate in a series of experiments that these schemas are considered to be more complete than human-curated ones in the majority of examined scenarios. Finally, we show that this framework is comparable in performance with previous supervised schema induction methods that rely on collecting real texts and even reaching the best score in the prediction task. ","A novel zero-shot on-the-fly event schema induction framework is presented, generating complete event schemas from high-level event definitions without manual data collection."
"Zero-Shot On-the-Fly Event Schema Induction","https://scispace.com/paper/zero-shot-on-the-fly-event-schema-induction-9v9r29me","2022","Journal Article","Findings","Rotem Dror
Haoyu Wang
Dan Roth","10.48550/arXiv.2210.06254","https://scispace.compdf/zero-shot-on-the-fly-event-schema-induction-9v9r29me.pdf","What are the events involved in a pandemic outbreak? What steps should be taken when planning a wedding? The answers to these questions can be found by collecting many documents on the complex event of interest, extracting relevant information, and analyzing it. We present a new approach in which large language models are utilized to generate source documents that allow predicting, given a high-level event definition, the specific events, arguments, and relations between them to construct a schema that describes the complex event in its entirety.Using our model, complete schemas on any topic can be generated on-the-fly without any manual data collection, i.e., in a zero-shot manner. Moreover, we develop efficient methods to extract pertinent information from texts and demonstrate in a series of experiments that these schemas are considered to be more complete than human-curated ones in the majority of examined scenarios. Finally, we show that this framework is comparable in performance with previous supervised schema induction methods that rely on collecting real texts and even reaching the best score in the prediction task.","A new approach in which large language models are utilized to construct a schema that describes the com- 012 plex event in its entirety, and it is shown that this framework is comparable in performance with previous supervised schema induction methods."
"Zero-Shot On-the-Fly Event Schema Induction","https://scispace.com/paper/zero-shot-on-the-fly-event-schema-induction-1bz5yvx5","2022","Posted Content","","","10.48550/arxiv.2210.06254","https://scispace.com/pdf/zero-shot-on-the-fly-event-schema-induction-1bz5yvx5.pdf","What are the events involved in a pandemic outbreak? What steps should be taken when planning a wedding? The answers to these questions can be found by collecting many documents on the complex event of interest, extracting relevant information, and analyzing it. We present a new approach in which large language models are utilized to generate source documents that allow predicting, given a high-level event definition, the specific events, arguments, and relations between them to construct a schema that describes the complex event in its entirety. Using our model, complete schemas on any topic can be generated on-the-fly without any manual data collection, i.e., in a zero-shot manner. Moreover, we develop efficient methods to extract pertinent information from texts and demonstrate in a series of experiments that these schemas are considered to be more complete than human-curated ones in the majority of examined scenarios. Finally, we show that this framework is comparable in performance with previous supervised schema induction methods that rely on collecting real texts while being more general and flexible without the need for a predefined ontology. ","In this article , large language models are utilized to generate source documents that allow predicting, given a high-level event definition, the specific events, arguments, and relations between them to construct a schema that describes the complex event in its entirety."
"GR-LLMs: Recent Advances in Generative Recommendation Based on Large Language Models","https://scispace.com/paper/gr-llms-recent-advances-in-generative-recommendation-based-gmnxif2ivuey","2025","Journal Article","arXiv.org","Zhen Yang
Haitao Lin
Jiawei Xue
Ziji Zhang","10.48550/arxiv.2507.06507","https://scispace.compdf/gr-llms-recent-advances-in-generative-recommendation-based-gmnxif2ivuey.pdf","In the past year, Generative Recommendations (GRs) have undergone substantial advancements, especially in leveraging the powerful sequence modeling and reasoning capabilities of Large Language Models (LLMs) to enhance overall recommendation performance. LLM-based GRs are forming a new paradigm that is distinctly different from discriminative recommendations, showing strong potential to replace traditional recommendation systems heavily dependent on complex hand-crafted features. In this paper, we provide a comprehensive survey aimed at facilitating further research of LLM-based GRs. Initially, we outline the general preliminaries and application cases of LLM-based GRs. Subsequently, we introduce the main considerations when LLM-based GRs are applied in real industrial scenarios. Finally, we explore promising directions for LLM-based GRs. We hope that this survey contributes to the ongoing advancement of the GR domain.","This paper surveys recent advances in Generative Recommendations (GRs) leveraging Large Language Models (LLMs), outlining preliminaries, application cases, and considerations for real-world industrial scenarios, and exploring promising directions for LLM-based GRs."
"Large Language Models as Visual Cross-Domain Learners","https://scispace.com/paper/large-language-models-as-visual-cross-domain-learners-2mgw3b5mm4","2024","Journal Article","arXiv.org","Shuhao Chen
Yulong Zhang
Weisen Jiang
Jiangang Lu
Yu Zhang","10.48550/arxiv.2401.03253","","Recent advances achieved by deep learning models rely on the independent and identically distributed assumption, hindering their applications in real-world scenarios with domain shifts. To address the above issues, cross-domain learning aims at extracting domain-invariant knowledge to reduce the domain shift between training and testing data. However, in visual cross-domain learning, traditional methods concentrate solely on the image modality, neglecting the use of the text modality to alleviate the domain shift. In this work, we propose Large Language models as Visual cross-dOmain learners (LLaVO). LLaVO uses vision-language models to convert images into detailed textual descriptions. A large language model is then finetuned on textual descriptions of the source/target domain generated by a designed instruction template. Extensive experimental results on various cross-domain tasks under the domain generalization and unsupervised domain adaptation settings have demonstrated the effectiveness of the proposed method.","This work proposes Large Language models as Visual cross-dOmain learners (LLaVO), which uses vision-language models to convert images into detailed textual descriptions and is finetuned on textual descriptions of the source/target domain generated by a designed instruction template."
"Leveraging Large Language Models for Automated Schema Matching and Data Transformation in Enterprise ETL Pipelines","https://scispace.com/paper/leveraging-large-language-models-for-automated-schema-v3x9ncvwvn3d","2025","Repository","","","10.5281/zenodo.17117078","","Modern enterprises encounter significant challenges when integrating heterogeneous data sources due to schema variability, inconsistent naming conventions, and noisy real-world datasets that traditionally require extensive manual intervention. This work presents a novel generative AI framework that employs Large Language Models augmented with retrieval-based techniques to automate schema matching, column-level mapping, and transformation rule generation within ETL pipelines. The framework incorporates metadata-aware prompting strategies, domain-specific exemplar retrieval through RAG, and iterative self-refinement mechanisms to produce high-quality mapping suggestions alongside executable transformation code in SQL and pandas formats. Confidence scoring enables effective human-in-the-loop validation while adaptive feedback mechanisms facilitate continuous improvement from user corrections. The system demonstrates the capability of handling evolving schemas and multilingual datasets across diverse enterprise domains. Experimental evaluation on synthetic datasets and established benchmarks reveals substantial improvements in matching accuracy, precision, and recall compared to traditional name-similarity metrics and classical machine learning classifiers. The framework addresses critical deployment considerations, including data privacy compliance, operational scalability, and hallucination mitigation strategies. Results indicate significant potential for reliable large-scale enterprise adoption through transparent, auditable automated ETL workflows that maintain data quality standards while reducing manual overhead. ",""
"Leveraging Large Language Models for Automated Schema Matching and Data Transformation in Enterprise ETL Pipelines","https://scispace.com/paper/leveraging-large-language-models-for-automated-schema-w63ydp6vdwkd","2025","Repository","","","10.5281/zenodo.17117079","","&lt;p&gt;&lt;span&gt;Modern enterprises encounter significant challenges when integrating heterogeneous data sources due to schema variability, inconsistent naming conventions, and noisy real-world datasets that traditionally require extensive manual intervention. This work presents a novel generative AI framework that employs Large Language Models augmented with retrieval-based techniques to automate schema matching, column-level mapping, and transformation rule generation within ETL pipelines. The framework incorporates metadata-aware prompting strategies, domain-specific exemplar retrieval through RAG, and iterative self-refinement mechanisms to produce high-quality mapping suggestions alongside executable transformation code in SQL and pandas formats. Confidence scoring enables effective human-in-the-loop validation while adaptive feedback mechanisms facilitate continuous improvement from user corrections. The system demonstrates the capability of handling evolving schemas and multilingual datasets across diverse enterprise domains. Experimental evaluation on synthetic datasets and established benchmarks reveals substantial improvements in matching accuracy, precision, and recall compared to traditional name-similarity metrics and classical machine learning classifiers. The framework addresses critical deployment considerations, including data privacy compliance, operational scalability, and hallucination mitigation strategies. Results indicate significant potential for reliable large-scale enterprise adoption through transparent, auditable automated ETL workflows that maintain data quality standards while reducing manual overhead&lt;/span&gt;&lt;span&gt;.&lt;/span&gt;&lt;/p&gt; ",""
"Open-Domain Hierarchical Event Schema Induction by Incremental Prompting and Verification","https://scispace.com/paper/open-domain-hierarchical-event-schema-induction-by-2shc95lf","2023","Proceedings Article","Annual Meeting of the Association for Computational Linguistics","Sha Li
Rui Zhao
Manling Li
Heng Ji
Chris Callison-Burch
Jiawei Han","10.48550/arXiv.2307.01972","https://scispace.compdf/open-domain-hierarchical-event-schema-induction-by-2shc95lf.pdf","Event schemas are a form of world knowledge about the typical progression of events. Recent methods for event schema induction use information extraction systems to construct a large number of event graph instances from documents, and then learn to generalize the schema from such instances. In contrast, we propose to treat event schemas as a form of commonsense knowledge that can be derived from large language models (LLMs). This new paradigm greatly simplifies the schema induction process and allows us to handle both hierarchical relations and temporal relations between events in a straightforward way. Since event schemas have complex graph structures, we design an incremental prompting and verification method IncPrompt to break down the construction of a complex event graph into three stages: event skeleton construction, event expansion, and event-event relation verification. Compared to directly using LLMs to generate a linearized graph, IncSchema can generate large and complex schemas with 7.2% F1 improvement in temporal relations and 31.0% F1 improvement in hierarchical relations. In addition, compared to the previous state-of-the-art closed-domain schema induction model, human assessors were able to cover ~10% more events when translating the schemas into coherent stories and rated our schemas 1.3 points higher (on a 5-point scale) in terms of readability.","For example, IncSchema as discussed by the authors proposes to treat event schemas as commonsense knowledge that can be derived from large language models (LLMs) to handle both hierarchical relations and temporal relations between events in a straightforward way."
"Open-Domain Hierarchical Event Schema Induction by Incremental Prompting
  and Verification","https://scispace.com/paper/open-domain-hierarchical-event-schema-induction-by-1ojwttqw","2023","Posted Content","","","10.48550/arxiv.2307.01972","https://scispace.com/pdf/open-domain-hierarchical-event-schema-induction-by-1ojwttqw.pdf","Event schemas are a form of world knowledge about the typical progression of events. Recent methods for event schema induction use information extraction systems to construct a large number of event graph instances from documents, and then learn to generalize the schema from such instances. In contrast, we propose to treat event schemas as a form of commonsense knowledge that can be derived from large language models (LLMs). This new paradigm greatly simplifies the schema induction process and allows us to handle both hierarchical relations and temporal relations between events in a straightforward way. Since event schemas have complex graph structures, we design an incremental prompting and verification method to break down the construction of a complex event graph into three stages: event skeleton construction, event expansion, and event-event relation verification. Compared to directly using LLMs to generate a linearized graph, our method can generate large and complex schemas with 7.2% F1 improvement in temporal relations and 31.0% F1 improvement in hierarchical relations. In addition, compared to the previous state-of-the-art closed-domain schema induction model, human assessors were able to cover $\sim$10% more events when translating the schemas into coherent stories and rated our schemas 1.3 points higher (on a 5-point scale) in terms of readability. ","This article proposed to treat event schemas as commonsense knowledge that can be derived from large language models (LLMs), which greatly simplifies the schema induction process and allows to handle both hierarchical relations and temporal relations between events in a straightforward way."
