# Case 1 per-node detection
case 1 | class     | Invoice                                       | A=Y (label) | B=Y (label)
case 1 | property  | Invoice Number                                | A=Y (label-tokens) | B=Y (label-tokens)
case 1 | property  | Invoice Issue Date                            | A=Y (label-tokens) | B=Y (label-tokens)
case 1 | property  | Delivery Date                                 | A=Y (label) | B=Y (label)
case 1 | property  | Billing Period                                | A=Y (label) | B=Y (label)
case 1 | property  | Contract Number / SOW Reference               | A=Y (distinctive-token:contract) | B=Y (label-tokens)
case 1 | class     | Seller / Issuer                               | A=Y (distinctive-token:seller) | B=Y (distinctive-token:seller)
case 1 | property  | Seller Name                                   | A=Y (label-token) | B=Y (label-token)
case 1 | property  | Seller Address                                | A=Y (distinctive-token:seller) | B=Y (distinctive-token:seller)
case 1 | property  | Seller Tax Identification Number              | A=Y (distinctive-token:seller) | B=Y (distinctive-token:seller)
case 1 | property  | Seller Business Registration Number           | A=Y (label-tokens) | B=Y (distinctive-token:seller)
case 1 | property  | Seller Contact Information                    | A=Y (distinctive-token:seller) | B=Y (distinctive-token:seller)
case 1 | class     | Buyer / Client                                | A=Y (label-tokens) | B=Y (label-tokens)
case 1 | property  | Buyer Name                                    | A=Y (label-token) | B=Y (label-token)
case 1 | property  | Buyer Address                                 | A=Y (distinctive-token:buyer) | B=Y (distinctive-token:buyer)
case 1 | property  | Buyer Tax Identification Number               | A=Y (distinctive-token:buyer) | B=Y (distinctive-token:buyer)
case 1 | class     | Seller Bank Account                           | A=Y (label-tokens) | B=Y (label-tokens)
case 1 | property  | Bank Name                                     | A=Y (label-token) | B=Y (label-token)
case 1 | property  | IBAN                                          | A=Y (label) | B=Y (label)
case 1 | property  | SWIFT / BIC Code                              | A=Y (distinctive-token:swift) | B=Y (distinctive-token:swift)
case 1 | property  | Routing Number / Account Number               | A=Y (label-tokens) | B=Y (label-tokens)
case 1 | class     | Line Item                                     | A=Y (example) | B=Y (label-tokens)
case 1 | property  | Line Item Description                         | A=Y (example) | B=Y (label-tokens)
case 1 | property  | Quantity                                      | A=Y (synonym:days) | B=Y (synonym:qty)
case 1 | property  | Unit Price / Rate                             | A=Y (synonym:rate) | B=Y (label-tokens)
case 1 | property  | Line Item Amount                              | A=Y (synonym:line 1) | B=Y (label-tokens)
case 1 | property  | Employee / Contractor Reference               | A=Y (distinctive-token:employee) | B=Y (distinctive-token:contractor)
case 1 | property  | Working Days                                  | A=Y (label) | B=Y (label)
case 1 | property  | Days Off / Leave Days                         | A=Y (example) | B=Y (synonym:days off)
case 1 | property  | Hours Per Day                                 | A=Y (label-tokens) | B=Y (synonym:hrs/day)
case 1 | property  | Total Invoice Amount                          | A=Y (distinctive-token:total) | B=Y (label-tokens)
case 1 | property  | Invoice Currency                              | A=Y (label) | B=Y (label-tokens)
case 1 | property  | Sales Tax Amount                              | A=Y (distinctive-token:sales) | B=Y (label-tokens)
case 1 | property  | Sales Tax Exemption Note                      | A=Y (label) | B=Y (label)
case 1 | property  | Foreign Currency Equivalent                   | A=Y (distinctive-token:currency) | B=Y (distinctive-token:currency)
case 1 | property  | Exchange Rate                                 | A=n () | B=n ()
case 1 | property  | Payment Method                                | A=Y (label) | B=Y (label)
case 1 | property  | Payment Deadline / Terms                      | A=Y (distinctive-token:payment) | B=Y (distinctive-token:payment)
case 1 | property  | Place of Issue                                | A=Y (label) | B=Y (label)
